run_id,cell_type,site,category,one_hour_observations,participant_days,participants
main__glasses__all_available,work_free_day,BAUA,Work day,1204,52,17
main__glasses__all_available,work_free_day,BAUA,Free day,840,36,17
main__glasses__all_available,work_free_day,FUSPCEU,Work day,1340,57,19
main__glasses__all_available,work_free_day,FUSPCEU,Free day,702,30,15
main__glasses__all_available,work_free_day,IZTECH,Work day,1470,63,17
main__glasses__all_available,work_free_day,IZTECH,Free day,765,33,16
main__glasses__all_available,work_free_day,KNUST,Work day,916,40,14
main__glasses__all_available,work_free_day,KNUST,Free day,923,40,14
main__glasses__all_available,work_free_day,MPI,Work day,1994,86,26
main__glasses__all_available,work_free_day,MPI,Free day,1430,62,25
main__glasses__all_available,work_free_day,RISE,Work day,1005,43,12
main__glasses__all_available,work_free_day,RISE,Free day,630,27,13
main__glasses__all_available,work_free_day,THUAS,Free day,434,19,11
main__glasses__all_available,work_free_day,THUAS,Work day,923,40,13
main__glasses__all_available,work_free_day,TUM,Work day,697,30,10
main__glasses__all_available,work_free_day,TUM,Free day,693,30,10
main__glasses__all_available,work_free_day,UCR,Work day,443,19,6
main__glasses__all_available,work_free_day,UCR,Free day,187,8,4
main__glasses__all_available,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1558,67,17
main__glasses__all_available,activity_status,BAUA,Sedentary (no reported exercise),486,21,12
main__glasses__all_available,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1259,54,18
main__glasses__all_available,activity_status,FUSPCEU,Sedentary (no reported exercise),783,33,14
main__glasses__all_available,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1297,56,15
main__glasses__all_available,activity_status,IZTECH,Sedentary (no reported exercise),938,40,13
main__glasses__all_available,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1565,68,15
main__glasses__all_available,activity_status,KNUST,Sedentary (no reported exercise),274,12,8
main__glasses__all_available,activity_status,MPI,"Active (light, moderate, or vigorous exercise)",2609,113,26
main__glasses__all_available,activity_status,MPI,Sedentary (no reported exercise),815,35,14
main__glasses__all_available,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",1076,46,13
main__glasses__all_available,activity_status,RISE,Sedentary (no reported exercise),559,24,11
main__glasses__all_available,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1172,51,13
main__glasses__all_available,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
main__glasses__all_available,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
main__glasses__all_available,activity_status,TUM,Sedentary (no reported exercise),534,23,8
main__glasses__all_available,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",208,9,5
main__glasses__all_available,activity_status,UCR,Sedentary (no reported exercise),422,18,6
main__chest__all_available,work_free_day,BAUA,Work day,1206,52,17
main__chest__all_available,work_free_day,BAUA,Free day,843,36,17
main__chest__all_available,work_free_day,FUSPCEU,Work day,1340,57,19
main__chest__all_available,work_free_day,FUSPCEU,Free day,702,30,15
main__chest__all_available,work_free_day,IZTECH,Work day,1493,64,17
main__chest__all_available,work_free_day,IZTECH,Free day,765,33,16
main__chest__all_available,work_free_day,KNUST,Work day,937,41,15
main__chest__all_available,work_free_day,KNUST,Free day,972,42,14
main__chest__all_available,work_free_day,RISE,Work day,1266,54,15
main__chest__all_available,work_free_day,RISE,Free day,749,32,16
main__chest__all_available,work_free_day,THUAS,Free day,552,24,13
main__chest__all_available,work_free_day,THUAS,Work day,1184,51,15
main__chest__all_available,work_free_day,TUM,Work day,697,30,10
main__chest__all_available,work_free_day,TUM,Free day,693,30,10
main__chest__all_available,work_free_day,UCR,Work day,3231,139,39
main__chest__all_available,work_free_day,UCR,Free day,1722,74,36
main__chest__all_available,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1538,66,17
main__chest__all_available,activity_status,BAUA,Sedentary (no reported exercise),511,22,12
main__chest__all_available,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1259,54,18
main__chest__all_available,activity_status,FUSPCEU,Sedentary (no reported exercise),783,33,14
main__chest__all_available,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1320,57,15
main__chest__all_available,activity_status,IZTECH,Sedentary (no reported exercise),938,40,13
main__chest__all_available,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1540,67,15
main__chest__all_available,activity_status,KNUST,Sedentary (no reported exercise),369,16,8
main__chest__all_available,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",1314,56,16
main__chest__all_available,activity_status,RISE,Sedentary (no reported exercise),701,30,14
main__chest__all_available,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1551,67,15
main__chest__all_available,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
main__chest__all_available,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
main__chest__all_available,activity_status,TUM,Sedentary (no reported exercise),534,23,8
main__chest__all_available,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",2530,110,36
main__chest__all_available,activity_status,UCR,Sedentary (no reported exercise),2423,103,37
main__glasses__paired_common,work_free_day,RISE,Work day,1005,43,12
main__glasses__paired_common,work_free_day,RISE,Free day,630,27,13
main__glasses__paired_common,work_free_day,THUAS,Free day,434,19,11
main__glasses__paired_common,work_free_day,THUAS,Work day,923,40,13
main__glasses__paired_common,work_free_day,BAUA,Work day,1062,46,15
main__glasses__paired_common,work_free_day,BAUA,Free day,723,31,15
main__glasses__paired_common,work_free_day,TUM,Work day,697,30,10
main__glasses__paired_common,work_free_day,TUM,Free day,693,30,10
main__glasses__paired_common,work_free_day,FUSPCEU,Work day,1340,57,19
main__glasses__paired_common,work_free_day,FUSPCEU,Free day,702,30,15
main__glasses__paired_common,work_free_day,IZTECH,Work day,1470,63,17
main__glasses__paired_common,work_free_day,IZTECH,Free day,765,33,16
main__glasses__paired_common,work_free_day,UCR,Work day,443,19,6
main__glasses__paired_common,work_free_day,UCR,Free day,187,8,4
main__glasses__paired_common,work_free_day,KNUST,Work day,868,38,14
main__glasses__paired_common,work_free_day,KNUST,Free day,900,39,14
main__glasses__paired_common,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",1076,46,13
main__glasses__paired_common,activity_status,RISE,Sedentary (no reported exercise),559,24,11
main__glasses__paired_common,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1172,51,13
main__glasses__paired_common,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
main__glasses__paired_common,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1370,59,15
main__glasses__paired_common,activity_status,BAUA,Sedentary (no reported exercise),415,18,11
main__glasses__paired_common,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
main__glasses__paired_common,activity_status,TUM,Sedentary (no reported exercise),534,23,8
main__glasses__paired_common,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1259,54,18
main__glasses__paired_common,activity_status,FUSPCEU,Sedentary (no reported exercise),783,33,14
main__glasses__paired_common,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1297,56,15
main__glasses__paired_common,activity_status,IZTECH,Sedentary (no reported exercise),938,40,13
main__glasses__paired_common,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",208,9,5
main__glasses__paired_common,activity_status,UCR,Sedentary (no reported exercise),422,18,6
main__glasses__paired_common,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1494,65,15
main__glasses__paired_common,activity_status,KNUST,Sedentary (no reported exercise),274,12,8
main__chest__paired_common,work_free_day,RISE,Work day,1005,43,12
main__chest__paired_common,work_free_day,RISE,Free day,630,27,13
main__chest__paired_common,work_free_day,THUAS,Free day,434,19,11
main__chest__paired_common,work_free_day,THUAS,Work day,923,40,13
main__chest__paired_common,work_free_day,BAUA,Work day,1062,46,15
main__chest__paired_common,work_free_day,BAUA,Free day,723,31,15
main__chest__paired_common,work_free_day,TUM,Work day,697,30,10
main__chest__paired_common,work_free_day,TUM,Free day,693,30,10
main__chest__paired_common,work_free_day,FUSPCEU,Work day,1340,57,19
main__chest__paired_common,work_free_day,FUSPCEU,Free day,702,30,15
main__chest__paired_common,work_free_day,IZTECH,Work day,1470,63,17
main__chest__paired_common,work_free_day,IZTECH,Free day,765,33,16
