site,work_free_day,activity_status,clock_hour_bin,observations,positive_observations,zero_observations,zero_fraction,participants,participant_days
RISE,Work day,Sedentary (no reported exercise),0,15,1,14,0.9333333333333333,8,15
RISE,Work day,Sedentary (no reported exercise),1,15,1,14,0.9333333333333333,8,15
RISE,Work day,Sedentary (no reported exercise),2,15,0,15,1,8,15
RISE,Work day,Sedentary (no reported exercise),3,15,3,12,0.8,8,15
RISE,Work day,Sedentary (no reported exercise),4,15,3,12,0.8,8,15
RISE,Work day,Sedentary (no reported exercise),5,15,6,9,0.6,8,15
RISE,Work day,Sedentary (no reported exercise),6,15,13,2,0.13333333333333333,8,15
RISE,Work day,Sedentary (no reported exercise),7,14,13,1,0.07142857142857142,7,14
RISE,Work day,Sedentary (no reported exercise),8,15,15,0,0,8,15
RISE,Work day,Sedentary (no reported exercise),9,14,14,0,0,8,14
RISE,Work day,Sedentary (no reported exercise),10,14,14,0,0,8,14
RISE,Work day,Sedentary (no reported exercise),11,15,15,0,0,8,15
RISE,Work day,Sedentary (no reported exercise),12,15,15,0,0,8,15
RISE,Work day,Sedentary (no reported exercise),13,15,15,0,0,8,15
RISE,Work day,Sedentary (no reported exercise),14,14,14,0,0,8,14
RISE,Work day,Sedentary (no reported exercise),15,14,14,0,0,8,14
RISE,Work day,Sedentary (no reported exercise),16,12,12,0,0,7,12
RISE,Work day,Sedentary (no reported exercise),17,14,14,0,0,8,14
RISE,Work day,Sedentary (no reported exercise),18,14,14,0,0,8,14
RISE,Work day,Sedentary (no reported exercise),19,15,15,0,0,8,15
RISE,Work day,Sedentary (no reported exercise),20,15,14,1,0.06666666666666667,8,15
RISE,Work day,Sedentary (no reported exercise),21,15,13,2,0.13333333333333333,8,15
RISE,Work day,Sedentary (no reported exercise),22,15,9,6,0.4,8,15
RISE,Work day,Sedentary (no reported exercise),23,14,3,11,0.7857142857142857,7,14
RISE,Work day,"Active (light, moderate, or vigorous exercise)",0,27,3,24,0.8888888888888888,11,27
RISE,Work day,"Active (light, moderate, or vigorous exercise)",1,28,1,27,0.9642857142857143,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",2,28,0,28,1,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",3,28,0,28,1,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",4,28,0,28,1,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",5,28,5,23,0.8214285714285714,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",6,28,23,5,0.17857142857142858,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",7,27,24,3,0.1111111111111111,11,27
RISE,Work day,"Active (light, moderate, or vigorous exercise)",8,25,25,0,0,10,25
RISE,Work day,"Active (light, moderate, or vigorous exercise)",9,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",10,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",11,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",12,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",13,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",14,28,28,0,0,11,28
