placement,site,participant_days,participants,represented_dates,first_date,last_date,latitude_deg,photoperiod_min_h,photoperiod_max_h,photoperiod_range_h,photoperiod_sd_h
glasses,BAUA,106,18,43,2025-06-11,2025-10-19,51.498204,11.580528282059564,18.217757501800854,6.63722921974129,2.2895387036594697
glasses,FUSPCEU,127,23,71,2024-10-08,2025-02-09,40.4165,10.329644992086623,12.348446626994345,2.0188016349077227,0.5966953767908793
glasses,IZTECH,102,17,74,2024-12-24,2025-06-01,38.32,10.489451321429677,15.696292682422532,5.206841360992856,1.7668386271572836
glasses,KNUST,80,15,80,2024-10-08,2025-02-02,6.6750074282377385,12.493067087067498,12.71061712841193,0.21755004134443112,0.06157558694229982
glasses,MPI,150,26,60,2023-08-15,2023-11-12,48.5216,10.501161154309909,15.526877130932277,5.025715976622369,1.6737665000053732
glasses,RISE,78,13,61,2025-03-04,2025-10-12,57.715675,11.896925158434444,20.52484733098083,8.627922172546386,3.0422590877110745
glasses,THUAS,78,13,66,2025-02-22,2025-09-27,52.0116,11.59127261598905,18.223782843152684,6.632510227163634,2.3258464587945835
glasses,TUM,60,10,60,2024-05-14,2024-07-28,48.1333,16.40620690557692,17.452678093645307,1.046471188068388,0.340626951812401
glasses,UCR,30,6,12,2025-06-17,2025-06-29,9.9372,13.465770600769256,13.474863940808508,0.009093340039251885,0.0029433334922574794
chest,BAUA,113,20,42,2025-06-11,2025-10-19,51.498204,11.580528282059564,18.211450270281897,6.630921988222333,2.4006411806219496
chest,FUSPCEU,122,22,71,2024-10-08,2025-02-09,40.4165,10.329644992086623,12.348446626994345,2.0188016349077227,0.6066708741755935
chest,IZTECH,103,17,74,2024-12-24,2025-06-01,38.32,10.489451321429677,15.696292682422532,5.206841360992856,1.7701655847071485
chest,KNUST,83,15,83,2024-10-08,2025-02-01,6.6750074282377385,12.493067087067498,12.71061712841193,0.21755004134443112,0.06089723746773949
chest,RISE,96,16,67,2025-03-04,2025-10-19,57.715675,11.350968501501614,20.52484733098083,9.173878829479216,3.219698717265119
chest,THUAS,94,15,82,2025-02-22,2025-10-13,52.0116,11.59127261598905,18.223782843152684,6.632510227163634,2.347106138672347
chest,TUM,60,10,60,2024-05-14,2024-07-28,48.1333,16.40620690557692,17.452678093645307,1.046471188068388,0.340626951812401
chest,UCR,226,39,73,2025-06-17,2025-09-06,9.9372,12.959218925899929,13.474863940808508,0.5156450149085785,0.16416011465044453
