"difference_id","run_id","unit","placement","scenario","outcome","quantity","baseline_value","repaired_value","absolute_difference","relative_difference","direction_or_status","rounding_changed","inference_changed","claim_changed","cause","decision_id","evidence_locator","status"
"RDIFF-P04-D01-GLASSES","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","glasses","primary_rule_A","mder_ratio_of_integrals","paired_finite_mean; paired_MAE; n=662",0.703306801441,0.84069837622,0.143310461231,0.203766636321,"positive_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_registered_mder_sensitivities","related_construct_changed_estimand; METRIC-008 primary retention approved; registered sensitivities pending","METRIC-003|METRIC-008","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D01,glasses]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D01,glasses]; audit/reconciliation/preparation04/result_gate.md","approved_primary_disposition_sensitivities_pending"
"RDIFF-P04-D01-CHEST","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","chest","primary_rule_A","mder_ratio_of_integrals","paired_finite_mean; paired_MAE; n=670",0.720932918601,0.883686690604,0.168336767128,0.233498516692,"positive_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_registered_mder_sensitivities","related_construct_changed_estimand; METRIC-008 primary retention approved; registered sensitivities pending","METRIC-003|METRIC-008","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D01,chest]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D01,chest]; audit/reconciliation/preparation04/result_gate.md","approved_primary_disposition_sensitivities_pending"
"RDIFF-P04-D02-GLASSES","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","glasses","primary_rule_A","daily_geometric_mean_medi","paired_finite_mean; paired_MAE; n=811",7.54927072635,7.54481925614,0.00445147020986,0.000589655659629,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_support_and_masking","METRIC-001|METRIC-002|SIGNAL-001","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D02,glasses]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D02,glasses]; audit/reconciliation/preparation04/result_gate.md","verified_preparation04_difference"
"RDIFF-P04-D02-CHEST","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","chest","primary_rule_A","daily_geometric_mean_medi","paired_finite_mean; paired_MAE; n=897",6.39800151263,6.38991542049,0.00808609213707,0.00126384654976,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_support_and_masking","METRIC-001|METRIC-002|SIGNAL-001","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D02,chest]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D02,chest]; audit/reconciliation/preparation04/result_gate.md","verified_preparation04_difference"
"RDIFF-P04-D03-GLASSES","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","glasses","primary_rule_A","m10_mean_medi","paired_finite_mean; paired_MAE; n=811",222.697000763,214.333871263,8.36312950019,0.0375538488239,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_window_support","METRIC-002|METRIC-005","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D03,glasses]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D03,glasses]; audit/reconciliation/preparation04/result_gate.md","verified_preparation04_difference"
"RDIFF-P04-D03-CHEST","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","chest","primary_rule_A","m10_mean_medi","paired_finite_mean; paired_MAE; n=897",201.667789553,191.812373594,9.85541595918,0.0488695590953,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_window_support","METRIC-002|METRIC-005","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D03,chest]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D03,chest]; audit/reconciliation/preparation04/result_gate.md","verified_preparation04_difference"
"RDIFF-P04-D04-GLASSES","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","glasses","primary_rule_A","m10_midpoint","paired_finite_mean; paired_MAE; n=809",13.9888957561,13.9235681912,0.354491141327,,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_window_support; METRIC-007 all-candidate timing repair verified","METRIC-002|METRIC-005|METRIC-007","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D04,glasses]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D04,glasses]; audit/reconciliation/preparation04/result_gate.md","verified_m10_all_candidate_tie_repair"
"RDIFF-P04-D04-CHEST","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","chest","primary_rule_A","m10_midpoint","paired_finite_mean; paired_MAE; n=894",13.7255965697,13.6639075317,0.313255033557,,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_window_support; METRIC-007 all-candidate timing repair verified","METRIC-002|METRIC-005|METRIC-007","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D04,chest]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D04,chest]; audit/reconciliation/preparation04/result_gate.md","verified_m10_all_candidate_tie_repair"
"RDIFF-P04-D05-GLASSES","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","glasses","primary_rule_A","m10_onset","paired_finite_mean; paired_MAE; n=809",9.00556242274,8.92356819118,0.341038318912,,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_window_support; METRIC-007 all-candidate timing repair verified","METRIC-002|METRIC-005|METRIC-007","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D05,glasses]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D05,glasses]; audit/reconciliation/preparation04/result_gate.md","verified_m10_all_candidate_tie_repair"
"RDIFF-P04-D05-CHEST","PREP04-R461-ac0325716421","Preparation_04_participant_day_metric","chest","primary_rule_A","m10_onset","paired_finite_mean; paired_MAE; n=894",8.74226323639,8.66390753169,0.299496644295,,"negative_mean_paired_difference","not_assessed_no_reported_scalar_mapping","not_assessed_no_model_or_p_value_comparison","pending_hypothesis_rerun_and_claim_audit","same_construct_modified_window_support; METRIC-007 all-candidate timing repair verified","METRIC-002|METRIC-005|METRIC-007","audit/reconciliation/preparation04/metric_paired_difference_summary.csv[D05,chest]; audit/reconciliation/preparation04/metric_comparison_summary.csv[D05,chest]; audit/reconciliation/preparation04/result_gate.md","verified_m10_all_candidate_tie_repair"
