frame_id,run_id,placement,placement_label,metric_id,instrument_id,participants,participant_days,observations,sites,derivation_hours,domains_assessed,acceptable_domains,not_acceptable_domains,not_acceptable_domain_names,overall_assessment
primary__chest__all_available__first_timing_above_250__MCTQ,primary__chest__all_available,chest,Chest,first_timing_above_250,MCTQ,153,797,797,8,18518.416666666668,16,16,0,,acceptable
primary__chest__all_available__first_timing_above_250__MEQ,primary__chest__all_available,chest,Chest,first_timing_above_250,MEQ,154,802,802,8,18634.65,16,16,0,,acceptable
primary__chest__all_available__l10_midpoint__MCTQ,primary__chest__all_available,chest,Chest,l10_midpoint,MCTQ,153,896,896,8,20752.433333333334,16,16,0,,acceptable
primary__chest__all_available__l10_midpoint__MEQ,primary__chest__all_available,chest,Chest,l10_midpoint,MEQ,154,902,902,8,20891.75,16,16,0,,acceptable
primary__chest__all_available__last_timing_above_250__MCTQ,primary__chest__all_available,chest,Chest,last_timing_above_250,MCTQ,153,783,783,8,18263.85,16,16,0,,acceptable
primary__chest__all_available__last_timing_above_250__MEQ,primary__chest__all_available,chest,Chest,last_timing_above_250,MEQ,154,787,787,8,18358.116666666665,16,16,0,,acceptable
primary__chest__all_available__longest_period_midpoint__MCTQ,primary__chest__all_available,chest,Chest,longest_period_midpoint,MCTQ,149,547,547,8,12980.05,16,15,1,Prepared-data sensitivity,not acceptable
primary__chest__all_available__longest_period_midpoint__MEQ,primary__chest__all_available,chest,Chest,longest_period_midpoint,MEQ,150,549,549,8,13027.8,16,13,3,Convergence and Hessian | Singularity and variance | Prepared-data sensitivity,not acceptable
primary__chest__all_available__m10_midpoint__MCTQ,primary__chest__all_available,chest,Chest,m10_midpoint,MCTQ,153,896,896,8,20752.433333333334,16,16,0,,acceptable
primary__chest__all_available__m10_midpoint__MEQ,primary__chest__all_available,chest,Chest,m10_midpoint,MEQ,154,902,902,8,20891.75,16,16,0,,acceptable
primary__chest__all_available__mean_timing_above_250__MCTQ,primary__chest__all_available,chest,Chest,mean_timing_above_250,MCTQ,153,825,825,8,19196.816666666666,16,16,0,,acceptable
primary__chest__all_available__mean_timing_above_250__MEQ,primary__chest__all_available,chest,Chest,mean_timing_above_250,MEQ,154,831,831,8,19336.133333333335,16,16,0,,acceptable
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,16,16,0,,acceptable
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,16,16,0,,acceptable
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,16,16,0,,acceptable
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,16,16,0,,acceptable
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,16,14,2,Participant influence | Site influence,not acceptable
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,16,14,2,Participant influence | Site influence,not acceptable
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,longest_period_midpoint,MCTQ,131,478,478,9,11325.55,16,15,1,Prepared-data sensitivity,not acceptable
primary__glasses__all_available__longest_period_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,longest_period_midpoint,MEQ,132,482,482,9,11419.816666666668,16,15,1,Prepared-data sensitivity,not acceptable
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,m10_midpoint,MCTQ,140,810,810,9,18711.683333333334,16,16,0,,acceptable
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,m10_midpoint,MEQ,141,816,816,9,18851,16,16,0,,acceptable
primary__glasses__all_available__mean_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,mean_timing_above_250,MCTQ,140,736,736,9,17070.316666666666,16,16,0,,acceptable
primary__glasses__all_available__mean_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,mean_timing_above_250,MEQ,141,742,742,9,17209.633333333335,16,16,0,,acceptable
