frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,participants_checked,failed_deletions,dfbeta_flags,sign_reversals,material_changes,max_abs_dfbeta,max_abs_estimate_change,influence_assessment
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,139,0,13,0,0,0.49193947829151885,0.06051623412845247,acceptable
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,140,0,12,0,0,0.3887884767429714,0.0498953311155097,acceptable
primary__glasses__all_available__l10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,140,0,11,0,0,0.705838778593072,0.058074436395851026,acceptable
primary__glasses__all_available__l10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,141,0,7,0,0,0.3084011660732621,0.027131441814975343,acceptable
primary__glasses__all_available__last_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MCTQ,ESTIMABLE,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,140,683,683,9,15900.783333333333,1,5,7,TRUE,140,0,13,3,0,0.4129175297215362,0.0507585778746289,not acceptable
primary__glasses__all_available__last_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MEQ,ESTIMABLE,19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290,141,687,687,9,15995.05,1,5,7,TRUE,141,0,9,2,0,0.3217267424159883,0.04332332566534669,not acceptable
primary__glasses__all_available__longest_period_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MCTQ,ESTIMABLE,4a84638249c0cb5e0be8b0e5add1eff77115390fcdb24560ff63791921dd35bc,131,478,478,9,11325.55,1,4,7,TRUE,131,0,10,0,0,0.5656018475898715,0.0815686461028167,acceptable
primary__glasses__all_available__longest_period_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MEQ,ESTIMABLE,25847f9665b9a73dec8045d1f8a79ca480b67e410a1acb06784e078260661ce3,132,482,482,9,11419.816666666668,1,4,7,TRUE,132,0,14,0,0,0.2646969056865152,0.039533156666569425,acceptable
primary__glasses__all_available__m10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,140,0,12,0,0,0.5499646293160726,0.04676153336975447,acceptable
primary__glasses__all_available__m10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,141,0,10,0,0,0.3733821746737249,0.0334450135091528,acceptable
primary__glasses__all_available__mean_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MCTQ,ESTIMABLE,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,140,736,736,9,17070.316666666666,2,5.5,7,FALSE,140,0,11,0,0,0.38587568841966463,0.030080104404103435,acceptable
primary__glasses__all_available__mean_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MEQ,ESTIMABLE,00d504fedfc57a0513be3fd459fdcd99f63a252d839327f7cee5203d21a65736,141,742,742,9,17209.633333333335,2,6,7,FALSE,141,0,10,0,0,0.3164523173322274,0.026826549908561148,acceptable
primary__chest__all_available__first_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MCTQ,ESTIMABLE,2686fa682d40e8ef613b8441d9afefea73b72685097e7455c9bc2f42e073b156,153,797,797,8,18518.416666666668,1,6,7,TRUE,153,0,13,0,0,0.5467767960277471,0.06114732875462986,acceptable
