frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,residual_skewness,residual_excess_kurtosis,qq_correlation,max_abs_standardized_residual,abs_residual_fitted_spearman,site_residual_sd_ratio,distribution_assessment,heteroscedasticity_assessment
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,-0.2853373057785758,4.633507903561256,0.9546735954521702,4.574693362875269,0.1753489347525478,2.6255551377805086,not acceptable,not acceptable
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,-0.42595984537764975,4.849501817134293,0.9522204791899693,4.550307969844226,0.16890261457928898,2.589754197805245,not acceptable,not acceptable
primary__glasses__all_available__l10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,0.1340686826661676,12.528511100894637,0.916478698893586,6.436905668998915,0.17827727769230933,2.5409047790191477,not acceptable,not acceptable
primary__glasses__all_available__l10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,0.14447505498730695,12.33660960747339,0.9183391983644047,6.396050711148687,0.14957980373240343,2.5180807067019346,not acceptable,not acceptable
primary__glasses__all_available__last_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MCTQ,ESTIMABLE,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,140,683,683,9,15900.783333333333,1,5,7,TRUE,-0.5441972028534455,1.47109697357864,0.9839154290866343,3.5468054911955487,-0.17799670410601906,1.6859061700774727,acceptable,acceptable
primary__glasses__all_available__last_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MEQ,ESTIMABLE,19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290,141,687,687,9,15995.05,1,5,7,TRUE,-0.532800680440365,1.4443248977087917,0.9843985926390008,3.5234345750104916,-0.1719575742358744,1.6865155902329463,acceptable,acceptable
primary__glasses__all_available__longest_period_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MCTQ,ESTIMABLE,4a84638249c0cb5e0be8b0e5add1eff77115390fcdb24560ff63791921dd35bc,131,478,478,9,11325.55,1,4,7,TRUE,0.05780240272678692,-0.6504323645502126,0.9960813844670349,2.59638151196027,0.018232131147546352,1.7867362246927025,acceptable,acceptable
primary__glasses__all_available__longest_period_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MEQ,ESTIMABLE,25847f9665b9a73dec8045d1f8a79ca480b67e410a1acb06784e078260661ce3,132,482,482,9,11419.816666666668,1,4,7,TRUE,0.04712782601755306,-0.635944835149322,0.9963835441706563,2.532741400849374,0.012546008695819446,1.8231205123298508,acceptable,acceptable
primary__glasses__all_available__m10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,-0.0606488742446011,2.824740868726737,0.9779571923469429,5.096864730151627,0.12551856092956046,1.4658403076382578,not acceptable,acceptable
primary__glasses__all_available__m10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,-0.08939667095832672,2.836847941049241,0.9782439863445519,5.144063816125139,0.1316294193403644,1.4502355726282277,not acceptable,acceptable
