placement,site,Id,source_mctq,source_meq,normalized_mctq,normalized_meq,mctq_value_matches,meq_value_matches
glasses,BAUA,BAUA_S001,8014.285714030266,71,8014.285714030266,71,TRUE,TRUE
glasses,BAUA,BAUA_S002,9985.714285969734,57,9985.714285969734,57,TRUE,TRUE
glasses,BAUA,BAUA_S003,13757.142856955528,61,13757.142856955528,61,TRUE,TRUE
glasses,BAUA,BAUA_S004,13692.857143044472,56,13692.857143044472,56,TRUE,TRUE
glasses,BAUA,BAUA_S005,16757.14285695553,47,16757.14285695553,47,TRUE,TRUE
glasses,BAUA,BAUA_S006,14022.857143044472,54,14022.857143044472,54,TRUE,TRUE
glasses,BAUA,BAUA_S007,7757.142856955528,62,7757.142856955528,62,TRUE,TRUE
glasses,BAUA,BAUA_S009,11464.285714030266,45,11464.285714030266,45,TRUE,TRUE
glasses,BAUA,BAUA_S011,10028.571429014206,47,10028.571429014206,47,TRUE,TRUE
glasses,BAUA,BAUA_S012,16392.85714304447,43,16392.85714304447,43,TRUE,TRUE
glasses,BAUA,BAUA_S013,10200,59,10200,59,TRUE,TRUE
glasses,BAUA,BAUA_S014,14100,61,14100,61,TRUE,TRUE
glasses,BAUA,BAUA_S015,17142.85714304447,38,17142.85714304447,38,TRUE,TRUE
glasses,BAUA,BAUA_S016,9814.285714030266,66,9814.285714030266,66,TRUE,TRUE
glasses,BAUA,BAUA_S018,17378.571429014206,40,17378.571429014206,40,TRUE,TRUE
glasses,BAUA,BAUA_S022,13547.142856955528,50,13547.142856955528,50,TRUE,TRUE
glasses,BAUA,BAUA_S024,13457.142856955528,59,13457.142856955528,59,TRUE,TRUE
glasses,BAUA,BAUA_S025,21750,43,21750,43,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S003,6900,67,6900,67,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S004,18150,50,18150,50,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S005,15557.142856955528,50,15557.142856955528,50,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S006,18900,54,18900,54,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S007,,36,,36,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S008,29271.428570985794,54,29271.428570985794,54,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S009,14592.857143044472,52,14592.857143044472,52,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S010,11957.142856955528,67,11957.142856955528,67,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S011,16200,55,16200,55,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S012,17250,54,17250,54,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S013,16392.85714304447,50,16392.85714304447,50,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S014,14820,47,14820,47,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S015,13007.142856955528,62,13007.142856955528,62,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S016,16500,62,16500,62,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S017,22178.571429014206,45,22178.571429014206,45,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S018,19585.714285969734,42,19585.714285969734,42,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S019,11400,65,11400,65,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S020,18514.285714030266,58,18514.285714030266,58,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S021,24750,43,24750,43,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S022,18385.714285969734,42,18385.714285969734,42,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S023,24385.714285969734,49,24385.714285969734,49,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S024,24385.714285969734,49,24385.714285969734,49,TRUE,TRUE
glasses,FUSPCEU,FUSPCEU_S025,17357.14285695553,52,17357.14285695553,52,TRUE,TRUE
glasses,IZTECH,IZTECH_S001,11571.428570985794,54,11571.428570985794,54,TRUE,TRUE
glasses,IZTECH,IZTECH_S002,19071.428570985794,32,19071.428570985794,32,TRUE,TRUE
glasses,IZTECH,IZTECH_S003,18964.285714030266,40,18964.285714030266,40,TRUE,TRUE
glasses,IZTECH,IZTECH_S004,24300,40,24300,40,TRUE,TRUE
glasses,IZTECH,IZTECH_S005,19800,57,19800,57,TRUE,TRUE
glasses,IZTECH,IZTECH_S006,15450,57,15450,57,TRUE,TRUE
glasses,IZTECH,IZTECH_S007,19050,58,19050,58,TRUE,TRUE
glasses,IZTECH,IZTECH_S008,14820,60,14820,60,TRUE,TRUE
glasses,IZTECH,IZTECH_S009,23078.571429014206,43,23078.571429014206,43,TRUE,TRUE
glasses,IZTECH,IZTECH_S010,21021.428570985794,52,21021.428570985794,52,TRUE,TRUE
glasses,IZTECH,IZTECH_S011,19757.14285695553,52,19757.14285695553,52,TRUE,TRUE
glasses,IZTECH,IZTECH_S012,19714.285714030266,44,19714.285714030266,44,TRUE,TRUE
glasses,IZTECH,IZTECH_S013,25500,30,25500,30,TRUE,TRUE
glasses,IZTECH,IZTECH_S014,13200,56,13200,56,TRUE,TRUE
glasses,IZTECH,IZTECH_S015,22500,34,22500,34,TRUE,TRUE
glasses,IZTECH,IZTECH_S016,18450,62,18450,62,TRUE,TRUE
glasses,IZTECH,IZTECH_S017,21385.714285969734,49,21385.714285969734,49,TRUE,TRUE
glasses,KNUST,KNUST_S001,11700,62,11700,62,TRUE,TRUE
glasses,KNUST,KNUST_S002,9000,63,9000,63,TRUE,TRUE
glasses,KNUST,KNUST_S003,8357.142856955528,69,8357.142856955528,69,TRUE,TRUE
glasses,KNUST,KNUST_S004,10714.285714030266,70,10714.285714030266,70,TRUE,TRUE
glasses,KNUST,KNUST_S005,4950,72,4950,72,TRUE,TRUE
glasses,KNUST,KNUST_S006,13800,60,13800,60,TRUE,TRUE
glasses,KNUST,KNUST_S007,8100,58,8100,58,TRUE,TRUE
glasses,KNUST,KNUST_S008,6450,61,6450,61,TRUE,TRUE
glasses,KNUST,KNUST_S009,11571.428570985794,53,11571.428570985794,53,TRUE,TRUE
