frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,removed_site,remaining_participants,remaining_participant_days,refit_status,refit_error,estimate,std_error,conf_low,conf_high,estimate_change,sign_reversal,material_change
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE,126,648,FITTED,,0.4043421456484058,0.1346251268471472,0.14048174561386106,0.6682025456829506,0.02310560275836432,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,THUAS,126,654,FITTED,,0.3783627087466362,0.12528358314425617,0.1328113979297648,0.6239140195635076,-0.002873834143405307,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,BAUA,121,629,FITTED,,0.39358327262693144,0.12351956890045869,0.15148936619611877,0.6356771790577441,0.012346729736889939,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,MPI,114,589,FITTED,,0.33530022053759145,0.12993289208327058,0.0806364316472517,0.5899640094279313,-0.04593632235245004,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,TUM,129,666,FITTED,,0.35178652295505725,0.1183049242391961,0.11991313225249331,0.5836599136576212,-0.02945001993498425,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,FUSPCEU,117,609,FITTED,,0.5019131960900455,0.136456022507087,0.23446430650256805,0.769362085677523,0.12067665320000398,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,IZTECH,122,627,FITTED,,0.33665107440993747,0.12686533630405702,0.08799958436742397,0.585302564452451,-0.04458546848010403,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,UCR,133,693,FITTED,,0.3618393594434154,0.12332180725824418,0.12013305870886665,0.6035456601779641,-0.01939718344662611,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,KNUST,124,661,FITTED,,0.38899193064375165,0.12772186210773773,0.13866168087419473,0.6393221804133086,0.007755387753710152,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,RISE,127,653,FITTED,,-0.48841377681785986,0.14877163869091053,-0.78000083057305,-0.19682672306266968,-0.04450641240849085,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,THUAS,127,659,FITTED,,-0.4230315030466836,0.13646576724417023,-0.690499491967883,-0.1555635141254842,0.020875861362685433,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,BAUA,122,634,FITTED,,-0.45011029214401055,0.1341156354816496,-0.7129721074517459,-0.18724847683627527,-0.006202927734641539,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,MPI,115,594,FITTED,,-0.4706259521897852,0.1482817800766528,-0.7612529007035136,-0.17999900367605687,-0.026718587780416192,FALSE,FALSE
