frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,participant_key,deletion_converged,deleted_estimate,estimate_change,dfbeta,cooks_distance,dfbeta_threshold,influence_error,dfbeta_flag,sign_reversal,material_change
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S001,TRUE,0.3861127611219257,0.004876218231884222,0.040496444634140226,0.0022364657001013814,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S002,TRUE,0.4002958365126249,0.019059293622583406,0.15094045623695704,0.004593200194636975,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S003,TRUE,0.3837120236811408,0.002475480791099327,0.02044855357677053,3.923749705092057e-4,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S004,TRUE,0.3800470471662795,-0.0011894957237619797,-0.009880119408874875,9.065656357920114e-4,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S005,TRUE,0.378708747495249,-0.002527795394792476,-0.02098323356579335,0.0014158558361066292,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S006,TRUE,0.38097912951080715,-2.5741337923435026e-4,-0.002138512451985481,3.539639760355058e-4,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S007,TRUE,0.3777743015445708,-0.0034622413454706846,-0.028774474505308244,0.003115564925755098,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S008,TRUE,0.38083033707041286,-4.0620581962863556e-4,-0.003371200240928157,4.531795035828216e-5,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S009,TRUE,0.3751708287507423,-0.006065714139299183,-0.050329657990358795,0.0038456810894395227,0.16963778593599418,,FALSE,FALSE,FALSE
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,RISE:RISE_S010,TRUE,0.3846575395492374,0.0034209966591959295,0.028450645197181483,0.0031485849197271866,0.16963778593599418,,FALSE,FALSE,FALSE
