"zero_index","first_cell"
0,"Dynamics"
1,"Interdaily stability"
2,"Intradaily variability"
3,"Level"
4,"Mean melEDI"
5,"Brightest 10 h mean"
6,"Darkest 10 h mean"
7,"Duration"
8,"Time above 1,000 lx melEDI"
9,"Time above 250 lx melEDI during wake"
10,"Time below 10 lx melEDI before sleep"
11,"Time below 1 lx melEDI during sleep"
12,"Longest continuous period above 250 lx melEDI"
13,"Timing"
14,"Midpoint of the brightest 10 hours"
15,"Midpoint of the darkest 10 hours"
16,"Mean timing of exposure above 250 lx melEDI"
17,"First light timing above 250 lx melEDI"
18,"Last light timing above 250 lx melEDI"
19,"Exposure history"
20,"melEDI dose"
21,"Spectrum"
22,"Melanopic daylight efficacy ratio"
