"index","kind","style","text","text_chars","drawings","drawing_alt","drawing_width_in","drawing_height_in","direct_spacing","direct_line_rule","keep_next","keep_lines","page_before","has_keep_next","has_keep_lines","has_page_before","section","section_type","section_width","section_height","orientation","margin_top","margin_bottom"
25,"p","Textkrper"," ",1,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
26,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
27,"p","ImageCaption","Table 1: Participant and measurement characteristics overall and by country-coded study site. The table distinguishes the 191-person roster, participants and participant-days with recorded l",484,0,"",,,"","","","","",TRUE,FALSE,FALSE,FALSE,"","","","","",""
29,"p","","",0,1,"Main Table 1, part 2 of 2",10.55,4.41980971128609,"","","","","",FALSE,TRUE,TRUE,FALSE,"","","","","",""
30,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
31,"p","Textkrper","Exposure was within the applicable recommendation during 24.0% of daytime minutes, 63.3% of pre-sleep minutes and 87.7% of sleep minutes. This represented 137,792 of 573,712 waking daytime m",533,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
35,"p","Textkrper","Fixed predictors explained 58.4% of variance on the design-standardized response scale, the participant intercept added 2.2 percentage points and observation and distribution variation accou",780,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
36,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
37,"p","ImageCaption","Table 2: Recommendation adherence by Brown et al. recommendation window and day type. Daytime, Pre-sleep and Sleep identify the recommendation windows used for comparison. Daytime comprises ",1125,0,"",,,"","","","","",TRUE,FALSE,FALSE,FALSE,"","","","","",""
38,"p","","",0,1,"Main Table 2, part 1 of 1",10.55,5.28088035870516,"","","","","0",FALSE,TRUE,TRUE,FALSE,"","","","","",""
39,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
40,"p","Textkrper","A separate exploratory analysis related adherence across recommendation windows. Within participants, the estimated differences for a daytime-adherence value 10 percentage points above a par",1216,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
55,"p","Textkrper","Across the recorded 10.33 to 20.52 h of civil photoperiod, six of nine level, exposure-history, and duration-based metrics changed from increasing to a sustained near-flat tail between 14.24",1005,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
56,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
57,"p","ImageCaption","Table 3: Near-eye personal light-exposure metrics and their geographic and photoperiod context. Descriptive exposure values are medians with interquartile ranges (25th to 75th percentiles). ",977,0,"",,,"","","","","",TRUE,FALSE,FALSE,FALSE,"","","","","",""
61,"p","","",0,1,"Main Table 3, part 4 of 4",10.2742847769029,6.2,"","","","","",FALSE,TRUE,TRUE,FALSE,"","","","","",""
62,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
63,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
499,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
500,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
501,"p","berschrift1","Supplementary Information",25,0,"",,,"","","","","",TRUE,FALSE,TRUE,FALSE,"","","","","",""
509,"p","Textkrper","Supplementary Table S1. Participant, participant-day, and one-minute observation counts across the roster, sensor-specific completeness and all-zero screens, final descriptive datasets, and ",324,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
510,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
511,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
513,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
514,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
515,"p","berschrift3","Supplementary Table S2. Full near-eye metric dictionary and distributions",73,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
520,"p","Textkrper","Supplementary Table S2. Definitions, exact support, median (interquartile range) summaries, and density displays for the 17 near-eye personal light-exposure metrics overall and by site. Valu",325,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
521,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","23810","16838","landscape","792","792"
522,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
524,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
525,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
526,"p","berschrift3","Supplementary Table S3. Descriptive recommendation-range fractions",66,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
529,"p","Textkrper","Supplementary Table S3. Fractions of valid near-eye minutes meeting each Brown et al. recommendation range, with explicit numerators and denominators. Daytime, Pre-sleep, and Sleep identify ",496,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
530,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
531,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
567,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
568,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
569,"p","berschrift3","Supplementary Table S4. Exploratory cross-window recommendation-adherence associations",86,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
573,"p","Textkrper","Supplementary Table S4. Exploratory within-participant and between-participant associations across Brown et al. recommendation windows. Results are percentage-point differences per 10 percen",498,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
574,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
575,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
584,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
585,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
586,"p","berschrift2","Daily architecture",18,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
598,"p","Textkrper","Supplementary Table S6. Complementary chest fitted-curve dispersion and Shapley allocation of full-model in-sample R². The quantities, bootstrap intervals and interpretation follow Supplemen",279,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
599,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
600,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
613,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
614,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
615,"p","berschrift3","Supplementary Table S7. Geographic and photoperiod associations",63,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
627,"p","Textkrper","Supplementary Table S8. Derivative-based classifications for nine near-eye personal light-exposure metrics across the observed civil-photoperiod range. A qualifying transition required the p",460,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
628,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
629,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
669,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
670,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
671,"p","berschrift3","Supplementary Table S9. Participant-hour routine associations",61,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
685,"p","Textkrper","Supplementary Table S10. Summary of person-level results in the near-eye analyses. Each row identifies the analysis-specific FDR-correction set or decision structure applied to that result. ",621,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
686,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
687,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
694,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
695,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
696,"p","Beschriftung","Supplementary Table S11. Light-exposure behaviour and awareness",63,0,"",,,"","","","","0",TRUE,FALSE,TRUE,FALSE,"","","","","",""
700,"p","","",0,1,"Supplementary Table S11, part 1 of 1",10.55,5.48128390201225,"","","","","0",FALSE,TRUE,TRUE,FALSE,"","","","","",""
701,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
702,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
