"index","kind","style","text","text_chars","drawings","drawing_alt","drawing_width_in","drawing_height_in","direct_spacing","direct_line_rule","keep_next","keep_lines","page_before","has_keep_next","has_keep_lines","has_page_before","section","section_type","section_width","section_height","orientation","margin_top","margin_bottom"
1,"p","Titel","The health-relevant architecture of the everyday light exposome",63,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
2,"p","Author","Johannes Zauner1,✉, Altug Didikoglu2,3, Sam Aerts4, Gabriel Kwaku Agbeshie5, Kwadwo Owusu Akuffo5, Sena Gulsum Akgun3, Sema Nur Aydin3, David Baeza Moyano6, Daan Boesten4, John F.B. Bolte4,7",578,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
3,"p","Date","2026-08-21",10,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
4,"p","FirstParagraph","1 Department Health and Sports Sciences, TUM School of Medicine and Health, Chronobiology & Health, Technical University of Munich, Munich, Germany2 Division of Diabetes, Endocrinology, and ",1422,0,"",,,"324","auto","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
5,"p","Textkrper","✉ Correspondence: Johannes Zauner <johannes.zauner@tum.de>",58,0,"",,,"240","auto","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
6,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
7,"p","berschrift1","Abstract",8,0,"",,,"","","","","",TRUE,FALSE,TRUE,FALSE,"","","","","",""
8,"p","FirstParagraph","Personal light exposure has been associated with sleep and non-communicable diseases, yet how ocular exposure varies across the day, among people and between everyday settings remains poorly",1089,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
9,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
10,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
11,"p","berschrift1","Introduction",12,0,"",,,"","","","","",TRUE,FALSE,TRUE,FALSE,"","","","","",""
12,"p","FirstParagraph","Light reaching the eye supports vision and signals circadian timing, sleep, alertness and neuroendocrine responses1–5. Melanopic equivalent daylight illuminance (melanopic EDI) weights illum",626,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
13,"p","Textkrper","Population studies and reviews associate personal light patterns with sleep and major non-communicable diseases9. Wrist-sensor studies link light timing and day-night distribution with sleep",809,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
14,"p","Textkrper","An everyday exposure baseline against these recommendations is missing. Personal exposure to natural and electric light follows an expected 24-hour rhythm, including in large wrist-sensor co",843,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
15,"p","Textkrper","Using the harmonised MeLiDos protocol, we measured personal light across nine sites in seven countries34,35. The near-eye sensor characterised ocular light exposure during wear, alongside di",1041,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
16,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
17,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
18,"p","berschrift1","Results",7,0,"",,,"","","","","",TRUE,FALSE,TRUE,FALSE,"","","","","",""
19,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
20,"p","berschrift2","A multisite baseline and recommendation adherence",49,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
21,"p","FirstParagraph","The normalised roster comprised 191 participants across Borås (SE), Delft (NL), Dortmund (DE), Tübingen (DE), Munich (DE), Madrid (ES), Izmir (TR), San José (CR) and Kumasi (GH). Of these, 1",736,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
22,"p","Textkrper","The pooled near-eye record followed the expected 24-hour rhythm: low overnight exposure, a morning rise, higher daytime values and an evening decline. Seventeen complementary metrics capture",934,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
23,"p","Compact","",0,1,"Main Figure 1",4.62,4.4,"","","","","",TRUE,TRUE,TRUE,FALSE,"","","","","",""
24,"p","ImageCaption","Figure 1: Five-panel overview of the eight-day protocol, sensor positions, nine country-coded sites, collection windows, civil photoperiod, and the pooled near-eye daily profile. A, Eight-da",952,0,"",,,"","","","","",FALSE,TRUE,FALSE,FALSE,"","","","","",""
25,"p","Textkrper"," ",1,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
26,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
27,"p","ImageCaption","Table 1: Participant and measurement characteristics overall and by country-coded study site. The table distinguishes the 191-person roster, participants and participant-days with recorded l",484,0,"",,,"","","","","",TRUE,FALSE,FALSE,FALSE,"","","","","",""
28,"p","","",0,1,"Main Table 1, part 1 of 2",10.55,4.63560586176728,"","","","","0",FALSE,TRUE,TRUE,FALSE,"","","","","",""
29,"p","","",0,1,"Main Table 1, part 2 of 2",10.55,4.41980971128609,"","","","","",FALSE,TRUE,TRUE,FALSE,"","","","","",""
30,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
31,"p","Textkrper","Exposure was within the applicable recommendation during 24.0% of daytime minutes, 63.3% of pre-sleep minutes and 87.7% of sleep minutes. This represented 137,792 of 573,712 waking daytime m",533,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
32,"p","Textkrper","These pooled-minute percentages describe how often exposure lay within range, not participant adherence. Model-based comparisons retained each window’s adherent and valid-minute counts.",185,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
33,"p","Textkrper","The main adherence model included 2,216 recommendation-window periods from 140 participants and 782 complete daytime, pre-sleep and sleep cycles, representing 1,028,958 valid minutes. Site-a",691,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
34,"p","Textkrper","Adherence differences between free and work days varied among sites (p = 0.003): during daytime (p = 0.002) and sleep (p = 0.003), but not pre-sleep (p = 0.526). The free-minus-work daytime ",541,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
35,"p","Textkrper","Fixed predictors explained 58.4% of variance on the design-standardized response scale, the participant intercept added 2.2 percentage points and observation and distribution variation accou",780,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
36,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
37,"p","ImageCaption","Table 2: Recommendation adherence by Brown et al. recommendation window and day type. Daytime, Pre-sleep and Sleep identify the recommendation windows used for comparison. Daytime comprises ",1125,0,"",,,"","","","","",TRUE,FALSE,FALSE,FALSE,"","","","","",""
38,"p","","",0,1,"Main Table 2, part 1 of 1",10.55,5.28088035870516,"","","","","0",FALSE,TRUE,TRUE,FALSE,"","","","","",""
39,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
40,"p","Textkrper","A separate exploratory analysis related adherence across recommendation windows. Within participants, the estimated differences for a daytime-adherence value 10 percentage points above a par",1216,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
41,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
42,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
43,"p","berschrift2","Personal and day-to-day differences exceed site differences",59,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
44,"p","FirstParagraph","A nonlinear model decomposed personal light exposure into common local-clock, site and participant curves, and participant-day shifts. Near-eye in-sample R² was 0.775. Participant curves wer",459,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
45,"p","Textkrper","Shares of full-model R² showed the same hierarchy: 78.9% for the shared local-clock pattern, 12.9% for participant patterns, 6.2% for participant-day shifts and 2.0% for site patterns. The p",393,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
46,"p","Textkrper","The shared rhythm did not imply uniform amplitude. Relative to the fitted site-average daily pattern, Borås (SE) ratios were 2.04 to 4.64 from 06:00 to 11:00 and 1.80 to 2.73 from 15:00 to 1",496,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
47,"p","Textkrper","The chest model had an in-sample R² of 0.737. Of this full-model R², common time accounted for 79.1%, participant patterns 11.9%, participant-day shifts 7.0% and site patterns 2.1%. Common-s",507,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
48,"p","Compact","",0,1,"Main Figure 2",4.20357174103237,5.35,"","","","","",TRUE,TRUE,TRUE,FALSE,"","","","","",""
49,"p","ImageCaption","Figure 2: Multiscale daily pattern of near-eye melanopic equivalent daylight illuminance. A, Site-average daily curve. B, Fitted site curves. C, Fitted participant curves after the shared lo",766,0,"",,,"","","","","",FALSE,TRUE,FALSE,FALSE,"","","","","",""
50,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
51,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
52,"p","berschrift2","Geography and photoperiod provide partial context",49,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
53,"p","FirstParagraph","Site associations were stream-specific. Site differences met the FDR criterion for 8 of 17 near-eye metrics: all three level metrics, waking time above 250 lx, the brightest- and darkest-10-",748,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
54,"p","Textkrper","Civil-photoperiod associations were selective. Per additional hour, the fitted daily geometric mean was 1.18 times higher (95% CI 1.11 to 1.26), the brightest-10-hour mean 1.24 times higher ",905,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
55,"p","Textkrper","Across the recorded 10.33 to 20.52 h of civil photoperiod, six of nine level, exposure-history, and duration-based metrics changed from increasing to a sustained near-flat tail between 14.24",1005,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
56,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","11901","16840","","1440","1440"
57,"p","ImageCaption","Table 3: Near-eye personal light-exposure metrics and their geographic and photoperiod context. Descriptive exposure values are medians with interquartile ranges (25th to 75th percentiles). ",977,0,"",,,"","","","","",TRUE,FALSE,FALSE,FALSE,"","","","","",""
58,"p","","",0,1,"Main Table 3, part 1 of 4",10.55,5.7661198600175,"","","","","0",FALSE,TRUE,TRUE,FALSE,"","","","","",""
59,"p","","",0,1,"Main Table 3, part 2 of 4",10.55,4.48375,"","","","","",FALSE,TRUE,TRUE,FALSE,"","","","","",""
60,"p","","",0,1,"Main Table 3, part 3 of 4",10.55,5.35685258092738,"","","","","",FALSE,TRUE,TRUE,FALSE,"","","","","",""
61,"p","","",0,1,"Main Table 3, part 4 of 4",10.2742847769029,6.2,"","","","","",FALSE,TRUE,TRUE,FALSE,"","","","","",""
62,"p","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,TRUE,"nextPage","16840","11901","landscape","792","792"
63,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
64,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
65,"p","berschrift2","Immediate environments and routines reorganise exposure",55,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
66,"p","FirstParagraph","Self-reported light source was strongly associated with one-hour near-eye exposure, with an FDR-supported light-source-by-site interaction. Site-average interaction-model estimates were 959.",972,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
67,"p","Textkrper","External light during sleep in Munich (DE) was estimated at 130.2 lx, 11.65 times the corresponding site average; sleep darkness in Kumasi (GH) was 0.371 lx, 0.166 times its site average. Sp",238,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
68,"p","Textkrper","The primary analysis used a population-mean quasi-Tweedie model with participant-cluster-robust covariance for uncertainty; lag-one residual correlation remained 0.288. Fitted versus observe",942,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
69,"p","Textkrper","A sensitivity adjusted the population-average light-source comparisons for each participant’s overall category distribution, distinguishing hour-to-hour differences within participants from ",670,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
70,"p","Textkrper","Immediate setting combined behaviour and environment, with an FDR-supported activity-by-site interaction. Site-average near-eye estimates were 714.2 lx outdoors (95% CI 561.7 to 908.2), 331.",1808,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
71,"p","Compact","",0,1,"Main Figure 3",3.57929243219598,5.35,"","","","","",TRUE,TRUE,TRUE,FALSE,"","","","","",""
72,"p","ImageCaption","Figure 3: Personal light exposure by immediate setting across time of day and study sites. The diary variable labelled activity combines behaviour and environmental setting. A–C, Exploratory",1142,0,"",,,"","","","","",FALSE,TRUE,FALSE,FALSE,"","","","","",""
73,"p","Textkrper","Across models of free versus work day, active versus sedentary daily activity status and previous-night sleep duration, the site-average reference was a work, sedentary day following an aver",1660,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
74,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
75,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
76,"p","berschrift2","Person-level correlates are selective",37,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
77,"p","FirstParagraph","Self-report analyses did not support general exposure profiling. None of 68 prespecified near-eye associations between four light-exposure-related behaviour (LEBA) factors and 17 metrics ret",573,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
78,"p","Textkrper","Each hour later in corrected midsleep on free days (MCTQ questionnaire) was associated with first exposure above 250 lx occurring 0.381 h later (95% CI 0.146 to 0.616; FDR-adjusted p = 0.003",715,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
79,"p","Textkrper","Each additional decade of age was associated with higher near-eye brightest-10-hour mean, time above 1,000 lx and daily dose, with ratios from 1.27 to 1.31. These cross-sectional association",1014,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
80,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
81,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
82,"p","berschrift2","Measurement position and robustness constrain interpretation",60,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
83,"p","FirstParagraph","The paired sample of 112 participants and 643 participant-days allowed separate near-eye and chest models to be compared within the same participants and participant-days. The full chest dat",527,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
84,"p","Textkrper","A parallel analysis of overlapping MeLiDos data reported structured position differences across scale, metric, context, site, day and participant33. Our separate and common-sample analyses l",474,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
85,"p","Textkrper","Non-estimable planned quantities were four sleep-environment variants (main plus three sensitivity variants) at each position in the light-behaviour analysis (LEBA), and one longest-period s",490,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
86,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
87,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
88,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
89,"p","berschrift1","Discussion",10,0,"",,,"","","","","",TRUE,FALSE,TRUE,FALSE,"","","","","",""
90,"p","FirstParagraph","The expected 24-hour rhythm was evident across nine sites in seven countries. The advance was a multiscale account of this everyday exposome component: amplitude across sites, people and day",838,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
91,"p","Textkrper","The consensus recommendations provide the clearest health-relevant benchmark. Only 24.0% of waking minutes reached the daytime range, while 63.3% of pre-sleep and 87.7% of bedside sleep-envi",976,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
92,"p","Textkrper","This baseline connects mechanistic recommendations with population evidence. Large wrist-sensor cohorts have associated day and night light patterns with psychiatric disorders, incident type",909,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
93,"p","Textkrper","Exploratory inverse associations of average daytime with sleep and pre-sleep adherence show why the three recommendation windows should not be collapsed into one score. They may reflect sche",874,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
94,"p","Textkrper","Location mattered, but not as one north-to-south ranking. Site differences concentrated in daily level, waking bright-light duration and several timing metrics, while dose, spectrum and regu",815,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
95,"p","Textkrper","Immediate setting patterned exposure, consistent with environmental opportunity, built settings and behaviour36. Outdoor daylight and being outdoors exceeded indoor electric light and awake ",736,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
