"key","part","path","sha256","css_width","css_height","row_start","row_end","action"
"main_table_1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/f2df0ce73bc3_main_table_1_part_01.png","f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7",1320,580,0,12,"reuse_byte_exact"
"main_table_1",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/a8e5892c5913_main_table_1_part_02.png","a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70",1320,553,12,18,"reuse_byte_exact"
"main_table_2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/cf05ca1aac8f_main_table_2_part_01.png","cf05ca1aac8f6a3681318636b6ccbc31824e57e43d1c8f651e99fbedb81c6d0e",897,449,0,3,"held_until_new_Brown_acceptance"
"main_table_3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/0ae5066b9063_main_table_3_part_01.png","0ae5066b9063781a0485f1b5d3888687bfd4fc419f86eda424e2333d009b1fa6",1160,634,0,6,"reuse_byte_exact"
"main_table_3",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/9fd4d40280b2_main_table_3_part_02.png","9fd4d40280b22912e5add64cd34963d986099bc2ac9ef3dd92193b492d640c3f",1160,493,6,11,"reuse_byte_exact"
"main_table_3",3,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/8cb6bba7991c_main_table_3_part_03.png","8cb6bba7991cdca2ffcb60fd94c5dd2022d0fd1e592ab94a5de5f77115088d15",1160,589,11,17,"reuse_byte_exact"
"main_table_3",4,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/70e68224e2b5_main_table_3_part_04.png","70e68224e2b514462236563f396885d82dc7c786189dad85f58b6f274565fdc1",1160,700,17,23,"reuse_byte_exact"
"supp_table_s1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/406ac771d781_supp_table_s1_part_01.png","406ac771d7810394aaa171616bc60127ce4e24479fc12b694a2edede1ce13689",896,630,0,17,"reuse_byte_exact"
"supp_table_s2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/capture_s2_attempt5/supp_table_s2_part_01.png","0114e1aad3df65f515b4c5d06e6f27d83ce2e0273b063c20dffaf37872caa618",1490,869,0,9,"new_capture_same_rows_all_columns"
"supp_table_s2",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/capture_s2_attempt5/supp_table_s2_part_02.png","43f113ff011a74e5f4cd62b480f604df097262808b98f9ba0d2a699e0f15362e",1490,726,9,17,"new_capture_same_rows_all_columns"
