"source_body_row","source_column","text","style"
2,3,"01:10 ± 01:28","white-space:nowrap"
2,4,"02:00 ± 01:54","white-space:nowrap"
2,5,"01:33 ± 01:28","white-space:nowrap"
2,6,"01:48 ± 02:14","white-space:nowrap"
2,7,"01:06 ± 01:22","white-space:nowrap"
2,8,"01:09 ± 01:18","white-space:nowrap"
2,9,"00:38 ± 00:47","white-space:nowrap"
2,10,"00:44 ± 00:51","white-space:nowrap"
2,11,"00:32 ± 00:33","white-space:nowrap"
2,12,"00:58 ± 00:57","white-space:nowrap"
3,3,"03:00 ± 02:29","white-space:nowrap"
3,4,"04:21 ± 02:24","white-space:nowrap"
3,5,"03:39 ± 02:25","white-space:nowrap"
3,6,"04:05 ± 02:51","white-space:nowrap"
3,7,"02:52 ± 02:39","white-space:nowrap"
3,8,"02:57 ± 02:19","white-space:nowrap"
3,9,"03:02 ± 02:19","white-space:nowrap"
3,10,"02:09 ± 01:57","white-space:nowrap"
3,11,"01:48 ± 01:21","white-space:nowrap"
3,12,"01:45 ± 01:46","white-space:nowrap"
4,3,"01:51 ± 01:02","white-space:nowrap"
4,4,"02:05 ± 00:53","white-space:nowrap"
4,5,"01:59 ± 00:57","white-space:nowrap"
4,6,"01:41 ± 00:58","white-space:nowrap"
4,7,"01:52 ± 01:06","white-space:nowrap"
4,8,"01:45 ± 01:10","white-space:nowrap"
4,9,"01:50 ± 01:05","white-space:nowrap"
4,10,"01:38 ± 01:00","white-space:nowrap"
4,11,"01:56 ± 01:00","white-space:nowrap"
4,12,"02:09 ± 00:57","white-space:nowrap"
5,3,"07:04 ± 01:57","white-space:nowrap"
5,4,"07:12 ± 01:46","white-space:nowrap"
5,5,"07:01 ± 01:50","white-space:nowrap"
5,6,"07:05 ± 01:50","white-space:nowrap"
5,7,"06:47 ± 01:30","white-space:nowrap"
5,8,"05:58 ± 01:58","white-space:nowrap"
5,9,"08:02 ± 01:57","white-space:nowrap"
5,10,"06:40 ± 02:07","white-space:nowrap"
5,11,"06:39 ± 01:43","white-space:nowrap"
5,12,"07:35 ± 02:15","white-space:nowrap"
6,3,"00:55 ± 01:00","white-space:nowrap"
6,4,"01:12 ± 01:02","white-space:nowrap"
6,5,"01:09 ± 01:15","white-space:nowrap"
6,6,"01:20 ± 01:31","white-space:nowrap"
6,7,"00:50 ± 00:54","white-space:nowrap"
6,8,"01:01 ± 01:02","white-space:nowrap"
6,9,"00:45 ± 00:36","white-space:nowrap"
6,10,"00:43 ± 00:41","white-space:nowrap"
6,11,"00:30 ± 00:20","white-space:nowrap"
6,12,"00:38 ± 00:45","white-space:nowrap"
8,3,"0.318 ± 0.095","white-space:nowrap"
