"old_section_zero_based","body_index","old_orientation","proposed_action"
0,26,"portrait","remove_empty_carrier_only"
1,30,"landscape","remove_empty_carrier_only"
2,36,"portrait","remove_empty_carrier_only"
3,39,"landscape","remove_empty_carrier_only"
4,56,"portrait","remove_empty_carrier_only"
5,62,"landscape","remove_empty_carrier_only"
6,500,"portrait","remove_empty_carrier_only"
7,510,"landscape","remove_empty_carrier_only"
8,514,"portrait","remove_empty_carrier_only"
9,521,"landscape","remove_empty_carrier_only"
10,525,"portrait","remove_empty_carrier_only"
11,530,"landscape","remove_empty_carrier_only"
12,568,"portrait","remove_empty_carrier_only"
13,574,"landscape","remove_empty_carrier_only"
14,585,"portrait","remove_empty_carrier_only"
15,599,"landscape","remove_empty_carrier_only"
16,614,"portrait","remove_empty_carrier_only"
17,628,"landscape","remove_empty_carrier_only"
18,670,"portrait","remove_empty_carrier_only"
19,686,"landscape","remove_empty_carrier_only"
20,695,"portrait","remove_empty_carrier_only"
21,701,"landscape","remove_empty_carrier_only"
22,710,"portrait","remove_empty_carrier_only"
23,713,"landscape","remove_empty_carrier_only"
24,724,"portrait","remove_empty_carrier_only"
25,727,"landscape","remove_empty_carrier_only"
26,736,"portrait","remove_empty_carrier_only"
27,739,"landscape","remove_empty_carrier_only"
28,748,"portrait","remove_empty_carrier_only"
29,751,"landscape","remove_empty_carrier_only"
30,760,"portrait","remove_empty_carrier_only"
