"id","name","base","line","rule","keep_next","has_keep_next","keep_lines","page_before"
"Standard","Normal","","360","auto","",FALSE,"",""
"berschrift1","heading 1","Standard","","","",TRUE,"",""
"berschrift2","heading 2","Standard","","","",TRUE,"",""
"berschrift3","heading 3","Standard","","","",TRUE,"",""
"berschrift4","heading 4","Standard","","","",TRUE,"",""
"berschrift5","heading 5","Standard","","","",TRUE,"",""
"berschrift6","heading 6","Standard","","","",TRUE,"",""
"Absatz-Standardschriftart","Default Paragraph Font","","","","",FALSE,"",""
"NormaleTabelle","Normal Table","","","","",FALSE,"",""
"KeineListe","No List","","","","",FALSE,"",""
"Titel","Title","Standard","","","",TRUE,"",""
"Untertitel","Subtitle","Standard","","","",TRUE,"",""
"a","","NormaleTabelle","","","",FALSE,"",""
"a0","","NormaleTabelle","","","",FALSE,"",""
"a1","","NormaleTabelle","","","",FALSE,"",""
"a2","","NormaleTabelle","","","",FALSE,"",""
"a3","","NormaleTabelle","","","",FALSE,"",""
"a4","","NormaleTabelle","","","",FALSE,"",""
"a5","","NormaleTabelle","","","",FALSE,"",""
"a6","","NormaleTabelle","","","",FALSE,"",""
"a7","","NormaleTabelle","","","",FALSE,"",""
"a8","","NormaleTabelle","","","",FALSE,"",""
"a9","","NormaleTabelle","","","",FALSE,"",""
"aa","","NormaleTabelle","","","",FALSE,"",""
"ab","","NormaleTabelle","","","",FALSE,"",""
"ac","","NormaleTabelle","","","",FALSE,"",""
"ad","","NormaleTabelle","","","",FALSE,"",""
"ae","","NormaleTabelle","","","",FALSE,"",""
"af","","NormaleTabelle","","","",FALSE,"",""
"af0","","NormaleTabelle","","","",FALSE,"",""
"af1","","NormaleTabelle","","","",FALSE,"",""
"af2","","NormaleTabelle","","","",FALSE,"",""
"af3","","NormaleTabelle","","","",FALSE,"",""
"af4","","NormaleTabelle","","","",FALSE,"",""
"af5","","NormaleTabelle","","","",FALSE,"",""
"af6","","NormaleTabelle","","","",FALSE,"",""
"Kopfzeile","header","Standard","","","",FALSE,"",""
"KopfzeileZchn","Kopfzeile Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"Fuzeile","footer","Standard","","","",FALSE,"",""
"FuzeileZchn","Fußzeile Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"Hyperlink","Hyperlink","Absatz-Standardschriftart","","","",FALSE,"",""
"NichtaufgelsteErwhnung","Unresolved Mention","Absatz-Standardschriftart","","","",FALSE,"",""
"Kommentarzeichen","annotation reference","Absatz-Standardschriftart","","","",FALSE,"",""
"Kommentartext","annotation text","Standard","","","",FALSE,"",""
"KommentartextZchn","Kommentartext Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"Kommentarthema","annotation subject","Kommentartext","","","",FALSE,"",""
"KommentarthemaZchn","Kommentarthema Zchn","KommentartextZchn","","","",FALSE,"",""
"berarbeitung","Revision","","240","auto","",FALSE,"",""
"Listenabsatz","List Paragraph","Standard","","","",FALSE,"",""
"StandardWeb","Normal (Web)","Standard","","","",FALSE,"",""
"paragraph","paragraph","Standard","","","",FALSE,"",""
"normaltextrun","normaltextrun","Absatz-Standardschriftart","","","",FALSE,"",""
"eop","eop","Absatz-Standardschriftart","","","",FALSE,"",""
"Tabellenraster","Table Grid","NormaleTabelle","240","auto","",FALSE,"",""
"Platzhaltertext","Placeholder Text","Absatz-Standardschriftart","","","",FALSE,"",""
"Literaturverzeichnis","Bibliography","Standard","480","auto","",FALSE,"",""
"Seitenzahl","page number","Absatz-Standardschriftart","","","",FALSE,"",""
"Zeilennummer","line number","Absatz-Standardschriftart","","","",FALSE,"",""
"KeinLeerraum","No Spacing","","240","auto","",FALSE,"",""
"BesuchterLink","FollowedHyperlink","Absatz-Standardschriftart","","","",FALSE,"",""
"EndNoteBibliographyTitle","EndNote Bibliography Title","Standard","","","",FALSE,"",""
"EndNoteBibliographyTitleZchn","EndNote Bibliography Title Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"EndNoteBibliography","EndNote Bibliography","Standard","","","",FALSE,"",""
"EndNoteBibliographyZchn","EndNote Bibliography Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"TitelZchn","Titel Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"Compact","Compact","Textkrper","","","",FALSE,"",""
"Funotentext","footnote text","Standard","","","",FALSE,"",""
"FunotentextZchn","Fußnotentext Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"Table","Table","","240","auto","",FALSE,"",""
"VerbatimChar","Verbatim Char","Absatz-Standardschriftart","","","",FALSE,"",""
"Funotenzeichen","footnote reference","Absatz-Standardschriftart","","","",FALSE,"",""
"SourceCode","Source Code","Standard","","","",FALSE,"",""
"Textkrper","Body Text","Standard","","","",FALSE,"",""
"TextkrperZchn","Textkörper Zchn","Absatz-Standardschriftart","","","",FALSE,"",""
"ImageCaption","Image Caption","Beschriftung","","","",FALSE,"",""
"Beschriftung","caption","Standard","","","",FALSE,"",""
