site,Id,position,local_date,day_expected_wall_minutes,day_observed_wall_minutes,day_source_real_minutes,day_valid_minutes_raw,day_zero_medi_minutes_raw,day_valid_fraction_raw,day_valid_minutes_after_hour,day_valid_fraction_after_hour,day_eligible_hours,day_dst_fold_minutes,day_all_finite_medi_zero,day_eligible_without_all_zero_screen,day_eligible_after_hour_without_all_zero_screen,day_all_zero_medi_excluded,day_eligible,day_eligible_after_hour
BAUA,BAUA_S001,chest,2025-06-10,1440,1440,1440,929,240,0.6451388888888889,900,0.625,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S001,chest,2025-06-11,1440,1440,1440,1413,557,0.98125,1413,0.98125,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,chest,2025-06-12,1440,1440,1440,1322,544,0.9180555555555555,1320,0.9166666666666666,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,chest,2025-06-13,1440,1440,1440,1323,498,0.91875,1294,0.8986111111111111,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,chest,2025-06-14,1440,1440,1440,1270,546,0.8819444444444444,1270,0.8819444444444444,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,chest,2025-06-15,1440,1440,1440,1440,714,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,chest,2025-06-16,1440,1440,1440,1440,629,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,chest,2025-06-17,1440,1440,1440,540,538,0.375,540,0.375,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S002,chest,2025-06-10,1440,1440,1440,578,108,0.4013888888888889,578,0.4013888888888889,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S002,chest,2025-06-11,1440,1440,1440,1439,392,0.9993055555555556,1439,0.9993055555555556,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
