site,Id,position,local_date,gap_reason,reason_class,signal,run_number,start_clock_minute,end_clock_minute,start_clock,end_clock_exclusive,start_datetime_wall,end_datetime_wall_exclusive,wall_minutes,source_real_minutes,dst_fold_minutes,finite_medi_wall_minutes,finite_light_wall_minutes
BAUA,BAUA_S001,glasses,2025-06-10,day_failure,coverage,MEDI,1,0,1439,00:00,24:00,2025-06-10T00:00:00Z,2025-06-11T00:00:00Z,1440,1440,0,930,930
BAUA,BAUA_S001,glasses,2025-06-10,signal_invalidity,measurement,LIGHT,1,0,509,00:00,08:30,2025-06-10T00:00:00Z,2025-06-10T08:30:00Z,510,510,0,0,0
BAUA,BAUA_S001,glasses,2025-06-10,signal_invalidity,measurement,MEDI,1,0,509,00:00,08:30,2025-06-10T00:00:00Z,2025-06-10T08:30:00Z,510,510,0,0,0
BAUA,BAUA_S001,glasses,2025-06-11,signal_invalidity,measurement,LIGHT,1,447,448,07:27,07:29,2025-06-11T07:27:00Z,2025-06-11T07:29:00Z,2,2,0,0,0
BAUA,BAUA_S001,glasses,2025-06-11,signal_invalidity,measurement,LIGHT,2,1193,1216,19:53,20:17,2025-06-11T19:53:00Z,2025-06-11T20:17:00Z,24,24,0,0,0
BAUA,BAUA_S001,glasses,2025-06-11,signal_invalidity,measurement,LIGHT,3,1247,1247,20:47,20:48,2025-06-11T20:47:00Z,2025-06-11T20:48:00Z,1,1,0,0,0
BAUA,BAUA_S001,glasses,2025-06-11,signal_invalidity,measurement,MEDI,1,447,448,07:27,07:29,2025-06-11T07:27:00Z,2025-06-11T07:29:00Z,2,2,0,0,0
BAUA,BAUA_S001,glasses,2025-06-11,signal_invalidity,measurement,MEDI,2,1193,1216,19:53,20:17,2025-06-11T19:53:00Z,2025-06-11T20:17:00Z,24,24,0,0,0
BAUA,BAUA_S001,glasses,2025-06-11,signal_invalidity,measurement,MEDI,3,1247,1247,20:47,20:48,2025-06-11T20:47:00Z,2025-06-11T20:48:00Z,1,1,0,0,0
BAUA,BAUA_S001,glasses,2025-06-12,signal_invalidity,measurement,LIGHT,1,900,1017,15:00,16:58,2025-06-12T15:00:00Z,2025-06-12T16:58:00Z,118,118,0,0,0
BAUA,BAUA_S001,glasses,2025-06-12,signal_invalidity,measurement,MEDI,1,900,1017,15:00,16:58,2025-06-12T15:00:00Z,2025-06-12T16:58:00Z,118,118,0,0,0
BAUA,BAUA_S001,glasses,2025-06-13,signal_invalidity,measurement,LIGHT,1,845,870,14:05,14:31,2025-06-13T14:05:00Z,2025-06-13T14:31:00Z,26,26,0,0,0
BAUA,BAUA_S001,glasses,2025-06-13,signal_invalidity,measurement,LIGHT,2,913,1003,15:13,16:44,2025-06-13T15:13:00Z,2025-06-13T16:44:00Z,91,91,0,0,0
BAUA,BAUA_S001,glasses,2025-06-13,signal_invalidity,measurement,MEDI,1,845,870,14:05,14:31,2025-06-13T14:05:00Z,2025-06-13T14:31:00Z,26,26,0,0,0
BAUA,BAUA_S001,glasses,2025-06-13,signal_invalidity,measurement,MEDI,2,913,1003,15:13,16:44,2025-06-13T15:13:00Z,2025-06-13T16:44:00Z,91,91,0,0,0
BAUA,BAUA_S001,glasses,2025-06-14,signal_invalidity,measurement,LIGHT,1,872,1041,14:32,17:22,2025-06-14T14:32:00Z,2025-06-14T17:22:00Z,170,170,0,0,0
BAUA,BAUA_S001,glasses,2025-06-14,signal_invalidity,measurement,MEDI,1,872,1041,14:32,17:22,2025-06-14T14:32:00Z,2025-06-14T17:22:00Z,170,170,0,0,0
BAUA,BAUA_S001,glasses,2025-06-17,day_failure,coverage,MEDI,1,0,1439,00:00,24:00,2025-06-17T00:00:00Z,2025-06-18T00:00:00Z,1440,1440,0,540,540
BAUA,BAUA_S001,glasses,2025-06-17,signal_invalidity,measurement,LIGHT,1,540,1439,09:00,24:00,2025-06-17T09:00:00Z,2025-06-18T00:00:00Z,900,900,0,0,0
BAUA,BAUA_S001,glasses,2025-06-17,signal_invalidity,measurement,MEDI,1,540,1439,09:00,24:00,2025-06-17T09:00:00Z,2025-06-18T00:00:00Z,900,900,0,0,0
BAUA,BAUA_S002,glasses,2025-06-10,day_failure,coverage,MEDI,1,0,1439,00:00,24:00,2025-06-10T00:00:00Z,2025-06-11T00:00:00Z,1440,1440,0,579,579
BAUA,BAUA_S002,glasses,2025-06-10,signal_invalidity,measurement,LIGHT,1,0,839,00:00,14:00,2025-06-10T00:00:00Z,2025-06-10T14:00:00Z,840,840,0,0,0
BAUA,BAUA_S002,glasses,2025-06-10,signal_invalidity,measurement,LIGHT,2,1264,1284,21:04,21:25,2025-06-10T21:04:00Z,2025-06-10T21:25:00Z,21,21,0,0,0
BAUA,BAUA_S002,glasses,2025-06-10,signal_invalidity,measurement,MEDI,1,0,839,00:00,14:00,2025-06-10T00:00:00Z,2025-06-10T14:00:00Z,840,840,0,0,0
BAUA,BAUA_S002,glasses,2025-06-10,signal_invalidity,measurement,MEDI,2,1264,1284,21:04,21:25,2025-06-10T21:04:00Z,2025-06-10T21:25:00Z,21,21,0,0,0
BAUA,BAUA_S002,glasses,2025-06-12,signal_invalidity,measurement,LIGHT,1,942,989,15:42,16:30,2025-06-12T15:42:00Z,2025-06-12T16:30:00Z,48,48,0,0,0
BAUA,BAUA_S002,glasses,2025-06-12,signal_invalidity,measurement,MEDI,1,942,989,15:42,16:30,2025-06-12T15:42:00Z,2025-06-12T16:30:00Z,48,48,0,0,0
BAUA,BAUA_S002,glasses,2025-06-13,signal_invalidity,measurement,LIGHT,1,940,1056,15:40,17:37,2025-06-13T15:40:00Z,2025-06-13T17:37:00Z,117,117,0,0,0
BAUA,BAUA_S002,glasses,2025-06-13,signal_invalidity,measurement,MEDI,1,940,1056,15:40,17:37,2025-06-13T15:40:00Z,2025-06-13T17:37:00Z,117,117,0,0,0
BAUA,BAUA_S002,glasses,2025-06-14,signal_invalidity,measurement,LIGHT,1,764,857,12:44,14:18,2025-06-14T12:44:00Z,2025-06-14T14:18:00Z,94,94,0,0,0
BAUA,BAUA_S002,glasses,2025-06-14,signal_invalidity,measurement,MEDI,1,764,857,12:44,14:18,2025-06-14T12:44:00Z,2025-06-14T14:18:00Z,94,94,0,0,0
BAUA,BAUA_S002,glasses,2025-06-16,signal_invalidity,measurement,LIGHT,1,1184,1222,19:44,20:23,2025-06-16T19:44:00Z,2025-06-16T20:23:00Z,39,39,0,0,0
