site,Id,position,local_date,day_expected_wall_minutes,day_observed_wall_minutes,day_source_real_minutes,day_valid_minutes_raw,day_zero_medi_minutes_raw,day_valid_fraction_raw,day_valid_minutes_after_hour,day_valid_fraction_after_hour,day_eligible_hours,day_dst_fold_minutes,day_all_finite_medi_zero,day_eligible_without_all_zero_screen,day_eligible_after_hour_without_all_zero_screen,day_all_zero_medi_excluded,day_eligible,day_eligible_after_hour
BAUA,BAUA_S001,glasses,2025-06-10,1440,1440,1440,930,121,0.6458333333333334,930,0.6458333333333334,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S001,glasses,2025-06-11,1440,1440,1440,1413,415,0.98125,1413,0.98125,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,glasses,2025-06-12,1440,1440,1440,1322,406,0.9180555555555555,1320,0.9166666666666666,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,glasses,2025-06-13,1440,1440,1440,1323,409,0.91875,1294,0.8986111111111111,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,glasses,2025-06-14,1440,1440,1440,1270,415,0.8819444444444444,1270,0.8819444444444444,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,glasses,2025-06-15,1440,1440,1440,1440,417,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,glasses,2025-06-16,1440,1440,1440,1440,401,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S001,glasses,2025-06-17,1440,1440,1440,540,300,0.375,540,0.375,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S002,glasses,2025-06-10,1440,1440,1440,579,99,0.40208333333333335,579,0.40208333333333335,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S002,glasses,2025-06-11,1440,1440,1440,1440,381,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S002,glasses,2025-06-12,1440,1440,1440,1392,423,0.9666666666666667,1392,0.9666666666666667,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S002,glasses,2025-06-13,1440,1440,1440,1323,413,0.91875,1300,0.9027777777777778,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S002,glasses,2025-06-14,1440,1440,1440,1346,480,0.9347222222222222,1346,0.9347222222222222,23,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S002,glasses,2025-06-15,1440,1440,1440,1440,450,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S002,glasses,2025-06-16,1440,1440,1440,1401,427,0.9729166666666667,1401,0.9729166666666667,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S002,glasses,2025-06-17,1440,1440,1440,870,300,0.6041666666666666,870,0.6041666666666666,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S003,glasses,2025-06-10,1440,1440,1440,510,98,0.3541666666666667,510,0.3541666666666667,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S003,glasses,2025-06-11,1440,1440,1440,1440,529,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S003,glasses,2025-06-12,1440,1440,1440,1440,506,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S003,glasses,2025-06-13,1440,1440,1440,1440,495,1,1440,1,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S003,glasses,2025-06-14,1440,1440,1440,1439,622,0.9993055555555556,1439,0.9993055555555556,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S003,glasses,2025-06-15,1440,1440,1440,1425,642,0.9895833333333334,1425,0.9895833333333334,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S003,glasses,2025-06-16,1440,1440,1440,1416,573,0.9833333333333333,1416,0.9833333333333333,24,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S003,glasses,2025-06-17,1440,1440,1440,870,586,0.6041666666666666,870,0.6041666666666666,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S004,glasses,2025-06-10,1440,1440,1440,420,163,0.2916666666666667,420,0.2916666666666667,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAUA,BAUA_S004,glasses,2025-06-11,1440,1440,1440,1351,500,0.9381944444444444,1351,0.9381944444444444,23,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
BAUA,BAUA_S004,glasses,2025-06-12,1440,1440,1440,1282,412,0.8902777777777777,1282,0.8902777777777777,22,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
