operation,consumed,status,remaining,qualification
selection_initial,1,failed before HTML,0,Original Sass cache failure retained
selection_environment_recovery_001,1,success,0,Explicit single environment recovery
main_html_initial,1,success,0,Existing complete initial preview preserved
main_docx_initial,1,failed before DOCX,0,Lua dependency closure now copied
selection_html_consolidated_correction,0,not run,1,Existing permitted correction pass
main_html_consolidated_correction,0,not run,1,Existing permitted correction pass
main_docx_consolidated_correction,0,not run,1,Existing permitted correction pass
S2_initial_geometry_capture,1,content exact but numerical text clips,0,Three vertical parts retained
S2_vertical_adjustment_1,1,Chrome aborted before output,0,No implicit environment retry
S2_vertical_adjustment_2,0,not run,1,Any environment use requires explicit disposition
S5_S6_S10_initial_capture,1,initial font visual checks passed,0,Reuse all four PNG parts
S5_S6_S10_font_correction,0,not needed,1,No further font capture planned
Word_assembly_SVG_embedding,0,not run,2,No complete capture manifest sealed
office_QA_render,0,not run,2,Native Word also unavailable while Mac locked
