check,status,detail
R_version,PASS,R 4.6.1
parse,PASS,h06_contract.R parsed successfully
contract_rows,PASS,21 rows
unique_paths,PASS,21 unique paths
path_existence,PASS,all paths exist
regular_files,PASS,all paths are regular files
non_symlink,PASS,no contract path is a symlink
current_identities,PASS,all 21 SHA-256 identities match
transition_roles,PASS,primary_near_eye_hourly; complementary_chest_hourly; current_base_model_manifest
fourth_transition_absent,PASS,exactly three roles changed
postimage,PASS,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f at 13468 bytes
reverse_proof,PASS,reverse substitution reproduced 9de4d56e462de9188bf1123984f3b06b3e01b01706a9618026e98f53444de2bb at 13468 bytes
