"domain","status","detail"
"render exit","PASS","Sole Quarto command exited 0"
"semantic hook","PASS","17 tables repaired with a reversible 1003-row ledger"
"table semantics","PASS","98 unique semantic IDs, 905 header-bearing nodes, and 1,193 resolvable header-token references"
"dynamic links","PASS","Both reciprocal H06 links resolve inside the build"
"build delta","PASS","Four target resources added and target/search/sitemap changed only"
"figure source","FAIL","HTML image src points to a nonexistent build-local Users/zauner path"
"forbidden path","FAIL","Rendered HTML contains the forbidden user-specific absolute path"
"protected authoring HTML","FAIL","Pre-render held authoring HTML was removed by the render"
"accepted result","PASS","Accepted H06_daily result source and HTML remain exact"
"visual QA eligibility","FAIL_NOT_ELIGIBLE","Broken figure and protected removal stop secure-loopback acceptance"
