"check","observed","expected","status"
"main element",1,1,"PASS"
"native gt tables",17,17,"PASS"
"figure endpoint",1,1,"PASS_STRUCTURE_ONLY"
"top-down Mermaid",1,1,"PASS"
"dynamic qmd links",2,2,"PASS"
"duplicate document IDs",0,0,"PASS"
"header references",905,905,"PASS"
"embedded error or warning nodes",0,0,"PASS"
"forbidden user path",1,0,"FAIL_FORBIDDEN_LOCAL_PATH"
"figure source resolves",0,1,"FAIL_BROKEN_FIGURE_SOURCE"
"protected authoring HTML preserved",0,1,"FAIL_PROTECTED_PATH_REMOVED"
