"relative_path","role_pre","sha256_pre","bytes_pre","is_symlink_pre","symlink_target_pre","role_post","sha256_post","bytes_post","is_symlink_post","symlink_target_post","status"
"_build/nathealth/artifacts/02_aligned/source_audit.csv","build member","6eba1b000d7245d6bee2b2e494070d655d1eebe85e4edd877726e2deae8a0ca8",15677,FALSE,,"build member","6eba1b000d7245d6bee2b2e494070d655d1eebe85e4edd877726e2deae8a0ca8",15677,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/02_aligned/state_interval_audit.csv","build member","3c9e05c6320bc8b47bfa2f2163bc44d6809db394c28fac67b1b14e7749812800",3022,FALSE,,"build member","3c9e05c6320bc8b47bfa2f2163bc44d6809db394c28fac67b1b14e7749812800",3022,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/02_aligned/stream_epoch_audit.csv","build member","fd0f532edfc0979b6aaed82589aa5b59c7ed494f83c655f1d662fcaefeb5156f",63051,FALSE,,"build member","fd0f532edfc0979b6aaed82589aa5b59c7ed494f83c655f1d662fcaefeb5156f",63051,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/03_coverage/coverage_settings.csv","build member","727a11c1491bbe11e0a58a11315a8714b5a0621657ddea073777be42ce6dd49e",1560,FALSE,,"build member","727a11c1491bbe11e0a58a11315a8714b5a0621657ddea073777be42ce6dd49e",1560,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/03_coverage/light_chest_coverage.rds","build member","07f2be7b58839b384eda76c6bf21ca736791fc81e22c07bd4615e35bbb0ff1ce",21201236,FALSE,,"build member","07f2be7b58839b384eda76c6bf21ca736791fc81e22c07bd4615e35bbb0ff1ce",21201236,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/03_coverage/light_glasses_coverage.rds","build member","00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee",19922480,FALSE,,"build member","00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee",19922480,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/04_reference_profiles/reference_profiles.csv","build member","f0b98823ab13e0aa4d5e51ed04b49b4c1cc2e77ebf9078678619f8f22986b5a7",2972065,FALSE,,"build member","f0b98823ab13e0aa4d5e51ed04b49b4c1cc2e77ebf9078678619f8f22986b5a7",2972065,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/06_model_data/H06/H06_category_cells.csv","build member","2285e77afc2b24709de5936e29517b0f85a1945c81a6d7af4763eb9a56bfb36c",17784,FALSE,,"build member","2285e77afc2b24709de5936e29517b0f85a1945c81a6d7af4763eb9a56bfb36c",17784,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/06_model_data/H08/H08_model_frame_by_site.csv","build member","35bd76c2b985da32630566725329008c7740160a63228241e0d5840f7c43198d",93464,FALSE,,"build member","35bd76c2b985da32630566725329008c7740160a63228241e0d5840f7c43198d",93464,FALSE,"","UNCHANGED"
"_build/nathealth/artifacts/06_model_data/H08/H08_model_frame_index.csv","build member","3a95b69384db3be721e76de59eb5d84d6f911fbbe902c2b8cdf09afc00f6d7c5",45369,FALSE,,"build member","3a95b69384db3be721e76de59eb5d84d6f911fbbe902c2b8cdf09afc00f6d7c5",45369,FALSE,"","UNCHANGED"
