"check","observed","expected","status"
"dispatch rows","35","35","PASS"
"hard dispatch rows","33","33","PASS"
"stopped acceptance rows","24","24","PASS"
"owner stopped manifest rows","54","54","PASS"
"build files","846","846","PASS"
"build symlinks","0","0","PASS"
"protected files","3528",,"PASS"
"source postimage","cc0647d1519cd9b76313dafb3dcb3b77af38169f8c71ec278e210e6044854dc2","cc0647d1519cd9b76313dafb3dcb3b77af38169f8c71ec278e210e6044854dc2","PASS"
"reverse proof","ae0d270b18690e01a708f25c73dccbb0b42ac5bc8529db4d5001398255271252","ae0d270b18690e01a708f25c73dccbb0b42ac5bc8529db4d5001398255271252","PASS"
"R chunks","19","19","PASS"
"native gt tables","17","17","PASS"
"figure labels","1","1","PASS"
"top-down Mermaid","1","1","PASS"
"dynamic qmd links","2","2","PASS"
"required checker invocations","1","1","PASS"
"active prohibited process classes","0","0","PASS"
