"path","expected_sha256","observed_sha256","expected_bytes","observed_bytes","classification","status"
"audit/report_harmonization/owner_orders/49b_h06_daily_companion_relpath_false_and_rerender.md","854b8236ffe6da4cdddfd1caca89e1351e0c9780ce31e066e8f84322150ce247","854b8236ffe6da4cdddfd1caca89e1351e0c9780ce31e066e8f84322150ce247",6330,6330,"HARD_PIN","PASS"
"audit/report_harmonization/report018_h06_daily_order49a_stopped_independent_acceptance.md","f4d1d75ae3ae96faf209a33e1b01b14c626093c7c2c336b87310b3523a2776ed","f4d1d75ae3ae96faf209a33e1b01b14c626093c7c2c336b87310b3523a2776ed",2896,2896,"HARD_PIN","PASS"
"audit/report_harmonization/report018_h06_daily_order49a_stopped_independent_acceptance_manifest.csv","2b44d4a981ccdf9b48ecfd1539447eb16a57079cfefa45ca41578c5f023479f0","2b44d4a981ccdf9b48ecfd1539447eb16a57079cfefa45ca41578c5f023479f0",4109,4109,"HARD_PIN","PASS"
"scripts/report_harmonization/check_h06_daily_order49a_stop_and_relpath_probe.R","b9f3a8c5289dc155e819ae62a041bc1ad2e4712dd8b46bea83bd57fd7ff02d17","b9f3a8c5289dc155e819ae62a041bc1ad2e4712dd8b46bea83bd57fd7ff02d17",6238,6238,"HARD_PIN","PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/order49a_fail_closed.md","c55bfdd9ef07c682940961bf21cbba495411123375388541e2c2ab80774dd8a2","c55bfdd9ef07c682940961bf21cbba495411123375388541e2c2ab80774dd8a2",2992,2992,"HARD_PIN","PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/order49a_fail_closed_manifest.csv","02f3db0c1b8cba398b5585b4b15aa4164a1c4b7c2766241d652f6bc08eb31450","02f3db0c1b8cba398b5585b4b15aa4164a1c4b7c2766241d652f6bc08eb31450",10395,10395,"HARD_PIN","PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/include_graphics_path_diagnostic.csv","80c2dab624d090e9cfc20d4b159f7211edcf7dc1763a53585b13a30f40e86a26","80c2dab624d090e9cfc20d4b159f7211edcf7dc1763a53585b13a30f40e86a26",871,871,"HARD_PIN","PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/fail_closed_summary.csv","39be32a74bb52a414abf0d465645192c5568e2ed02e5afc7b1ec97e1d3e13e4f","39be32a74bb52a414abf0d465645192c5568e2ed02e5afc7b1ec97e1d3e13e4f",864,864,"HARD_PIN","PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/process_teardown.csv","5a6dfa1bca4e9c1ac27b8756bddf01e1bd8124c08abbe69cf50ecc0c81db0ff6","5a6dfa1bca4e9c1ac27b8756bddf01e1bd8124c08abbe69cf50ecc0c81db0ff6",457,457,"HARD_PIN","PASS"
"audit/report_harmonization/owner_orders/49a_h06_daily_companion_path_repair_and_rerender.md","b1adf55b97c0232b9b6350d8247e270dce44d437fa3105373c807033586b002c","b1adf55b97c0232b9b6350d8247e270dce44d437fa3105373c807033586b002c",6293,6293,"HARD_PIN","PASS"
"audit/report_harmonization/report018_h06_daily_order49a_dispatch_manifest.csv","b2614a67f1cc1a1434b13b48cfaf6a4121d541fb315c8bb6b0f7a2fed9b55307","b2614a67f1cc1a1434b13b48cfaf6a4121d541fb315c8bb6b0f7a2fed9b55307",5789,5789,"HARD_PIN","PASS"
"audit/report_harmonization/report018_h06_daily_order49_stopped_independent_acceptance.md","004f86e988f2527afeb757c91e1f153482ccbf96fe7ce8a6b57dd32f1bc5a901","004f86e988f2527afeb757c91e1f153482ccbf96fe7ce8a6b57dd32f1bc5a901",2793,2793,"HARD_PIN","PASS"
