"path","expected_sha256","observed_sha256","expected_bytes","observed_bytes","status"
"audit/report_harmonization/report018_h06_daily_order49a_stopped_independent_acceptance.md","f4d1d75ae3ae96faf209a33e1b01b14c626093c7c2c336b87310b3523a2776ed","f4d1d75ae3ae96faf209a33e1b01b14c626093c7c2c336b87310b3523a2776ed",2896,2896,"PASS"
"scripts/report_harmonization/check_h06_daily_order49a_stop_and_relpath_probe.R","b9f3a8c5289dc155e819ae62a041bc1ad2e4712dd8b46bea83bd57fd7ff02d17","b9f3a8c5289dc155e819ae62a041bc1ad2e4712dd8b46bea83bd57fd7ff02d17",6238,6238,"PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/order49a_fail_closed.md","c55bfdd9ef07c682940961bf21cbba495411123375388541e2c2ab80774dd8a2","c55bfdd9ef07c682940961bf21cbba495411123375388541e2c2ab80774dd8a2",2992,2992,"PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/order49a_fail_closed_manifest.csv","02f3db0c1b8cba398b5585b4b15aa4164a1c4b7c2766241d652f6bc08eb31450","02f3db0c1b8cba398b5585b4b15aa4164a1c4b7c2766241d652f6bc08eb31450",10395,10395,"PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/include_graphics_path_diagnostic.csv","80c2dab624d090e9cfc20d4b159f7211edcf7dc1763a53585b13a30f40e86a26","80c2dab624d090e9cfc20d4b159f7211edcf7dc1763a53585b13a30f40e86a26",871,871,"PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/fail_closed_summary.csv","39be32a74bb52a414abf0d465645192c5568e2ed02e5afc7b1ec97e1d3e13e4f","39be32a74bb52a414abf0d465645192c5568e2ed02e5afc7b1ec97e1d3e13e4f",864,864,"PASS"
"audit/hypotheses/H06_daily/report018_order49a_companion_render/process_teardown.csv","5a6dfa1bca4e9c1ac27b8756bddf01e1bd8124c08abbe69cf50ecc0c81db0ff6","5a6dfa1bca4e9c1ac27b8756bddf01e1bd8124c08abbe69cf50ecc0c81db0ff6",457,457,"PASS"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd","ae0d270b18690e01a708f25c73dccbb0b42ac5bc8529db4d5001398255271252","cc0647d1519cd9b76313dafb3dcb3b77af38169f8c71ec278e210e6044854dc2",35432,35450,"PASS_AUTHORIZED_SOURCE_TRANSITION"
"artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.png","f9be57236f5fa9b658c7adac0940ba7befa856cbc19df770602e32270dccf8ff","f9be57236f5fa9b658c7adac0940ba7befa856cbc19df770602e32270dccf8ff",165458,165458,"PASS"
"notebooks/hypotheses/H06_daily.qmd","8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639","8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639",65349,65349,"PASS"
"_build/nathealth/notebooks/hypotheses/H06_daily.html","74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c","74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c",11946551,11946551,"PASS"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259",4613650,4613650,"PASS"
"_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259",4613650,4613650,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,"PASS"
"tests/hypotheses/H06_daily/test_h06_daily_preparation_report.R","4fbf8ba28dc957295ec5c90e42247f644c0010b3097195652d1e260fb6bdc2a0","4fbf8ba28dc957295ec5c90e42247f644c0010b3097195652d1e260fb6bdc2a0",10471,10471,"PASS"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation_report_manifest.csv","1579815ec9d3110f4e5b37fe7f5843947f1e0543dbe1b219c834be0ba388e28d","1579815ec9d3110f4e5b37fe7f5843947f1e0543dbe1b219c834be0ba388e28d",3675,3675,"PASS"
"artifacts/12_manifests/H06_daily/H06_daily_preparation_source_data_manifest.csv","19f441e87912962c7d60268899511c1f3a8e4c318502a6ed1c79e7e8e125f8ba","19f441e87912962c7d60268899511c1f3a8e4c318502a6ed1c79e7e8e125f8ba",4878,4878,"PASS"
"artifacts/12_manifests/H06_daily/H06_daily_preparation_output_manifest.csv","50461464c788a882635809881638856dde8b6f16a8593eb0fa76194be9feb190","50461464c788a882635809881638856dde8b6f16a8593eb0fa76194be9feb190",8334,8334,"PASS"
"audit/report_harmonization/report018_h06_daily_order49_stopped_independent_acceptance.md","004f86e988f2527afeb757c91e1f153482ccbf96fe7ce8a6b57dd32f1bc5a901","004f86e988f2527afeb757c91e1f153482ccbf96fe7ce8a6b57dd32f1bc5a901",2793,2793,"PASS"
"audit/report_harmonization/report018_h06_daily_order49_stopped_independent_acceptance_manifest.csv","8e6482a9f1dbedcee8997c8d45ad8728d8744dd62fbf9449f210b09edfd79b9f","8e6482a9f1dbedcee8997c8d45ad8728d8744dd62fbf9449f210b09edfd79b9f",3895,3895,"PASS"
"audit/report_harmonization/owner_orders/49a_h06_daily_companion_path_repair_and_rerender.md","b1adf55b97c0232b9b6350d8247e270dce44d437fa3105373c807033586b002c","b1adf55b97c0232b9b6350d8247e270dce44d437fa3105373c807033586b002c",6293,6293,"PASS"
"audit/report_harmonization/report018_h06_daily_order49a_dispatch_manifest.csv","b2614a67f1cc1a1434b13b48cfaf6a4121d541fb315c8bb6b0f7a2fed9b55307","b2614a67f1cc1a1434b13b48cfaf6a4121d541fb315c8bb6b0f7a2fed9b55307",5789,5789,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,21453,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,17747,"PASS"
