"relative_path","role","sha256","bytes","is_symlink","symlink_target"
"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html","H06_daily protected","f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378",851041,FALSE,""
"_build/nathealth/notebooks/hypotheses/H06_daily.html","accepted result HTML","74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c",11946551,FALSE,""
"_build/nathealth/notebooks/hypotheses/H06.html","H06_daily protected","8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa",4874263,FALSE,""
"_quarto-nathealth.yml","hard dispatch member","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,FALSE,""
"_quarto.yml","H06_daily protected","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_30_minute_temporal_formula_registry.csv","scientific artifact","678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4",1678,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_bundle.rds","scientific artifact","ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274",1480158,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_inventory.csv","scientific artifact","336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4",48389,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_influence_task_inventory.csv","scientific artifact","c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9",3547002,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_joint_context_exploratory_frame_registry.csv","scientific artifact","34679dd10561ab4ca8a442d6a765daa7705f059bd4f6e0f07cb29b1b61f9a1fb",3613,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_joint_context_exploratory_frames.rds","scientific artifact","9276c0ff0450c2a6dca603f38a4e9f24a957b84a936a1f68ec35ae3f593e4fb8",261074,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__activity_status__positive_magnitude__frame.rds","scientific artifact","d86edc91d73f8a5715e2c91adc0dfd5f05b87dc302894f243064b57ba752d1e3",20044,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__activity_status__zero_occurrence__frame.rds","scientific artifact","660180a125ef0a06dbcf91a54c47eb74529157cbbe3310dab85d19796ae4d04d",15152,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__previous_sleep_duration_centered_h__positive_magnitude__frame.rds","scientific artifact","c9a968464160b7d36237f06868fb8b14b170ab04c15b317ab2b3551151fe60de",20872,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__previous_sleep_duration_centered_h__zero_occurrence__frame.rds","scientific artifact","ddaa762f14c8433ea00264408d235034138b8d48b9e70fbac8f93a0c96350702",15844,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__work_free_day__positive_magnitude__frame.rds","scientific artifact","c79f5c8d6b01ad653209fe36325c49f6146e459d7e7fb15598a57195fa9abed1",20720,FALSE,""
"artifacts/06_model_data/H06_daily/H06_daily_l10_metric011__gap_timing_unaware__chest__all_available__work_free_day__zero_occurrence__frame.rds","scientific artifact","cc22b2ec08fc896c52584fe091ab31e676e46c1c21ed62b063ed3da2f4cbf596",15848,FALSE,""
