"table_index","endpoint","token","matches_inside_table","status"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0001",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0002",1,"PASS"
1,"tbl-h06d-prep-execution-boundary","tbl-h06d-prep-execution-boundary--gt-0003",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0001",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0002",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0003",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0004",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0001",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0002",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0003",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0004",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0001",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0002",1,"PASS"
2,"tbl-h06d-prep-input-provenance","tbl-h06d-prep-input-provenance--gt-0003",1,"PASS"
