path,exists
_build/nathealth/editable_tables/Table_1.docx,False
_build/nathealth/editable_tables/Table_2.docx,False
_build/nathealth/editable_tables/Table_3.docx,False
_build/nathealth/editable_tables/Table_S1.docx,False
_build/nathealth/editable_tables/Table_S10.docx,False
_build/nathealth/editable_tables/Table_S11a.docx,False
_build/nathealth/editable_tables/Table_S11b.docx,False
_build/nathealth/editable_tables/Table_S12.docx,False
_build/nathealth/editable_tables/Table_S13.docx,False
_build/nathealth/editable_tables/Table_S14.docx,False
_build/nathealth/editable_tables/Table_S15.docx,False
_build/nathealth/editable_tables/Table_S2.docx,False
_build/nathealth/editable_tables/Table_S3.docx,False
_build/nathealth/editable_tables/Table_S4.docx,False
_build/nathealth/editable_tables/Table_S5.docx,False
_build/nathealth/editable_tables/Table_S6.docx,False
_build/nathealth/editable_tables/Table_S7.docx,False
_build/nathealth/editable_tables/Table_S8.docx,False
_build/nathealth/editable_tables/Table_S9.docx,False
_build/nathealth/manuscript_changes.csv,False
_build/nathealth/manuscript_changes.md,False
