"description","text","style","flagged_in_attempt4"
1,"Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
2,"Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
3,"Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
4,"Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
5,"Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
6,"Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
7,"Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE
8,"melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
9,"Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
10,"Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
11,"Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
12,"Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
13,"Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
14,"Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
15,"First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
16,"Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
17,"Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE
