"cell","attempt4_source","frozen_render","original_fragment","rendered_exact","original_fragment_whitespace_equal"
1,"Duration","Duration","Duration",TRUE,TRUE
2,"Time above 1,000 lx melEDIBright-light exposure duration; relevant to daytime alerting and circadian entrainment.","Time above 1,000 lx melEDIBright-light exposure duration; relevant to daytime alerting and circadian entrainment.","
Time above 1,000 lx melEDIBright-light exposure duration; relevant to daytime alerting and circadian entrainment.
",TRUE,TRUE
3,"HH:MM","HH:MM","HH:MM",TRUE,TRUE
4,"00:41(00:11, 01:33)01:10 ± 01:28N=141; d=816","00:41(00:11, 01:33)01:10 ± 01:28N=141; d=816","
00:41(00:11, 01:33)01:10 ± 01:28N=141; d=816
",TRUE,TRUE
5,"01:18(00:31, 03:24)02:00 ± 01:54N=13; d=78","01:18(00:31, 03:24)02:00 ± 01:54N=13; d=78","
01:18(00:31, 03:24)02:00 ± 01:54N=13; d=78
",TRUE,TRUE
6,"01:18(00:29, 02:12)01:33 ± 01:28N=13; d=78","01:18(00:29, 02:12)01:33 ± 01:28N=13; d=78","
01:18(00:29, 02:12)01:33 ± 01:28N=13; d=78
",TRUE,TRUE
7,"01:03(00:20, 02:32)01:48 ± 02:14N=18; d=107","01:03(00:20, 02:32)01:48 ± 02:14N=18; d=107","
01:03(00:20, 02:32)01:48 ± 02:14N=18; d=107
",TRUE,TRUE
8,"00:40(00:07, 01:25)01:06 ± 01:22N=26; d=150","00:40(00:07, 01:25)01:06 ± 01:22N=26; d=150","
00:40(00:07, 01:25)01:06 ± 01:22N=26; d=150
",TRUE,TRUE
9,"00:39(00:10, 01:46)01:09 ± 01:18N=10; d=60","00:39(00:10, 01:46)01:09 ± 01:18N=10; d=60","
00:39(00:10, 01:46)01:09 ± 01:18N=10; d=60
",TRUE,TRUE
10,"00:27(00:06, 00:53)00:38 ± 00:47N=23; d=129","00:27(00:06, 00:53)00:38 ± 00:47N=23; d=129","
00:27(00:06, 00:53)00:38 ± 00:47N=23; d=129
",TRUE,TRUE
11,"00:30(00:06, 01:04)00:44 ± 00:51N=17; d=101","00:30(00:06, 01:04)00:44 ± 00:51N=17; d=101","
00:30(00:06, 01:04)00:44 ± 00:51N=17; d=101
",TRUE,TRUE
12,"00:19(00:09, 00:43)00:32 ± 00:33N=6; d=32","00:19(00:09, 00:43)00:32 ± 00:33N=6; d=32","
00:19(00:09, 00:43)00:32 ± 00:33N=6; d=32
",TRUE,TRUE
