"check","status","scope"
"historical_2309_rows_exact_with_only_three_authorized_preimages","PASS","File identity, structural or protected-content check only"
"three_live_postimages_exact","PASS","File identity, structural or protected-content check only"
"immutable_12_served_pairs_exact","PASS","File identity, structural or protected-content check only"
"19_prior_capture_files_exact","PASS","File identity, structural or protected-content check only"
"eight_attempt3_files_exact","PASS","File identity, structural or protected-content check only"
"attempt4_source_only_no_png_or_capture_manifest","PASS","File identity, structural or protected-content check only"
"244_source_cells_exact_to_frozen_render","PASS","File identity, structural or protected-content check only"
"17_source_image_payloads_exact","PASS","File identity, structural or protected-content check only"
"all_seven_flags_are_source_hidden_descriptions","PASS","File identity, structural or protected-content check only"
"server_closed","PASS","File identity, structural or protected-content check only"
"S2_visual_acceptance","NOT_PERFORMED","Capture stopped before first PNG; Unit/Scaling widths are not visually accepted"
