check_id,domain,observed,expected,status
SEAL_decision,sealed_input,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,PASS
SEAL_evidence_manifest,sealed_input,a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb,a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb,PASS
SEAL_metric_manifest,sealed_input,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,PASS
SEAL_site_context_manifest,sealed_input,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,PASS
SEAL_base_manifest,sealed_input,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,PASS
BASE_BUNDLE,sealed_input,e840ce9d2a7f653bc5ebbfe020ce087017dfdaf0276df09da578bda30a539916,e840ce9d2a7f653bc5ebbfe020ce087017dfdaf0276df09da578bda30a539916,PASS
PRIMARY_CHANGED_CELLS,scientific_input,8,8,PASS
PRIMARY_NEAR_EYE_CHANGED_CELLS,scientific_input,3,3,PASS
PRIMARY_CHEST_CHANGED_CELLS,scientific_input,5,5,PASS
NON_L10_MODEL_FRAME_FILES,preservation,947,947,PASS
NON_L10_RAW_TABLE_CHECKS,preservation,8,8,PASS
CLASSIFICATION_FIELD_CHANGES,scientific_conclusion,0,0,PASS
ADJUSTED_SIGNIFICANCE_CHANGES,scientific_conclusion,0,0,PASS
ADJUSTED_THREE_DECIMAL_CHANGES,scientific_conclusion,0,0,PASS
PRIMARY_NEAR_EYE_PATTERN_COUNT,scientific_conclusion,6,6,PASS
PRIMARY_CHEST_PATTERN_COUNT,scientific_conclusion,7,7,PASS
SCIENTIFIC_CONCLUSION_CHANGED,scientific_conclusion,FALSE,FALSE,PASS
BOUNDED_ARTIFACT_APPLY,application,138,138,PASS
