placement,omitted_site,category_order,category_code,short_label,estimate_log_ratio_per_10deg,ratio_per_10deg,converged,error
Near-eye,RISE,1,electric_indoor,Indoor electric,0.17934423060727556,1.1964325219841605,TRUE,
Near-eye,RISE,2,electric_outdoor,Outdoor electric,0.1293755678850794,1.1381174842858852,TRUE,
Near-eye,RISE,3,daylight_indoor,Indoor daylight,0.21448094940107496,1.2392185128947457,TRUE,
Near-eye,RISE,4,daylight_outdoor,Outdoor daylight,0.22914993260416414,1.257530569709169,TRUE,
Near-eye,RISE,5,display,Emissive display,0.29155330120391815,1.3385049755157774,TRUE,
Near-eye,RISE,6,sleep_darkness,Sleep darkness,0.40505671683172745,1.499387538155894,TRUE,
Near-eye,RISE,7,sleep_external_light,External light during sleep,0.7414269155368459,2.0989283722140035,TRUE,
Near-eye,THUAS,1,electric_indoor,Indoor electric,0.15695779045350128,1.1699462299588896,TRUE,
Near-eye,THUAS,2,electric_outdoor,Outdoor electric,0.13630282629444707,1.1460288887342887,TRUE,
Near-eye,THUAS,3,daylight_indoor,Indoor daylight,0.22020630014265527,1.2463338229128402,TRUE,
Near-eye,THUAS,4,daylight_outdoor,Outdoor daylight,0.3014500540769457,1.3518175956743421,TRUE,
Near-eye,THUAS,5,display,Emissive display,-0.04252039475388422,0.9583709195825956,TRUE,
Near-eye,THUAS,6,sleep_darkness,Sleep darkness,0.3893338731271745,1.4759972648991013,TRUE,
Near-eye,THUAS,7,sleep_external_light,External light during sleep,0.38888523534216224,1.4753352252745926,TRUE,
Near-eye,BAUA,1,electric_indoor,Indoor electric,0.18021779368656468,1.1974781379014632,TRUE,
Near-eye,BAUA,2,electric_outdoor,Outdoor electric,0.10111609479482397,1.106405082178655,TRUE,
Near-eye,BAUA,3,daylight_indoor,Indoor daylight,0.20393583972046267,1.2262194763478884,TRUE,
Near-eye,BAUA,4,daylight_outdoor,Outdoor daylight,0.30421396063300654,1.3555590613385538,TRUE,
Near-eye,BAUA,5,display,Emissive display,0.16029017480817878,1.1738514436941156,TRUE,
Near-eye,BAUA,6,sleep_darkness,Sleep darkness,0.4009962533700007,1.4933116736031644,TRUE,
Near-eye,BAUA,7,sleep_external_light,External light during sleep,0.20242687834114556,1.2243705538426675,TRUE,
Near-eye,MPI,1,electric_indoor,Indoor electric,0.22122832323799757,1.2476082560034574,TRUE,
Near-eye,MPI,2,electric_outdoor,Outdoor electric,-0.23683792363364006,0.789119175222128,TRUE,
Near-eye,MPI,3,daylight_indoor,Indoor daylight,0.23332405185187546,1.2627906226716594,TRUE,
Near-eye,MPI,4,daylight_outdoor,Outdoor daylight,0.3145418908055654,1.369631726330007,TRUE,
Near-eye,MPI,5,display,Emissive display,0.17317874526414287,1.189078628263206,TRUE,
