placement,placement_label,site,metric_id,manuscript_name,metric_label,abbreviation,manuscript_category,analysis_unit,display_unit,analytical_role,variant_label,n_possible_observations,n_observations,n_participants,n_participant_days,mean,sd,q1,median,q3,circular_resultant,mean_display,median_middle_50_display
near_eye,Near-eye (primary),Overall,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,39168,37756,141,816,424.25607722780353,2076.7444056599,0,11.40038888888889,124.55269444444446,,424.3,"11.4 [0, 124.6]"
near_eye,Near-eye (primary),RISE,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,3744,3619,13,78,793.2987709389678,3596.356863368865,0,18.1295,243.82141666666666,,793.3,"18.13 [0, 243.8]"
near_eye,Near-eye (primary),THUAS,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,3744,3596,13,78,650.6590016457195,2860.819339793304,0,11.341194444444444,177.59825,,650.7,"11.34 [0, 177.6]"
near_eye,Near-eye (primary),BAUA,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,5136,4959,18,107,559.1810576914019,2319.381749613621,0,18.274555555555555,185.12508333333335,,559.2,"18.27 [0, 185.1]"
near_eye,Near-eye (primary),MPI,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,7200,6900,26,150,317.0107415787516,1371.5304280946211,0,11.680777777777779,97.02070833333333,,317,"11.68 [0, 97.02]"
near_eye,Near-eye (primary),TUM,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,2880,2758,10,60,410.787860365683,2130.9699199037696,0.018458333333333337,20.610861111111113,145.25044444444444,,410.8,"20.61 [0.01846, 145.3]"
near_eye,Near-eye (primary),FUSPCEU,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,6192,6052,23,129,254.47127524376708,1265.8979158458453,0,4.941166666666668,121.5396111111111,,254.5,"4.941 [0, 121.5]"
near_eye,Near-eye (primary),IZTECH,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,4848,4702,17,101,311.6736327910432,1370.0060603339725,0,17.814166666666665,94.46306944444444,,311.7,"17.81 [0, 94.46]"
near_eye,Near-eye (primary),UCR,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,1536,1469,6,32,130.98694440335933,452.76000376547023,0,13.974166666666669,76.28672222222222,,131,"13.97 [0, 76.29]"
near_eye,Near-eye (primary),KNUST,thirty_minute_arithmetic_medi,Mean melEDI,Mean melEDI ; 30-minute arithmetic mean,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean,3888,3701,15,81,409.67822980430276,1973.9373159741137,0,2.131722222222222,44.67761111111111,,409.7,"2.132 [0, 44.68]"
near_eye,Near-eye (primary),Overall,one_hour_geometric_mean_medi,Mean melEDI,Mean melEDI ; Hourly geometric mean,Mean,level-based,participant-hour,lx,primary_outcome,Hourly geometric mean,19584,18953,141,816,184.71368811456284,1036.256772712958,0,7.468840009476111,90.07865800842758,,184.7,"7.469 [0, 90.08]"
near_eye,Near-eye (primary),RISE,one_hour_geometric_mean_medi,Mean melEDI,Mean melEDI ; Hourly geometric mean,Mean,level-based,participant-hour,lx,primary_outcome,Hourly geometric mean,1872,1817,13,78,383.6063769396381,2098.2275788514885,0,10.63372812165514,170.4625670037111,,383.6,"10.63 [0, 170.5]"
near_eye,Near-eye (primary),THUAS,one_hour_geometric_mean_medi,Mean melEDI,Mean melEDI ; Hourly geometric mean,Mean,level-based,participant-hour,lx,primary_outcome,Hourly geometric mean,1872,1803,13,78,257.45273778966293,1185.4115975169298,0,6.950858835878552,142.89503741039138,,257.5,"6.951 [0, 142.9]"
near_eye,Near-eye (primary),BAUA,one_hour_geometric_mean_medi,Mean melEDI,Mean melEDI ; Hourly geometric mean,Mean,level-based,participant-hour,lx,primary_outcome,Hourly geometric mean,2568,2489,18,107,316.4525918302157,1441.7124214399328,0,13.242383526227778,136.6068136108667,,316.5,"13.24 [0, 136.6]"
