placement,placement_label,site,metric_id,manuscript_name,metric_label,abbreviation,manuscript_category,analysis_unit,display_unit,analytical_role,variant_label,n_possible_observations,n_observations,n_participants,n_participant_days,mean,sd,q1,median,q3,circular_resultant,mean_display,median_middle_50_display,category,metric_order,table_name,unit,scaling,meaning_and_relevance,reader_site,median_formatted,q1_formatted,q3_formatted,mean_formatted,sd_formatted,display
near_eye,Near-eye (primary),Overall,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,816,816,141,816,1.1721405228758164,1.4688786977239459,0.18333333333333332,0.6833333333333333,1.5583333333333333,,1.172,"0.6833 [0.1833, 1.558]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Overall,00:41,00:11,01:34,01:10,01:28,00:41 (00:11–01:34); mean 01:10 ± 01:28; n=816 obs / 141 participants / 816 participant-days
near_eye,Near-eye (primary),RISE,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,78,78,13,78,2.008119658119658,1.902809390265766,0.5125,1.3083333333333333,3.3916666666666666,,2.008,"1.308 [0.5125, 3.392]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Borås (SE),01:18,00:31,03:24,02:00,01:54,01:18 (00:31–03:24); mean 02:00 ± 01:54; n=78 obs / 13 participants / 78 participant-days
near_eye,Near-eye (primary),THUAS,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,78,78,13,78,1.5487179487179488,1.460432365042179,0.48333333333333334,1.3000000000000003,2.191666666666667,,1.549,"1.3 [0.4833, 2.192]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Delft (NL),01:18,00:29,02:12,01:33,01:28,01:18 (00:29–02:12); mean 01:33 ± 01:28; n=78 obs / 13 participants / 78 participant-days
near_eye,Near-eye (primary),BAUA,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,107,107,18,107,1.7995327102803738,2.2279474364491447,0.3333333333333333,1.05,2.533333333333333,,1.8,"1.05 [0.3333, 2.533]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Dortmund (DE),01:03,00:20,02:32,01:48,02:14,01:03 (00:20–02:32); mean 01:48 ± 02:14; n=107 obs / 18 participants / 107 participant-days
near_eye,Near-eye (primary),MPI,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,150,150,26,150,1.0994444444444447,1.3631200457078922,0.12083333333333335,0.675,1.4125,,1.099,"0.675 [0.1208, 1.413]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Tübingen (DE),00:40,00:07,01:25,01:06,01:22,00:40 (00:07–01:25); mean 01:06 ± 01:22; n=150 obs / 26 participants / 150 participant-days
near_eye,Near-eye (primary),TUM,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,60,60,10,60,1.1558333333333333,1.305351959522701,0.15833333333333333,0.65,1.7583333333333333,,1.156,"0.65 [0.1583, 1.758]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Munich (DE),00:39,00:10,01:46,01:09,01:18,00:39 (00:10–01:46); mean 01:09 ± 01:18; n=60 obs / 10 participants / 60 participant-days
near_eye,Near-eye (primary),FUSPCEU,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,129,129,23,129,0.6410852713178294,0.7793227520568003,0.1,0.45,0.8833333333333333,,0.6411,"0.45 [0.1, 0.8833]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Madrid (ES),00:27,00:06,00:53,00:38,00:47,00:27 (00:06–00:53); mean 00:38 ± 00:47; n=129 obs / 23 participants / 129 participant-days
near_eye,Near-eye (primary),IZTECH,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,101,101,17,101,0.7414191419141913,0.8455458915904437,0.1,0.5,1.0666666666666669,,0.7414,"0.5 [0.1, 1.067]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Izmir (TR),00:30,00:06,01:04,00:44,00:51,00:30 (00:06–01:04); mean 00:44 ± 00:51; n=101 obs / 17 participants / 101 participant-days
near_eye,Near-eye (primary),UCR,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,32,32,6,32,0.5270833333333333,0.5574800894912852,0.14583333333333331,0.31666666666666665,0.7166666666666667,,0.5271,"0.3167 [0.1458, 0.7167]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,San José (CR),00:19,00:09,00:43,00:32,00:33,00:19 (00:09–00:43); mean 00:32 ± 00:33; n=32 obs / 6 participants / 32 participant-days
near_eye,Near-eye (primary),KNUST,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle,81,81,15,81,0.960082304526749,0.9515436253367827,0.2833333333333333,0.7166666666666667,1.2333333333333334,,0.9601,"0.7167 [0.2833, 1.233]",Duration,1,"Time above 1,000 lx melEDI",HH:MM,Symlog,Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.,Kumasi (GH),00:43,00:17,01:14,00:58,00:57,00:43 (00:17–01:14); mean 00:58 ± 00:57; n=81 obs / 15 participants / 81 participant-days
