site,section,characteristic,level,analysis_unit,unit,n_available,n_denominator,count,percent,mean,q1,median,q3,minimum,maximum,circular_resultant,display
Overall,Sample,Participants,Main near-eye dataset,participant,n,141,141,141,100,,,,,,,,141
Overall,Demographics,Age,,participant,years,141,141,,,30.79432624113475,23,27,36,18,68,,"27 [23, 36]"
Overall,Demographics,Sex,Female,participant,n (%),141,141,79,56.02836879432624,,,,,,,,79 (56.0%)
Overall,Demographics,Sex,Male,participant,n (%),141,141,62,43.97163120567376,,,,,,,,62 (44.0%)
Overall,Demographics,Gender,Man,participant,n (%),141,141,61,43.262411347517734,,,,,,,,61 (43.3%)
Overall,Demographics,Gender,Woman,participant,n (%),141,141,80,56.737588652482266,,,,,,,,80 (56.7%)
Overall,Demographics,Employment status,Full time employed,participant,n (%),141,141,62,43.97163120567376,,,,,,,,62 (44.0%)
Overall,Demographics,Employment status,Marginally employed (Minijob),participant,n (%),141,141,4,2.8368794326241136,,,,,,,,4 (2.8%)
Overall,Demographics,Employment status,Not employed,participant,n (%),141,141,2,1.4184397163120568,,,,,,,,2 (1.4%)
Overall,Demographics,Employment status,Not employed but studying or in training,participant,n (%),141,141,29,20.56737588652482,,,,,,,,29 (20.6%)
Overall,Demographics,Employment status,Part time employed,participant,n (%),141,141,14,9.929078014184396,,,,,,,,14 (9.9%)
Overall,Demographics,Employment status,Studying and employed,participant,n (%),141,141,30,21.27659574468085,,,,,,,,30 (21.3%)
Overall,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,141,141,,,52.312056737588655,44,54,60,28,73,,"54 [44, 60]"
Overall,Chronotype,Chronotype group,Evening type,participant,n (%),141,141,25,17.73049645390071,,,,,,,,25 (17.7%)
Overall,Chronotype,Chronotype group,Intermediate,participant,n (%),141,141,72,51.06382978723404,,,,,,,,72 (51.1%)
Overall,Chronotype,Chronotype group,Morning type,participant,n (%),141,141,44,31.20567375886525,,,,,,,,44 (31.2%)
Overall,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,140,141,,,255.67703794201086,189.99999999999997,255.82142857511835,315,,,0.9377384406724357,"04:16 [03:10, 05:15]"
Overall,Chronotype,Social jetlag,,participant,hours,140,141,,,1.0844642857142857,0.5,0.9916666666666667,1.5,-0.3333333333333333,3.9166666666666665,,"0.992 [0.5, 1.5]"
Overall,Sleep diary,Participants with eligible sleep diary,,participant,n,141,141,141,100,,,,,,,,141 (100.0%)
Overall,Sleep diary,Eligible sleep diary records,,diary record,n,978,978,978,100,,,,,,,,978
Overall,Sleep diary,Sleep duration,,diary record,hours,978,978,,,7.72200798519817,6.75,7.708333333333334,8.666666666666666,0.9166666666666666,14.166666666666666,,"7.71 [6.75, 8.67]"
RISE,Sample,Participants,Main near-eye dataset,participant,n,13,13,13,100,,,,,,,,13
RISE,Demographics,Age,,participant,years,13,13,,,41.61538461538461,34,40,50,21,68,,"40 [34, 50]"
RISE,Demographics,Sex,Female,participant,n (%),13,13,6,46.15384615384615,,,,,,,,6 (46.2%)
RISE,Demographics,Sex,Male,participant,n (%),13,13,7,53.84615384615385,,,,,,,,7 (53.8%)
RISE,Demographics,Gender,Man,participant,n (%),13,13,7,53.84615384615385,,,,,,,,7 (53.8%)
RISE,Demographics,Gender,Woman,participant,n (%),13,13,6,46.15384615384615,,,,,,,,6 (46.2%)
RISE,Demographics,Employment status,Full time employed,participant,n (%),13,13,12,92.3076923076923,,,,,,,,12 (92.3%)
RISE,Demographics,Employment status,Not employed,participant,n (%),13,13,1,7.6923076923076925,,,,,,,,1 (7.7%)
RISE,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,13,13,,,53.15384615384615,41,57,63,30,73,,"57 [41, 63]"
RISE,Chronotype,Chronotype group,Evening type,participant,n (%),13,13,4,30.76923076923077,,,,,,,,4 (30.8%)
RISE,Chronotype,Chronotype group,Intermediate,participant,n (%),13,13,4,30.76923076923077,,,,,,,,4 (30.8%)
RISE,Chronotype,Chronotype group,Morning type,participant,n (%),13,13,5,38.46153846153846,,,,,,,,5 (38.5%)
RISE,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,13,13,,,204.44214793842133,162.49999999999994,179.6428571502368,234.6428571502368,,,0.94906860734143494,"03:00 [02:42, 03:55]"
RISE,Chronotype,Social jetlag,,participant,hours,13,13,,,1.092948717948718,0.25,0.5833333333333334,1.25,-0.08333333333333333,3.9166666666666665,,"0.583 [0.25, 1.25]"
RISE,Sleep diary,Participants with eligible sleep diary,,participant,n,13,13,13,100,,,,,,,,13 (100.0%)
RISE,Sleep diary,Eligible sleep diary records,,diary record,n,90,90,90,100,,,,,,,,90
RISE,Sleep diary,Sleep duration,,diary record,hours,90,90,,,7.408783068783069,6.5875,7.166666666666667,8.3125,3.1,11.166666666666666,,"7.17 [6.59, 8.31]"
THUAS,Sample,Participants,Main near-eye dataset,participant,n,13,13,13,100,,,,,,,,13
THUAS,Demographics,Age,,participant,years,13,13,,,33.46153846153846,24,29,39,19,59,,"29 [24, 39]"
THUAS,Demographics,Sex,Female,participant,n (%),13,13,6,46.15384615384615,,,,,,,,6 (46.2%)
THUAS,Demographics,Sex,Male,participant,n (%),13,13,7,53.84615384615385,,,,,,,,7 (53.8%)
THUAS,Demographics,Gender,Man,participant,n (%),13,13,6,46.15384615384615,,,,,,,,6 (46.2%)
THUAS,Demographics,Gender,Woman,participant,n (%),13,13,7,53.84615384615385,,,,,,,,7 (53.8%)
THUAS,Demographics,Employment status,Full time employed,participant,n (%),13,13,2,15.384615384615385,,,,,,,,2 (15.4%)
THUAS,Demographics,Employment status,Marginally employed (Minijob),participant,n (%),13,13,1,7.6923076923076925,,,,,,,,1 (7.7%)
THUAS,Demographics,Employment status,Not employed but studying or in training,participant,n (%),13,13,4,30.76923076923077,,,,,,,,4 (30.8%)
THUAS,Demographics,Employment status,Part time employed,participant,n (%),13,13,6,46.15384615384615,,,,,,,,6 (46.2%)
THUAS,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,13,13,,,50.84615384615385,45,54,58,37,62,,"54 [45, 58]"
THUAS,Chronotype,Chronotype group,Evening type,participant,n (%),13,13,3,23.076923076923077,,,,,,,,3 (23.1%)
THUAS,Chronotype,Chronotype group,Intermediate,participant,n (%),13,13,7,53.84615384615385,,,,,,,,7 (53.8%)
THUAS,Chronotype,Chronotype group,Morning type,participant,n (%),13,13,3,23.076923076923077,,,,,,,,3 (23.1%)
THUAS,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,13,13,,,260.71304616181527,219.2857142825921,262.49999999999994,302.1428571502367,,,0.9713224052642554,"04:22 [03:39, 05:02]"
