site,participants,participant_days,eligible_real_minutes,wake_fraction,pre_sleep_fraction,sleep_fraction,wake_context_numerator,pre_sleep_context_numerator,sleep_context_numerator,combined_fraction,combined_context_numerator,wake_time_fraction,pre_sleep_time_fraction,sleep_time_fraction,wake_time_numerator,pre_sleep_time_numerator,sleep_time_numerator,unclassified_time_fraction,unclassified_time_numerator,wake_valid_minutes,pre_sleep_valid_minutes,sleep_valid_minutes,classified_valid_minutes,reader_site,sample_display
Overall,141,816,1175160,0.24017625568229356,0.6329237189891027,0.87658269121414,137792,81894,336052,0.5115088525386849,555738,0.5158574151604888,0.11926205793253684,0.32642959256611864,606215,140152,383607,0.03845093434085567,45186,573712,129390,383366,1086468,Overall,"141 participants; 816 participant-days; 1,175,160 eligible real minutes"
RISE,13,78,112260,0.3317400607399227,0.6986440943647622,0.9341486094282736,19225,8914,33152,0.5771280602636535,61291,0.5401924104756815,0.12207375734901123,0.31666666666666665,60642,13704,35549,0.02106716550864063,2365,57952,12759,35489,106200,Borås (SE),"13 participants; 78 participant-days;   112,260 eligible real minutes"
THUAS,13,78,112260,0.29607638610286446,0.6665119732689809,0.8640709396031311,14760,7181,29915,0.5444370951316052,51856,0.46993586317477287,0.1094156422590415,0.3089435239622305,52755,12283,34682,0.11170497060395501,12540,49852,10774,34621,95247,Delft (NL),"13 participants; 78 participant-days;   112,260 eligible real minutes"
BAUA,18,107,154080,0.32376251788268956,0.59586822321374,0.8753474493132767,22631,9749,42829,0.5563248489152224,75209,0.48088006230529595,0.11298676012461059,0.31754932502596056,74094,17409,48928,0.08858385254413292,13649,69900,16361,48928,135189,Dortmund (DE),"18 participants; 107 participant-days;   154,080 eligible real minutes"
MPI,26,150,216120,0.2251606879959783,0.617925088003797,0.871496094475146,25082,15623,61030,0.4921676954931594,101735,0.5513140847677216,0.12437997408846937,0.324305941143809,119150,26881,70089,0,0,111396,25283,70029,206708,Tübingen (DE),"26 participants; 150 participant-days;   216,120 eligible real minutes"
TUM,10,60,86400,0.2502284174768654,0.606427336519882,0.7173383192547829,10681,5963,21485,0.4623434260146237,38129,0.5304513888888889,0.12289351851851851,0.3466550925925926,45831,10618,29951,0,0,42685,9833,29951,82469,Munich (DE),"10 participants; 60 participant-days;    86,400 eligible real minutes"
FUSPCEU,23,129,185880,0.242065954268643,0.6268290287734459,0.9586638419470858,21067,12766,58374,0.5479151687296108,92207,0.48390359371637615,0.11665590703679793,0.3275823111684958,89948,21684,60891,0.07185818807833011,13357,87030,20366,60891,168287,Madrid (ES),"23 participants; 129 participant-days;   185,880 eligible real minutes"
IZTECH,17,101,145440,0.17758028003689108,0.5509679732313576,0.7899359126513174,12708,9221,39936,0.44553991962781053,61865,0.5151677667766776,0.1229579207920792,0.3476072607260726,74926,17883,50556,0.014267051705170508,2075,71562,16736,50556,138854,Izmir (TR),"17 participants; 101 participant-days;   145,440 eligible real minutes"
UCR,6,32,46080,0.13815566835871404,0.6455879313907832,0.8713134851138353,3266,3124,12438,0.44037984749964915,18828,0.5487196180555556,0.1154513888888889,0.3097873263888889,25285,5320,14275,0.02604166666666674,1200,23640,4839,14275,42754,San José (CR),"6 participants; 32 participant-days;    46,080 eligible real minutes"
KNUST,15,81,116640,0.14024625177988106,0.7519093174692499,0.9551338476673743,8372,9353,36893,0.4931202600216685,54618,0.5451303155006859,0.12319958847736626,0.33167009602194786,63584,14370,38686,0,0,59695,12439,38626,110760,Kumasi (GH),"15 participants; 81 participant-days;   116,640 eligible real minutes"
