site,city,country,location,latitude_deg,longitude_deg,roster_participants,chest_participants,near_eye_participants,chest_participant_days,near_eye_participant_days,chest_weekdays,near_eye_weekdays,chest_weekends,near_eye_weekends,chest_first_date,near_eye_first_date,chest_last_date,near_eye_last_date,chest_photoperiod_median_h,near_eye_photoperiod_median_h,chest_photoperiod_q1_h,near_eye_photoperiod_q1_h,chest_photoperiod_q3_h,near_eye_photoperiod_q3_h,chest_available_participants,near_eye_available_participants,chest_available_participant_days,near_eye_available_participant_days,chest_available_weekdays,near_eye_available_weekdays,chest_available_weekends,near_eye_available_weekends,chest_available_first_date,near_eye_available_first_date,chest_available_last_date,near_eye_available_last_date,chest_available_photoperiod_median_h,near_eye_available_photoperiod_median_h,chest_available_photoperiod_q1_h,near_eye_available_photoperiod_q1_h,chest_available_photoperiod_q3_h,near_eye_available_photoperiod_q3_h,available_union_participants,available_union_participant_days,available_union_weekdays,available_union_weekends,available_union_first_date,available_union_last_date,available_union_photoperiod_median_h,available_union_photoperiod_p05_h,available_union_photoperiod_p95_h,near_eye_real_minutes,chest_real_minutes,near_eye_declared_nonwear_minutes,chest_declared_nonwear_minutes,near_eye_declared_nonwear_percent,chest_declared_nonwear_percent,near_eye_complete_before_all_zero_screen,chest_complete_before_all_zero_screen,near_eye_all_zero_days_excluded,chest_all_zero_days_excluded,paired_participants,paired_participant_days,available_paired_participants,available_paired_participant_days
Overall,,,All nine sites,,,191,154,141,902,816,612,551,290,265,2024-05-14,2023-08-15,2025-10-19,2025-10-19,13.287083964943886,13.263140832682451,12.406664492239557,11.646809936960539,14.8905592893064,16.241688398917518,157,143,1246,1134,935,850,311,284,2024-05-13,2023-08-14,2025-10-20,2025-10-20,13.302869473960664,13.240188221931458,12.426608387198712,11.646809936960539,15.081229122496312,16.060599889622793,184,1478,1107,371,2023-08-14,2025-10-20,13.245804650915993,10.617976313961877,18.198317792680527,1175160,1298880,43021,44730,3.6608632016065896,3.4437361419068737,818,905,2,3,112,643,116,902
RISE,Borås,Sweden,"Borås, Sweden",57.715675,12.890871,17,16,13,96,78,65,53,31,25,2025-03-04,2025-03-04,2025-10-19,2025-10-12,14.459010860588815,15.880007472435633,12.295595754848586,13.617302848166888,18.00603591071235,19.747680918922025,17,14,137,107,103,81,34,26,2025-03-03,2025-03-03,2025-10-20,2025-10-13,14.809776781466272,15.880007472435633,12.376106913288435,13.68131742046939,19.831682472030323,20.08739216056135,17,137,103,34,2025-03-03,2025-10-20,14.809776781466272,11.802288400040734,20.492069786906242,112260,138180,3746,4130,3.3368964902903975,2.988855116514691,78,96,0,0,13,78,14,107
THUAS,Delft,Netherlands,"Delft, the Netherlands",52.0116,4.3571,20,15,13,93,78,63,52,30,26,2025-02-22,2025-02-22,2025-10-13,2025-09-27,13.931158213880327,14.243748897115388,12.586945657730103,13.244115727676286,17.856285890539485,17.898490925100116,15,13,124,107,93,79,31,28,2025-02-21,2025-02-21,2025-10-14,2025-09-28,14.03402834392256,14.27863074236446,12.647744560407268,13.246898643771807,17.812627689904637,17.8773884078198,15,125,93,32,2025-02-21,2025-10-14,13.9999756623639,11.882877808849017,18.08596970346239,112260,133860,4405,4510,3.9239265989666845,3.369191692813387,78,94,0,1,13,77,13,106
BAUA,Dortmund,Germany,"Dortmund, Germany",51.498204,7.416708,24,20,18,114,107,75,72,39,35,2025-06-11,2025-06-11,2025-10-19,2025-10-19,17.487948610054122,17.605919546220036,13.972100253105163,17.037530069549877,18.170627665254806,18.174617048899332,22,19,163,145,123,109,40,36,2025-06-10,2025-06-10,2025-10-20,2025-10-20,17.559705352187155,18.11400412182013,14.039288122190369,17.037530069549877,18.174617048899332,18.18549463795291,22,176,132,44,2025-06-10,2025-10-20,17.882430417901936,11.764196532567341,18.217757501800854,154080,164160,5265,5081,3.417056074766355,3.0951510721247564,107,114,0,0,16,94,19,132
MPI,Tübingen,Germany,"Tübingen, Germany",48.5216,9.0576,26,0,26,0,150,0,100,0,50,,2023-08-15,,2023-11-12,,11.785781543486648,,10.933061384575234,,14.080828205313948,0,26,0,208,0,156,0,52,,2023-08-14,,2023-11-13,,12.065951684713363,,10.957724764727883,,14.110974248184098,26,208,156,52,2023-08-14,2023-11-13,12.065951684713363,10.54537648419539,15.410699046254159,216120,0,9292,0,4.299463261151212,,150,0,0,0,0,0,0,0
TUM,Munich,Germany,"Munich, Germany",48.1333,11.5667,10,10,10,60,60,40,40,20,20,2024-05-14,2024-05-14,2024-07-28,2024-07-28,17.19947656972541,17.19947656972541,16.84383839186695,16.84383839186695,17.390965252071616,17.390965252071616,10,10,80,80,60,60,20,20,2024-05-13,2024-05-13,2024-07-29,2024-07-29,17.2001187670562,17.2001187670562,16.84383839186695,16.84383839186695,17.381191707832947,17.381191707832947,10,80,60,20,2024-05-13,2024-07-29,17.2001187670562,16.452340877307787,17.448054885552988,86400,86400,3928,3928,4.546296296296297,4.546296296296297,60,60,0,0,10,60,10,80
FUSPCEU,Madrid,Spain,"Madrid, Spain",40.4165,-3.70256,23,22,23,123,129,83,87,40,42,2024-10-08,2024-10-08,2025-02-09,2025-02-09,11.046587911711798,11.013763885233137,10.577321579423216,10.588207732571496,11.607707152366638,11.568906053569581,22,23,174,182,130,136,44,46,2024-10-07,2024-10-07,2025-02-10,2025-02-10,11.046587911711798,11.013763885233137,10.593845812429983,10.616589073290427,11.598006877667373,11.5592839613888,23,182,136,46,2024-10-07,2025-02-10,11.013763885233137,10.352288874775173,12.218338072786729,185880,177240,4083,3823,2.196578437701743,2.156962310990747,129,123,0,0,22,123,22,174
IZTECH,Izmir,Türkiye,"Izmir, Türkiye",38.32,26.63,17,17,17,102,101,70,69,32,32,2024-12-24,2024-12-24,2025-06-01,2025-06-01,13.14723148872455,13.189377503262627,10.986033838391304,10.986033838391304,14.591198232587843,14.60103188349141,17,17,138,138,104,104,34,34,2024-12-23,2024-12-23,2025-06-02,2025-06-02,13.126147873004278,13.126147873004278,10.992935524086157,10.992935524086157,14.60103188349141,14.60103188349141,17,138,104,34,2024-12-23,2025-06-02,13.126147873004278,10.521885213947959,15.566808460238907,145440,146880,4554,4591,3.131188118811881,3.1256808278867103,103,104,2,2,17,101,17,138
UCR,San José,Costa Rica,"San José, Costa Rica",9.9372,-84.0509,39,39,6,230,32,157,23,73,9,2025-06-17,2025-06-17,2025-09-06,2025-06-29,13.336601862443818,13.473250989052984,13.129587629304991,13.470606687996122,13.432301240397825,13.474547087020344,39,6,312,48,233,36,79,12,2025-06-16,2025-06-16,2025-09-07,2025-06-30,13.336601862443818,13.473375476102035,13.13885215997696,13.470606687996122,13.4376359107097,13.47428651339478,39,312,233,79,2025-06-16,2025-09-07,13.336601862443818,13.006817099849384,13.474021187027295,46080,331200,2147,12868,4.659288194444445,3.885265700483092,32,230,0,0,6,32,6,48
KNUST,Kumasi,Ghana,"Kumasi, Ghana",6.6750074282377385,-1.572643823555129,15,15,15,84,81,59,55,25,26,2024-10-08,2024-10-08,2025-02-01,2025-02-02,12.54471987856759,12.53831181022856,12.510136032154163,12.509350015123685,12.598460212532018,12.593504488004578,15,15,118,119,89,89,29,30,2024-10-07,2024-10-07,2025-02-03,2025-02-03,12.541840280658668,12.539763640562693,12.510568295220533,12.510738552610079,12.592533285121123,12.591562082237667,15,120,90,30,2024-10-07,2025-02-03,12.540434804691209,12.493705632901854,12.684600570059484,116640,120960,5601,5799,4.801954732510288,4.794146825396825,81,84,0,0,15,78,15,117
