section,characteristic,Overall,RISE,THUAS,BAUA,MPI,TUM,FUSPCEU,IZTECH,UCR,KNUST
Site specifics,Institution,Overall,RISE,THUAS,BAuA,MPI,TUM,FUSPCEU,IZTECH,UCR,KNUST
Site specifics,Country,Not applicable,Sweden,Netherlands,Germany,Germany,Germany,Spain,Türkiye,Costa Rica,Ghana
Site specifics,City,Not applicable,Borås,Delft,Dortmund,Tübingen,Munich,Madrid,Izmir,San José,Kumasi
Site specifics,Coordinates,Not applicable,"57.7°N, 12.9°E","52.0°N, 4.4°E","51.5°N, 7.4°E","48.5°N, 9.1°E","48.1°N, 11.6°E","40.4°N, 3.7°W","38.3°N, 26.6°E","9.9°N, 84.1°W","6.7°N, 1.6°W"
Data collection,Participants,191 roster<br>(**g:143**; c:157; p:116),17 roster<br>(**g:14**; c:17; p:14),20 roster<br>(**g:13**; c:15; p:13),24 roster<br>(**g:19**; c:22; p:19),26 roster<br>(**g:26**; c:0; p:0),10 roster<br>(**g:10**; c:10; p:10),23 roster<br>(**g:23**; c:22; p:22),17 roster<br>(**g:17**; c:17; p:17),39 roster<br>(**g:6**; c:39; p:6),15 roster<br>(**g:15**; c:15; p:15)
Data collection,Participant-days,1478 roster<br>(g:1134<br>c:1246; p:902),137 roster<br>(g:107<br>c:137; p:107),125 roster<br>(g:107<br>c:124; p:106),176 roster<br>(g:145<br>c:163; p:132),208 roster<br>(g:208<br>c:0; p:0),80 roster<br>(g:80<br>c:80; p:80),182 roster<br>(g:182<br>c:174; p:174),138 roster<br>(g:138<br>c:138; p:138),312 roster<br>(g:48<br>c:312; p:48),120 roster<br>(g:119<br>c:118; p:117)
Data collection,Weekday / weekend,**g:850 / 284**<br>c:935 / 311,**g:81 / 26**<br>c:103 / 34,**g:79 / 28**<br>c:93 / 31,**g:109 / 36**<br>c:123 / 40,**g:156 / 52**<br>c:0 / 0,**g:60 / 20**<br>c:60 / 20,**g:136 / 46**<br>c:130 / 44,**g:104 / 34**<br>c:104 / 34,**g:36 / 12**<br>c:233 / 79,**g:89 / 30**<br>c:89 / 29
Data collection,Workday / free-day diaries,824 work / 451 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=1275 diaries)</span>,77 work / 40 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=117 diaries)</span>,70 work / 31 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=101 diaries)</span>,95 work / 54 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=149 diaries)</span>,115 work / 66 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=181 diaries)</span>,38 work / 32 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=70 diaries)</span>,95 work / 54 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=149 diaries)</span>,99 work / 38 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=137 diaries)</span>,180 work / 87 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=267 diaries)</span>,55 work / 49 free<br><span style='display:inline-block;white-space:nowrap;color:grey;font-size:9px'>(n=104 diaries)</span>
Data collection,Participant time,116w 4d,11w 23h,11w 23h,15w 2d,21w 3d,8w 4d,18w 3d,14w 3d,4w 4d,11w 4d
Data collection,Declared non-wear,**g:4w 1d (3.66%)**,**g:2d 14h (3.34%)**,**g:3d 1h (3.92%)**,**g:3d 15h (3.42%)**,**g:6d 10h (4.30%)**,**g:2d 17h (4.55%)**,**g:2d 20h (2.20%)**,**g:3d 3h (3.13%)**,**g:1d 11h (4.66%)**,**g:3d 21h (4.80%)**
Data collection,Screened days,**g:816**<br>c:902,**g:78**<br>c:96,**g:78**<br>c:93,**g:107**<br>c:114,**g:150**<br>c:0,**g:60**<br>c:60,**g:129**<br>c:123,**g:101**<br>c:102,**g:32**<br>c:230,**g:81**<br>c:84
