section,characteristic,site,reader_site,display,denominator_definition,placement,n_participants,n_participant_days,n_observations
Site specifics,Institution,Overall,Overall,Overall,Study site,mixed_or_not_applicable,191,,
Site specifics,Institution,RISE,Borås (SE),RISE,Study site,mixed_or_not_applicable,17,,
Site specifics,Institution,THUAS,Delft (NL),THUAS,Study site,mixed_or_not_applicable,20,,
Site specifics,Institution,BAUA,Dortmund (DE),BAUA,Study site,mixed_or_not_applicable,24,,
Site specifics,Institution,MPI,Tübingen (DE),MPI,Study site,mixed_or_not_applicable,26,,
Site specifics,Institution,TUM,Munich (DE),TUM,Study site,mixed_or_not_applicable,10,,
Site specifics,Institution,FUSPCEU,Madrid (ES),FUSPCEU,Study site,mixed_or_not_applicable,23,,
Site specifics,Institution,IZTECH,Izmir (TR),IZTECH,Study site,mixed_or_not_applicable,17,,
Site specifics,Institution,UCR,San José (CR),UCR,Study site,mixed_or_not_applicable,39,,
Site specifics,Institution,KNUST,Kumasi (GH),KNUST,Study site,mixed_or_not_applicable,15,,
Site specifics,Country,Overall,Overall,Not applicable,Study site,mixed_or_not_applicable,,,
Site specifics,Country,RISE,Borås (SE),Sweden,Study site,mixed_or_not_applicable,,,
Site specifics,Country,THUAS,Delft (NL),Netherlands,Study site,mixed_or_not_applicable,,,
Site specifics,Country,BAUA,Dortmund (DE),Germany,Study site,mixed_or_not_applicable,,,
Site specifics,Country,MPI,Tübingen (DE),Germany,Study site,mixed_or_not_applicable,,,
Site specifics,Country,TUM,Munich (DE),Germany,Study site,mixed_or_not_applicable,,,
Site specifics,Country,FUSPCEU,Madrid (ES),Spain,Study site,mixed_or_not_applicable,,,
Site specifics,Country,IZTECH,Izmir (TR),Türkiye,Study site,mixed_or_not_applicable,,,
Site specifics,Country,UCR,San José (CR),Costa Rica,Study site,mixed_or_not_applicable,,,
Site specifics,Country,KNUST,Kumasi (GH),Ghana,Study site,mixed_or_not_applicable,,,
Site specifics,City,Overall,Overall,Not applicable,Study site,mixed_or_not_applicable,,,
Site specifics,City,RISE,Borås (SE),Borås,Study site,mixed_or_not_applicable,,,
Site specifics,City,THUAS,Delft (NL),Delft,Study site,mixed_or_not_applicable,,,
Site specifics,City,BAUA,Dortmund (DE),Dortmund,Study site,mixed_or_not_applicable,,,
Site specifics,City,MPI,Tübingen (DE),Tübingen,Study site,mixed_or_not_applicable,,,
Site specifics,City,TUM,Munich (DE),Munich,Study site,mixed_or_not_applicable,,,
Site specifics,City,FUSPCEU,Madrid (ES),Madrid,Study site,mixed_or_not_applicable,,,
Site specifics,City,IZTECH,Izmir (TR),Izmir,Study site,mixed_or_not_applicable,,,
Site specifics,City,UCR,San José (CR),San José,Study site,mixed_or_not_applicable,,,
Site specifics,City,KNUST,Kumasi (GH),Kumasi,Study site,mixed_or_not_applicable,,,
Site specifics,Coordinates,Overall,Overall,Not applicable,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,RISE,Borås (SE),"57.7°N, 12.9°E",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,THUAS,Delft (NL),"52.0°N, 4.4°E",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,BAUA,Dortmund (DE),"51.5°N, 7.4°E",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,MPI,Tübingen (DE),"48.5°N, 9.1°E",Verified site coordinates,mixed_or_not_applicable,,,
