site,work_free_day,clock_hour_bin,residual_mean,one_hour_observations,display_order,display_name,color_hex
RISE,Work day,0,-17.005728641535576,42,1,Borås (SE),#88CCEE
RISE,Work day,1,-17.07595996634665,43,1,Borås (SE),#88CCEE
RISE,Work day,2,-17.07615585319515,43,1,Borås (SE),#88CCEE
RISE,Work day,3,-17.076089792378603,43,1,Borås (SE),#88CCEE
RISE,Work day,4,-17.04802975164223,43,1,Borås (SE),#88CCEE
RISE,Work day,5,-16.943872291121828,43,1,Borås (SE),#88CCEE
RISE,Work day,6,-15.511512217588006,43,1,Borås (SE),#88CCEE
RISE,Work day,7,-8.104351583828747,41,1,Borås (SE),#88CCEE
RISE,Work day,8,0.8468192034898351,40,1,Borås (SE),#88CCEE
RISE,Work day,9,0.46059529905646623,42,1,Borås (SE),#88CCEE
RISE,Work day,10,3.882827402165148,42,1,Borås (SE),#88CCEE
RISE,Work day,11,4.577125188065631,43,1,Borås (SE),#88CCEE
RISE,Work day,12,4.175580344821953,43,1,Borås (SE),#88CCEE
RISE,Work day,13,20.110911526547923,43,1,Borås (SE),#88CCEE
RISE,Work day,14,24.659468041057327,42,1,Borås (SE),#88CCEE
RISE,Work day,15,19.206220696574494,42,1,Borås (SE),#88CCEE
RISE,Work day,16,18.212579191908787,39,1,Borås (SE),#88CCEE
RISE,Work day,17,19.657197225988707,40,1,Borås (SE),#88CCEE
RISE,Work day,18,5.92560112207356,40,1,Borås (SE),#88CCEE
RISE,Work day,19,-10.207024168116732,41,1,Borås (SE),#88CCEE
RISE,Work day,20,-13.553728442763637,43,1,Borås (SE),#88CCEE
RISE,Work day,21,-16.848546659503192,42,1,Borås (SE),#88CCEE
RISE,Work day,22,-16.887396617357542,41,1,Borås (SE),#88CCEE
RISE,Work day,23,-17.0842042025571,41,1,Borås (SE),#88CCEE
RISE,Free day,0,-20.467147426835716,27,1,Borås (SE),#88CCEE
RISE,Free day,1,-20.47884334925889,27,1,Borås (SE),#88CCEE
RISE,Free day,2,-20.395563650763997,26,1,Borås (SE),#88CCEE
RISE,Free day,3,-20.40085890137557,26,1,Borås (SE),#88CCEE
RISE,Free day,4,-20.440644709207238,27,1,Borås (SE),#88CCEE
RISE,Free day,5,-20.189107084553015,27,1,Borås (SE),#88CCEE
RISE,Free day,6,-19.740821488840293,27,1,Borås (SE),#88CCEE
RISE,Free day,7,-17.390614358329138,27,1,Borås (SE),#88CCEE
RISE,Free day,8,-12.620661954022912,27,1,Borås (SE),#88CCEE
RISE,Free day,9,24.1173403492153,26,1,Borås (SE),#88CCEE
RISE,Free day,10,56.20484927380656,26,1,Borås (SE),#88CCEE
RISE,Free day,11,43.59446767571862,26,1,Borås (SE),#88CCEE
RISE,Free day,13,31.503714213327164,26,1,Borås (SE),#88CCEE
RISE,Free day,16,4.056512644730051,25,1,Borås (SE),#88CCEE
RISE,Free day,17,18.08566637329007,26,1,Borås (SE),#88CCEE
RISE,Free day,18,-14.904475680266525,27,1,Borås (SE),#88CCEE
RISE,Free day,19,-18.751405002616256,27,1,Borås (SE),#88CCEE
RISE,Free day,20,-19.832576377507287,27,1,Borås (SE),#88CCEE
RISE,Free day,21,-20.269304631560118,27,1,Borås (SE),#88CCEE
RISE,Free day,22,-20.489419850821715,25,1,Borås (SE),#88CCEE
RISE,Free day,23,-20.431285950929936,27,1,Borås (SE),#88CCEE
RISE,Free day,12,23.488928621140722,25,1,Borås (SE),#88CCEE
RISE,Free day,14,124.50731660862719,24,1,Borås (SE),#88CCEE
RISE,Free day,15,76.78046096893272,25,1,Borås (SE),#88CCEE
THUAS,Free day,0,-19.25832791063591,19,2,Delft (NL),#117733
THUAS,Free day,1,-19.276266446453125,19,2,Delft (NL),#117733
THUAS,Free day,2,-19.286895386569686,19,2,Delft (NL),#117733
THUAS,Free day,3,-19.289040881106462,19,2,Delft (NL),#117733
THUAS,Free day,4,-19.290066782076146,19,2,Delft (NL),#117733
THUAS,Free day,5,-19.2805212408554,19,2,Delft (NL),#117733
THUAS,Free day,6,-19.041738008525936,19,2,Delft (NL),#117733
THUAS,Free day,7,-18.375671387677407,19,2,Delft (NL),#117733
THUAS,Free day,8,-18.01383049590817,19,2,Delft (NL),#117733
