contrast_id,contrast_label,clock_hour,numerator,denominator,numerator_expected_melEDI_lx,denominator_expected_melEDI_lx,expected_melEDI_ratio,pointwise_low_ratio,pointwise_high_ratio,log_ratio,standard_error_log_ratio,occurrence_standard_error_contribution,positive_magnitude_standard_error_contribution,numerator_observations,numerator_positive_observations,numerator_zero_observations,numerator_participants,numerator_participant_days,numerator_sites_with_support,denominator_observations,denominator_positive_observations,denominator_zero_observations,denominator_participants,denominator_participant_days,denominator_sites_with_support,null_reference_ratio,basis_k,sites_standardized,other_factor_levels_standardized,standardization,model_components,occurrence_working_rho,positive_magnitude_working_rho,random_effects,interval_scope,inferential_role,pointwise_highlighting,display_scale
active_vs_sedentary,Active / Sedentary,0,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),2.617009485678699,4.772717655815266,0.5483269018627221,0.35725719337343254,0.8415852693331103,-0.600883633645296,0.21858345189191114,0.06092569030093372,0.20992090344303052,495,192,303,131,495,9,212,96,116,92,212,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,0.25,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),1.9848116988278357,4.060466853389147,0.4888136685985195,0.3131957694464088,0.7629055878726622,-0.7157739079344659,0.22712300738596172,0.06873034695122086,0.21647401666714744,495,192,303,131,495,9,212,96,116,92,212,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,0.5,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),1.468970371200533,3.407572612436088,0.4310899688063757,0.2691856130239501,0.6903733045679058,-0.8414384663321175,0.2402675066835707,0.07808584117951177,0.22722472615282815,495,192,303,131,495,9,212,96,116,92,212,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,0.75,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),1.0632475674612432,2.8205151833568305,0.37696927629931115,0.22511314971870394,0.6312640352249457,-0.9755915900823341,0.26304591795001653,0.09192144003358124,0.24646217521623795,495,192,303,131,495,9,212,96,116,92,212,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,1,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),0.7532373975438538,2.30205612730469,0.3272020124139044,0.18432412275155222,0.5808309586912561,-1.1171775238632156,0.29280232444553445,0.11009224109870451,0.27131697265481336,500,90,410,131,500,9,213,60,153,92,213,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,1.25,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),0.5218498311828927,1.8513348911946492,0.2818775974378941,0.15010329100183772,0.5293353623831385,-1.266282353910377,0.3215106329748494,0.12887421977692615,0.29455139210802733,500,90,410,131,500,9,213,60,153,92,213,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,1.5,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),0.35380336812630553,1.466274774414251,0.24129404276742283,0.12269952348276225,0.47451541311997403,-1.4217389947312367,0.34504604241304376,0.14535473543835561,0.31293573185328266,500,90,410,131,500,9,213,60,153,92,213,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,1.75,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),0.2363170668430127,1.14528396467653,0.2063392784074797,0.10035858143982831,0.42423774033958944,-1.5782334824204143,0.36774768085816545,0.16117984972630545,0.3305441162973026,500,90,410,131,500,9,213,60,153,92,213,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,2,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),0.1571508594638169,0.8848485899028713,0.1776019776231628,0.08200234133902434,0.38465319331861053,-1.7282103132205078,0.3942915135613704,0.17928208187007552,0.3511747895092241,500,27,473,131,500,9,212,26,186,92,212,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
active_vs_sedentary,Active / Sedentary,2.25,"Active (light, moderate, or vigorous exercise)",Sedentary (no reported exercise),0.10545059098602622,0.6792831305670837,0.1552380535315123,0.06744251872088579,0.35732433665455143,-1.8627955110068801,0.42535685041853394,0.2006719974951078,0.3750455967203168,500,27,473,131,500,9,212,26,186,92,212,9,1,16,9,2,Response-scale expected melEDI gives equal weight to work and free days and to each of the nine study sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10()
