placement,recovery_item,recovered_value,recovered_text,source_locator,source_sha256,verification_status
glasses,grid_30_minute_rows,38832,,data/metrics_separate_glasses.RData:metric_glasses_participanthour,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,verified_in_R_4.6.1
glasses,fitted_30_minute_observations,37603,,data/metrics_separate_glasses.RData:metric_glasses_participanthour,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,verified_in_R_4.6.1
glasses,participants,141,,data/metrics_separate_glasses.RData:metric_glasses_participanthour,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,verified_in_R_4.6.1
glasses,participant_days,809,,data/metrics_separate_glasses.RData:metric_glasses_participanthour,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,verified_in_R_4.6.1
glasses,sites,9,,data/metrics_separate_glasses.RData:metric_glasses_participanthour,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,verified_in_R_4.6.1
glasses,exact_zero_observations,12028,,data/metrics_separate_glasses.RData:metric_glasses_participanthour,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,verified_in_R_4.6.1
chest,grid_30_minute_rows,42912,,data/metrics_separate_chest.RData:metric_chest_participanthour,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,verified_in_R_4.6.1
chest,fitted_30_minute_observations,41664,,data/metrics_separate_chest.RData:metric_chest_participanthour,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,verified_in_R_4.6.1
chest,participants,154,,data/metrics_separate_chest.RData:metric_chest_participanthour,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,verified_in_R_4.6.1
chest,participant_days,894,,data/metrics_separate_chest.RData:metric_chest_participanthour,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,verified_in_R_4.6.1
chest,sites,8,,data/metrics_separate_chest.RData:metric_chest_participanthour,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,verified_in_R_4.6.1
chest,exact_zero_observations,13716,,data/metrics_separate_chest.RData:metric_chest_participanthour,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,verified_in_R_4.6.1
glasses,selected_fREML_model_AIC,64952.13,,"docs/RQ1.html, frozen H02 AIC and partial-R2 tables",989a961ebcea5707dc68a9dd3379c7ed914fa0bdf81e7e69100be1d47ce49480,verified_exact_rendered_value
glasses,time_term_share,0.8361,,"docs/RQ1.html, frozen H02 AIC and partial-R2 tables",989a961ebcea5707dc68a9dd3379c7ed914fa0bdf81e7e69100be1d47ce49480,verified_exact_rendered_value
glasses,site_term_share,0.0487,,"docs/RQ1.html, frozen H02 AIC and partial-R2 tables",989a961ebcea5707dc68a9dd3379c7ed914fa0bdf81e7e69100be1d47ce49480,verified_exact_rendered_value
