placement,manuscript_name,display_unit,analysis_unit,primary_rows,alternative_rows,common_rows,mean_alternative_minus_primary,maximum_absolute_difference
Near eye,Interdaily stability,dimensionless,Participant,141,141,141,0.0017446328573781974,0.1158004225573171
Near eye,Intradaily variability,dimensionless,Participant,141,141,141,0.048092003537489235,0.9345849805839803
Near eye,Mean melEDI,lx,Participant-day,816,811,809,-0.04552019570898331,5.351630423083662
Near eye,Brightest 10 h mean,lx,Participant-day,816,811,809,7.094792364320448,466.84864553229187
Near eye,Darkest 10 h mean,lx,Participant-day,816,811,809,-0.014796229840103176,2.2443859004382904
Near eye,"Time above 1,000 lx melEDI",h,Participant-day,816,811,809,-0.010465595385249283,0.8333333333333333
Near eye,Time above 250 lx melEDI during wake,h,Participant-day,737,755,719,-0.01986555401019937,0.8333333333333335
Near eye,Time below 10 lx melEDI before sleep,h,Participant-day,655,780,653,-0.0030372639101582492,0.41666666666666696
Near eye,Time below 1 lx melEDI during sleep,h,Participant-day,778,790,771,-0.0036748811067877285,1.8166666666666664
Near eye,Longest continuous period above 250 lx melEDI,h,Participant-day,816,811,809,0.0215492377420684,3.7333333333333343
Near eye,Midpoint of the brightest 10 hours,min,Participant-day,816,811,809,3.5166872682323946,687.0000000000002
Near eye,Midpoint of the darkest 10 hours,min,Participant-day,816,811,809,2.8714462299135395,1415
Near eye,Mean timing of exposure above 250 lx melEDI,min,Participant-day,742,778,737,-1.841778711881802,702.4235114284481
Near eye,First light timing above 250 lx melEDI,min,Participant-day,727,778,720,0.27361111111111347,117
Near eye,Last light timing above 250 lx melEDI,min,Participant-day,687,778,684,-0.8406432748537943,239.9999999999999
Near eye,melEDI dose,lx·h,Participant-day,761,811,757,-289.4698961898998,23366.878966321587
Near eye,Melanopic daylight efficacy ratio,dimensionless,Participant-day,702,687,687,-3.924356423076478e-5,0.02612510785174449
Chest,Interdaily stability,dimensionless,Participant,153,154,153,0.0028335861368266784,0.11011996115969164
Chest,Intradaily variability,dimensionless,Participant,153,154,153,0.051265611403934104,1.086371314005195
Chest,Mean melEDI,lx,Participant-day,902,897,894,-0.03849637600845087,4.168784138917758
Chest,Brightest 10 h mean,lx,Participant-day,902,897,894,8.936660958209737,1107.4607591282522
Chest,Darkest 10 h mean,lx,Participant-day,902,897,894,-0.016309120219139932,4.314310592547617
Chest,"Time above 1,000 lx melEDI",h,Participant-day,902,897,894,-0.010365398956002992,0.7999999999999998
Chest,Time above 250 lx melEDI during wake,h,Participant-day,818,839,800,-0.017208333333333332,0.833333333333333
Chest,Time below 10 lx melEDI before sleep,h,Participant-day,743,867,740,-0.0021846846846846793,0.4166666666666665
Chest,Time below 1 lx melEDI during sleep,h,Participant-day,861,878,853,-0.006897225478702619,1.8166666666666664
Chest,Longest continuous period above 250 lx melEDI,h,Participant-day,902,897,894,0.022054436987322956,3.3833333333333337
Chest,Midpoint of the brightest 10 hours,min,Participant-day,902,897,894,1.1868008948546014,500.9999999999998
Chest,Midpoint of the darkest 10 hours,min,Participant-day,902,897,894,9.541387024608534,1430
Chest,Mean timing of exposure above 250 lx melEDI,min,Participant-day,831,867,826,0.4781940722691005,334.0019260046453
Chest,First light timing above 250 lx melEDI,min,Participant-day,802,867,795,0.5823899371069191,331.0000000000001
Chest,Last light timing above 250 lx melEDI,min,Participant-day,787,867,784,-0.7895408163265301,188.00000000000023
Chest,melEDI dose,lx·h,Participant-day,851,897,847,-306.9733199153429,31485.135094008372
Chest,Melanopic daylight efficacy ratio,dimensionless,Participant-day,732,723,723,8.716321764321619e-6,0.07090652926932295
