run_id,model_role,site,work_free_day,activity_status,clock_hour_bin,one_hour_observations,participant_days,participants,residual_mean,residual_sd,fitted_mean,observed_mean,zero_fraction
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",0,23,23,10,-16.863306501063242,0.3978383096281218,284.593059177398,0.03530549662299683,0.8695652173913043
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",1,24,24,10,-16.94175978382455,0.5410439220348522,287.31044315690303,0.003344010101568787,0.9583333333333334
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",2,24,24,10,-16.941957667117794,0.541026620730449,287.31044315690303,0,1
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",3,24,24,10,-16.941957667117794,0.541026620730449,287.31044315690303,0,1
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",4,24,24,10,-16.941957667117794,0.541026620730449,287.31044315690303,0,1
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",5,24,24,10,-16.941902642398023,0.541029396802819,287.31044315690303,9.30796106581064e-4,0.7916666666666666
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",6,24,24,10,-16.61513125258448,1.1585147192957757,287.31044315690303,5.424572525807591,0.041666666666666664
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",7,23,23,10,-7.063503612193398,12.429942751931414,286.8235882373482,168.40617990891536,0.043478260869565216
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",8,21,21,9,-2.0222393966743644,15.192691553831805,286.9643934474829,250.76395015197684,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",9,24,24,10,3.9273803905659483,27.1665469629136,287.31044315690303,348.6282182489578,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",10,24,24,10,2.2917168521454236,21.49473457642545,287.31044315690303,321.25791344564993,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",11,24,24,10,0.07846785576910054,19.82009356794966,287.31044315690303,285.78922848306297,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",12,24,24,10,2.0892759939129326,15.735718167683425,287.31044315690303,321.2847807208998,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",13,24,24,10,4.79123454166778,26.430728023679865,287.31044315690303,366.5889222342837,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",14,24,24,10,1.1365163070216564,17.89575567101251,287.31044315690303,306.56960374831027,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",15,24,24,10,3.3145752529675097,18.532470810462282,287.31044315690303,343.56451336887983,0
