run_id,model_role,lag_hours,residual_correlation,residual_pairs
employment_eligible__glasses__all_available,additive,1,0.47866325261134035,14867
employment_eligible__glasses__all_available,additive,2,0.2503248454829251,13891
employment_eligible__glasses__all_available,additive,3,0.1369786902893898,12951
employment_eligible__glasses__all_available,additive,4,0.09303919706113667,12047
employment_eligible__glasses__all_available,additive,5,0.04536200223033106,11174
employment_eligible__glasses__all_available,additive,6,0.018539370956608608,10332
employment_eligible__glasses__all_available,full,1,0.4637662673026958,14867
employment_eligible__glasses__all_available,full,2,0.23493739489329873,13891
employment_eligible__glasses__all_available,full,3,0.12453797546148526,12951
employment_eligible__glasses__all_available,full,4,0.08235233337802586,12047
employment_eligible__glasses__all_available,full,5,0.0341088947088376,11174
employment_eligible__glasses__all_available,full,6,0.008086449983325467,10332
