run_id,model_role,fitted_decile,observations,observed_mean,fitted_mean,observed_to_fitted_ratio,zero_fraction,pearson_mean,pearson_sd
employment_eligible__glasses__all_available,additive,9,1587,232.75746524984336,310.2999704868105,0.7501046967058506,0.25960932577189666,-4.364267620583035,51.97062034006492
employment_eligible__glasses__all_available,additive,10,1587,540.5089784059138,430.4283455627527,1.2557467090120167,0.28229363579080025,5.209326374927236,104.77312665449838
employment_eligible__glasses__all_available,additive,6,1587,125.69037123206161,149.63281492700858,0.8399920251007362,0.2715816005040958,-1.9259700436658214,39.877797869781986
employment_eligible__glasses__all_available,additive,8,1587,197.2402352617808,228.24674879614233,0.864153536916073,0.24574669187145556,-2.0270164534435637,54.17215034113224
employment_eligible__glasses__all_available,additive,7,1587,148.6215155945346,176.80390441758883,0.8406008684260109,0.26717076244486454,-2.0957357389320794,41.32245361393101
employment_eligible__glasses__all_available,additive,5,1587,132.24262734891494,131.09645560850916,1.0087429651327002,0.28418399495904223,0.051882604865638615,58.57937437720762
employment_eligible__glasses__all_available,additive,2,1587,96.23750185111008,76.70934132532079,1.2545734351044844,0.30245746691871456,2.202854496772111,45.374088559416506
employment_eligible__glasses__all_available,additive,4,1587,115.24247723781896,113.76184876210216,1.0130151583490268,0.297416509136736,0.11768584640338847,63.21455182598663
employment_eligible__glasses__all_available,additive,3,1587,93.5517171848937,99.01525541594494,0.9448212479167992,0.2885948330182735,-0.48087380124446133,36.116797425538294
employment_eligible__glasses__all_available,additive,1,1588,90.34440549697344,56.46395829972615,1.6000366998254107,0.3066750629722922,4.445584863214063,32.40651699371154
employment_eligible__glasses__all_available,full,8,1587,222.45222111091718,203.9758051508193,1.0905814096256978,0.22873345935727787,1.1247642446700314,62.15257403044401
employment_eligible__glasses__all_available,full,9,1587,213.1071097998257,250.9417672299802,0.8492293337701722,0.26528040327662256,-2.4414926772667402,51.3549529671751
employment_eligible__glasses__all_available,full,10,1587,527.1907904753419,526.9697666097072,1.0004194241864324,0.28040327662255826,-0.1930667033709838,92.17629222069894
employment_eligible__glasses__all_available,full,4,1587,110.8976771862398,114.46702372177926,0.9688176872300356,0.2791430371770636,-0.3170312702248788,30.180135311919255
employment_eligible__glasses__all_available,full,5,1587,158.3042336818837,127.40411548114703,1.2425362641076472,0.31379962192816635,2.742382985834054,64.48888517882669
employment_eligible__glasses__all_available,full,3,1587,85.14121015890896,96.40720164886554,0.8831415983736403,0.2885948330182735,-1.1267923303721845,29.110789526322623
employment_eligible__glasses__all_available,full,7,1587,174.32116000776634,171.38588194120834,1.017126720318567,0.24763705103969755,0.24415630596125878,51.37464364071642
employment_eligible__glasses__all_available,full,6,1587,160.19751482460612,160.41515957785361,0.9986432407397141,0.27599243856332706,0.04170643789415906,55.46415381603718
employment_eligible__glasses__all_available,full,1,1588,58.241703830446845,52.8023623263006,1.1030132226004012,0.3513853904282116,0.6092472412807294,46.523231874506195
employment_eligible__glasses__all_available,full,2,1587,62.603902333381946,67.69186715948116,0.9248363940957333,0.27473219911783237,-0.6209720746988087,27.3576350476923
