"id","level","text"
"sec-disposition",2,"Disposition and controlling record"
"sec-construction",2,"Construction and exact samples"
"sec-model",2,"Likelihood and repeated-measures structure"
"sec-estimands",2,"Means, contrasts and multiplicity"
"sec-calibration",2,"Calibration and coverage"
"sec-sensitivity",2,"Sensitivity battery and preserved failures"
"actual-date-temporal-models",3,"Actual-date temporal models"
"calendar-and-complementary-chest",3,"Calendar and complementary chest"
"sec-r2",2,"Point-only variance decomposition"
"sec-reuse",2,"Exact exploratory reuse"
"sec-displays",2,"Current four-figure display chain"
"sec-review",2,"Review state"
