position,node_name,id,source_sha256,candidate_sha256,exact
1,header,title-block-header,e4a7e671f99ad8f8fb663aa2566f1ade2aeda25bd30ad397870ecbddc22be583,e4a7e671f99ad8f8fb663aa2566f1ade2aeda25bd30ad397870ecbddc22be583,TRUE
2,p,,4a4b25ea48f3ba1a7cb5c0c636ab1505947c4bdcf5150c8c49c130df4e1a31f9,4a4b25ea48f3ba1a7cb5c0c636ab1505947c4bdcf5150c8c49c130df4e1a31f9,TRUE
3,p,,8c4cdd5c5adb1745995008b81302f5878786aa1057d011e7e866eff752fb13b3,8c4cdd5c5adb1745995008b81302f5878786aa1057d011e7e866eff752fb13b3,TRUE
4,p,,50f3f2b361f11add1215b4369a81f04e71d54982e898a68194ea79548136bfcf,50f3f2b361f11add1215b4369a81f04e71d54982e898a68194ea79548136bfcf,TRUE
5,p,,478125856cfb935c388e8dcf34eb74e8254fa623949a9de83212b04e82695f9d,478125856cfb935c388e8dcf34eb74e8254fa623949a9de83212b04e82695f9d,TRUE
6,section,results,f2958b38c5452f1f0b54576e01cf6ef10e64028504bbb52cabf4399d46289aef,f2958b38c5452f1f0b54576e01cf6ef10e64028504bbb52cabf4399d46289aef,TRUE
7,section,discussion,9ed3c41a29799b43e3ee3ed5b9d175df92c6486a62493b17e1a3d689379fe12d,9ed3c41a29799b43e3ee3ed5b9d175df92c6486a62493b17e1a3d689379fe12d,TRUE
8,section,methods,a999f18cd8c5f13b7542dc71ddf48ade3c144898e0e2483f0dbce70311af23a1,a999f18cd8c5f13b7542dc71ddf48ade3c144898e0e2483f0dbce70311af23a1,TRUE
9,section,data-availability,c7cc48f5061887d0a89ac18f1a236c520c1cdf7e28e503d4ff2bbf309d33c9c6,c7cc48f5061887d0a89ac18f1a236c520c1cdf7e28e503d4ff2bbf309d33c9c6,TRUE
10,section,code-availability,750f5047c0e9d078442784403eef0022ef08594f963d33bb67bf70834fa61e13,750f5047c0e9d078442784403eef0022ef08594f963d33bb67bf70834fa61e13,TRUE
11,section,references,96140a2a2fc676107dabd03c7ff13a635524e7b69943af182715f01d67d40269,96140a2a2fc676107dabd03c7ff13a635524e7b69943af182715f01d67d40269,TRUE
12,section,acknowledgements,f73cc3256795aba56cb833410166c992c369324086fdb239ae7fc0237ba5f223,f73cc3256795aba56cb833410166c992c369324086fdb239ae7fc0237ba5f223,TRUE
13,section,funding,ab6b615a5aab3673024f5d58daf73334b2d8a6aa4cb4b1755c8760173c0169f4,ab6b615a5aab3673024f5d58daf73334b2d8a6aa4cb4b1755c8760173c0169f4,TRUE
14,section,author-contributions,079fb408e4c917150d85dbb52ce9d3eea4870b1fea127481061c3409c71d98e9,079fb408e4c917150d85dbb52ce9d3eea4870b1fea127481061c3409c71d98e9,TRUE
15,section,competing-interests,7cdd25f5c48a13e3249f57e77d3255e4e3e3b34b315c4f69df45fdc5e0c913ed,7cdd25f5c48a13e3249f57e77d3255e4e3e3b34b315c4f69df45fdc5e0c913ed,TRUE
16,section,supplementary-information,64767131de1d9934cb85dfed6550519828b438adbce9c71bddece1b7d7f68e5c,64767131de1d9934cb85dfed6550519828b438adbce9c71bddece1b7d7f68e5c,TRUE
