name,path,width,height,hash,bytes,sha256,overflow,mobile_open,url
"candidate_1440_top","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_top.png","1440","1000","","146745","eb96e1d8a70f2d5a8689e93b9d53c0e5e7d9e7c6bbf9e8bbb9f92080e6a9967c","false","false","http://127.0.0.1:57470/index.html"
"candidate_1440_main_figure","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_main_figure.png","1440","1000","#fig-study-overview","136410","1360657601e02d67f00de39a4ff9b8b135ff5ccdd24248eafca341ca26e0c02d","false","false","http://127.0.0.1:57470/index.html#fig-study-overview"
"candidate_1440_table3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_table3.png","1440","1000","#tbl-metric-context","147697","e2a812ceff587a8663a1ae9d56101592b64a39297ac4b8d1c8fcb13d7222327d","false","false","http://127.0.0.1:57470/index.html#tbl-metric-context"
"candidate_1440_brown_svg","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_brown_svg.png","1440","1000","#fig-s6","112082","d52f4ed2c1ecbd76a6b1d3e8b5150b1a7fb4287d3f74d3f96dcfcb5cb42e4b48","false","false","http://127.0.0.1:57470/index.html#fig-s6"
"candidate_1440_s8","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_s8.png","1440","1000","#fig-s8","127572","a7924b7c3db94d584db13a6be1ade8764a8267fe3a996e8f3d47321a52177a5b","false","false","http://127.0.0.1:57470/index.html#fig-s8"
"candidate_1440_s12","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_s12.png","1440","1000","#fig-s12","129469","8b5a280fe1dc04467c473343af9238f76e532d3940e386cc5fa9653a285b1888","false","false","http://127.0.0.1:57470/index.html#fig-s12"
"candidate_1440_references","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_references.png","1440","1000","#references","212679","75f5154c5f1d92bc113be3a670e4f0f32835d446d40f53e3fb4ef42df7d879b0","false","false","http://127.0.0.1:57470/index.html#references"
"candidate_1440_supp_table_s15","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_1440_supp_table_s15.png","1440","1000","#supp-table-s15","126345","9a7c8ce2e94cb54665e5a29d1b2ce2f86fabd3d6add4708c0bedbe15fa9d634e","false","false","http://127.0.0.1:57470/index.html#supp-table-s15"
"candidate_708_mobile_toc_open","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_708_mobile_toc_open.png","708","1000","","74035","b34cf38543b8ce0e1e87439202ecf49d05756e7a96853dc5f4ae5a1ac81c26fa","false","true","http://127.0.0.1:57470/index.html"
"candidate_390_mobile_toc_open","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/screenshots/candidate_390_mobile_toc_open.png","390","844","","42712","ed63056ef8d84bd077b2c73cd47b8999e4bc64ed808b6b93cbb2c7e5a9bb72ad","false","true","http://127.0.0.1:57470/index.html"
