path,sha256,bytes,role,observed_sha256,observed_bytes,exact
audit/report_harmonization/owner_orders/70_nathealth_final_manuscript_landing_page_integration.md,b7836b8ec30bb39d52d657e785a9534bf5f9e2b8a646f236c745d02747e62e04,10984,controlling no-render landing-page integration order,b7836b8ec30bb39d52d657e785a9534bf5f9e2b8a646f236c745d02747e62e04,10984,TRUE
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac,30881505,accepted self-contained manuscript HTML,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac,30881505,TRUE
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91,28792333,accepted corrected manuscript DOCX,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91,28792333,TRUE
manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0,80774,accepted manuscript source protected from execution and edit,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0,80774,TRUE
manuscript/R0_NatHealth/display_assets/brown_participant_state_raincloud.svg,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653,108600,accepted SVG authority,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653,108600,TRUE
audit/report_harmonization/report018_nature_health_order68a_final_independent_acceptance.md,fcf9ba53f2b131e335472c077360bf979d3b8abc49c70ab954350d5977364096,3750,independent manuscript HTML acceptance,fcf9ba53f2b131e335472c077360bf979d3b8abc49c70ab954350d5977364096,3750,TRUE
audit/report_harmonization/report018_nature_health_order68a_final_independent_acceptance_manifest.csv,530aefee66085b5a82b87a0a0b7c01b8f1522ac8294d7605980a6f55d2bc381e,4629,manuscript HTML acceptance seal,530aefee66085b5a82b87a0a0b7c01b8f1522ac8294d7605980a6f55d2bc381e,4629,TRUE
audit/report_harmonization/report018_nature_health_order69b_word_independent_acceptance.md,385ffe1a97e5219fe87378b17fe51b7698577e2c3c8c2a90289228638bcbfe73,4405,independent corrected Word acceptance,385ffe1a97e5219fe87378b17fe51b7698577e2c3c8c2a90289228638bcbfe73,4405,TRUE
audit/report_harmonization/report018_nature_health_order69b_word_independent_acceptance_manifest.csv,98a4503cc4874a1167682c302aa30526158031a7a71a3da6dcc611762ba4f4f7,4156,corrected Word acceptance seal,98a4503cc4874a1167682c302aa30526158031a7a71a3da6dcc611762ba4f4f7,4156,TRUE
audit/report_harmonization/report018_navigation_order67a_independent_acceptance.md,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,2444,accepted navigation shell disposition,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,2444,TRUE
audit/report_harmonization/report018_navigation_order67a_independent_acceptance_manifest.csv,39119c296606e43faa6b771cc9dacdbe6a598593224727df734bd4480b8ed856,3771,accepted navigation shell seal,39119c296606e43faa6b771cc9dacdbe6a598593224727df734bd4480b8ed856,3771,TRUE
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/post_promotion_build_inventory.csv,a45ec438ae36fcba8ae420d6824e342f8822cce182f9351e41e624ed4ae8a5c5,124510,accepted 892-member website inventory,a45ec438ae36fcba8ae420d6824e342f8822cce182f9351e41e624ed4ae8a5c5,124510,TRUE
audit/report_harmonization/phase4_corpus_manifest.csv,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,11479,accepted 37-route corpus manifest preimage,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,11479,TRUE
_build/nathealth/index.html,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,405444,accepted landing-page preimage,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,405444,TRUE
index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250,historical landing-page source protected from edit and execution,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250,TRUE
_quarto-nathealth.yml,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,10042,accepted Nature Health profile,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,10042,TRUE
_includes/nathealth-mobile-toc.html,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,accepted mobile TOC include,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,TRUE
styles-nathealth.css,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,accepted source stylesheet,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,TRUE
_build/nathealth/styles-nathealth.css,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,accepted built stylesheet,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,TRUE
