route,reference,target,inside,target_exists,fragment,fragment_matches,resolved
index.html,site_libs/quarto-nav/quarto-nav.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-nav/quarto-nav.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-nav/headroom.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-nav/headroom.min.js,TRUE,TRUE,,,TRUE
index.html,site_libs/clipboard/clipboard.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/clipboard/clipboard.min.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-search/autocomplete.umd.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-search/autocomplete.umd.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-search/fuse.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-search/fuse.min.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-search/quarto-search.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-search/quarto-search.js,TRUE,TRUE,,,TRUE
index.html,./supplementary_information.html,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/quarto.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/quarto.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/tabsets/tabsets.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/tabsets/tabsets.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/popper.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/popper.min.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/tippy.umd.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/tippy.umd.min.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/anchor.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/anchor.min.js,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/tippy.css,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/tippy.css,TRUE,TRUE,,,TRUE
index.html,site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,TRUE,TRUE,,,TRUE
index.html,site_libs/bootstrap/bootstrap.min.js,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/site_libs/bootstrap/bootstrap.min.js,TRUE,TRUE,,,TRUE
