check,pass,detail
candidate_production_893_exact,TRUE,893/893
build_symlinks_zero,TRUE,0
other_891_exact,TRUE,891
protected_36_routes_exact,TRUE,36
landing_clean_dom,TRUE,0 duplicates and 0 unresolved IDREF/header tokens
authors_28,TRUE,28
tables_19,TRUE,19
figures_20,TRUE,20
header_tokens_2762,TRUE,2762
fragments_124,TRUE,124
brown_svg_exact,TRUE,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653
docx_exact,TRUE,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91
local_references_resolve,TRUE,46071/46071
candidate_browser_74,TRUE,74/74
production_browser_74,TRUE,74/74
landing_browser_3x2,TRUE,3 candidate plus 3 production
corpus_rows_37,TRUE,37
corpus_source_provenance_preserved,TRUE,37/37
corpus_html_live_37,TRUE,37/37
single_manifest_html_transition,TRUE,index only
single_promotion,TRUE,1
no_render_invoked,TRUE,program contains no render command
