"comparison_order","mapping_id","focus_group","baseline_metric","current_metric","current_column","baseline_unit","current_unit","comparison_unit","baseline_transform","current_transform","difference_method","semantic_comparability","limitation"
1,"D01","MDER","MDER","mder_ratio_of_integrals","mder","dimensionless","dimensionless","dimensionless","identity","identity","linear_current_minus_baseline","related_construct_changed_estimand","Baseline is the mean of epoch-wise MEDI/LIGHT ratios; current is the ratio of observed paired-channel integrals and is estimable only when ordinary and both fixed-profile supports are at least 80%."
2,"D02","mapped_daily_metric","Mean","daily_geometric_mean_medi","daily_geometric_mean_medi_lx","lx","lx","lx","identity","identity","linear_current_minus_baseline","same_construct_modified_support_and_masking","Both are zero-aware geometric means, but upstream masking, the 100000-lx operating boundary, and explicit minute support differ."
3,"D03","mapped_daily_metric","brightest_10h_mean","m10_mean_medi","m10_mean_medi_lx","lx","lx","lx","identity","identity","linear_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
4,"D04","mapped_daily_metric","brightest_10h_midpoint","m10_midpoint","m10_midpoint_clock_minute","decimal_hour","clock_minute","decimal_hour","identity","clock_minute_to_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
5,"D05","mapped_daily_metric","brightest_10h_onset","m10_onset","m10_onset_clock_minute","decimal_hour","clock_minute","decimal_hour","identity","clock_minute_to_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
6,"D06","mapped_daily_metric","brightest_10h_offset","m10_offset","m10_offset_clock_minute","decimal_hour","clock_minute","decimal_hour","identity","clock_minute_to_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
7,"D07","mapped_daily_metric","darkest_10h_mean","l10_mean_medi","l10_mean_medi_lx","lx","lx","lx","identity","identity","linear_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
8,"D08","mapped_daily_metric","darkest_10h_midpoint","l10_midpoint","l10_midpoint_clock_minute","centered_decimal_hour","clock_minute","centered_decimal_hour","identity","clock_minute_to_centered_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
9,"D09","mapped_daily_metric","darkest_10h_onset","l10_onset","l10_onset_clock_minute","centered_decimal_hour","clock_minute","centered_decimal_hour","identity","clock_minute_to_centered_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
10,"D10","mapped_daily_metric","darkest_10h_offset","l10_offset","l10_offset_clock_minute","centered_decimal_hour","clock_minute","centered_decimal_hour","identity","clock_minute_to_centered_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_window_support","The fixed 10-hour construct is retained, but current calculation uses explicit wall-minute support, fixed relevance profiles, and fall-back duplicate averaging for clock analyses."
11,"D11","mapped_daily_metric","duration_above_1000","duration_above_1000","duration_above_1000_h","h","h","h","identity","identity","linear_current_minus_baseline","same_construct_modified_gap_handling","Threshold and bout metrics are compared in hours; current calculation is gap-aware and uses true UTC elapsed minutes."
12,"D12","mapped_daily_metric","duration_above_250","duration_above_250_full_day","duration_above_250_full_day_h","h","h","h","identity","identity","linear_current_minus_baseline","same_construct_modified_gap_handling","Threshold and bout metrics are compared in hours; current calculation is gap-aware and uses true UTC elapsed minutes."
13,"D13","mapped_daily_metric","period_above_250","longest_bout_above_250","longest_bout_above_250_h","h","h","h","identity","identity","linear_current_minus_baseline","same_construct_modified_gap_handling","Threshold and bout metrics are compared in hours; current calculation is gap-aware and uses true UTC elapsed minutes."
14,"D14","mapped_daily_metric","mean_timing_above_250","mean_timing_above_250","mean_timing_above_250_clock_minute","decimal_hour","clock_minute","decimal_hour","identity","clock_minute_to_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_gap_handling","Clock values are compared in decimal hours with circular 24-hour paired differences; current timing also requires explicit relevance support."
15,"D15","mapped_daily_metric","first_timing_above_250","first_timing_above_250","first_timing_above_250_clock_minute","decimal_hour","clock_minute","decimal_hour","identity","clock_minute_to_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_gap_handling","Clock values are compared in decimal hours with circular 24-hour paired differences; current timing also requires explicit relevance support."
16,"D16","mapped_daily_metric","last_timing_above_250","last_timing_above_250","last_timing_above_250_clock_minute","decimal_hour","clock_minute","decimal_hour","identity","clock_minute_to_decimal_hour","circular_24h_current_minus_baseline","same_construct_modified_gap_handling","Clock values are compared in decimal hours with circular 24-hour paired differences; current timing also requires explicit relevance support."
