"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","baseline_state","current_state","participant_days"
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","finite","finite",670
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","missing_na","finite",155
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","finite","missing_na",59
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","missing_na","missing_na",13
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","finite","finite",662
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","missing_na","finite",71
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","finite","missing_na",63
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","missing_na","missing_na",15
2,"D02","mapped_daily_metric","chest","Mean","daily_geometric_mean_medi","finite","finite",897
2,"D02","mapped_daily_metric","glasses","Mean","daily_geometric_mean_medi","finite","finite",811
3,"D03","mapped_daily_metric","chest","brightest_10h_mean","m10_mean_medi","finite","finite",897
3,"D03","mapped_daily_metric","glasses","brightest_10h_mean","m10_mean_medi","finite","finite",811
4,"D04","mapped_daily_metric","chest","brightest_10h_midpoint","m10_midpoint","finite","finite",894
4,"D04","mapped_daily_metric","chest","brightest_10h_midpoint","m10_midpoint","finite","missing_na",3
4,"D04","mapped_daily_metric","glasses","brightest_10h_midpoint","m10_midpoint","finite","finite",809
4,"D04","mapped_daily_metric","glasses","brightest_10h_midpoint","m10_midpoint","finite","missing_na",2
5,"D05","mapped_daily_metric","chest","brightest_10h_onset","m10_onset","finite","finite",894
5,"D05","mapped_daily_metric","chest","brightest_10h_onset","m10_onset","finite","missing_na",3
5,"D05","mapped_daily_metric","glasses","brightest_10h_onset","m10_onset","finite","finite",809
5,"D05","mapped_daily_metric","glasses","brightest_10h_onset","m10_onset","finite","missing_na",2
6,"D06","mapped_daily_metric","chest","brightest_10h_offset","m10_offset","finite","finite",894
6,"D06","mapped_daily_metric","chest","brightest_10h_offset","m10_offset","finite","missing_na",3
6,"D06","mapped_daily_metric","glasses","brightest_10h_offset","m10_offset","finite","finite",809
6,"D06","mapped_daily_metric","glasses","brightest_10h_offset","m10_offset","finite","missing_na",2
7,"D07","mapped_daily_metric","chest","darkest_10h_mean","l10_mean_medi","finite","finite",897
7,"D07","mapped_daily_metric","glasses","darkest_10h_mean","l10_mean_medi","finite","finite",811
8,"D08","mapped_daily_metric","chest","darkest_10h_midpoint","l10_midpoint","finite","finite",894
8,"D08","mapped_daily_metric","chest","darkest_10h_midpoint","l10_midpoint","finite","missing_na",3
8,"D08","mapped_daily_metric","glasses","darkest_10h_midpoint","l10_midpoint","finite","finite",809
8,"D08","mapped_daily_metric","glasses","darkest_10h_midpoint","l10_midpoint","finite","missing_na",2
9,"D09","mapped_daily_metric","chest","darkest_10h_onset","l10_onset","finite","finite",894
9,"D09","mapped_daily_metric","chest","darkest_10h_onset","l10_onset","finite","missing_na",3
9,"D09","mapped_daily_metric","glasses","darkest_10h_onset","l10_onset","finite","finite",809
9,"D09","mapped_daily_metric","glasses","darkest_10h_onset","l10_onset","finite","missing_na",2
10,"D10","mapped_daily_metric","chest","darkest_10h_offset","l10_offset","finite","finite",894
10,"D10","mapped_daily_metric","chest","darkest_10h_offset","l10_offset","finite","missing_na",3
10,"D10","mapped_daily_metric","glasses","darkest_10h_offset","l10_offset","finite","finite",809
10,"D10","mapped_daily_metric","glasses","darkest_10h_offset","l10_offset","finite","missing_na",2
11,"D11","mapped_daily_metric","chest","duration_above_1000","duration_above_1000","finite","finite",897
11,"D11","mapped_daily_metric","glasses","duration_above_1000","duration_above_1000","finite","finite",811
12,"D12","mapped_daily_metric","chest","duration_above_250","duration_above_250_full_day","finite","finite",897
12,"D12","mapped_daily_metric","glasses","duration_above_250","duration_above_250_full_day","finite","finite",811
13,"D13","mapped_daily_metric","chest","period_above_250","longest_bout_above_250","finite","finite",897
13,"D13","mapped_daily_metric","glasses","period_above_250","longest_bout_above_250","finite","finite",811
14,"D14","mapped_daily_metric","chest","mean_timing_above_250","mean_timing_above_250","finite","finite",810
14,"D14","mapped_daily_metric","chest","mean_timing_above_250","mean_timing_above_250","finite","missing_na",57
14,"D14","mapped_daily_metric","chest","mean_timing_above_250","mean_timing_above_250","missing_nan","missing_na",30
14,"D14","mapped_daily_metric","glasses","mean_timing_above_250","mean_timing_above_250","finite","finite",714
14,"D14","mapped_daily_metric","glasses","mean_timing_above_250","mean_timing_above_250","finite","missing_na",64
14,"D14","mapped_daily_metric","glasses","mean_timing_above_250","mean_timing_above_250","missing_nan","missing_na",33
15,"D15","mapped_daily_metric","chest","first_timing_above_250","first_timing_above_250","finite","finite",786
15,"D15","mapped_daily_metric","chest","first_timing_above_250","first_timing_above_250","finite","missing_na",81
15,"D15","mapped_daily_metric","chest","first_timing_above_250","first_timing_above_250","missing_na","missing_na",30
15,"D15","mapped_daily_metric","glasses","first_timing_above_250","first_timing_above_250","finite","finite",717
15,"D15","mapped_daily_metric","glasses","first_timing_above_250","first_timing_above_250","finite","missing_na",61
15,"D15","mapped_daily_metric","glasses","first_timing_above_250","first_timing_above_250","missing_na","missing_na",33
16,"D16","mapped_daily_metric","chest","last_timing_above_250","last_timing_above_250","finite","finite",773
16,"D16","mapped_daily_metric","chest","last_timing_above_250","last_timing_above_250","finite","missing_na",94
16,"D16","mapped_daily_metric","chest","last_timing_above_250","last_timing_above_250","missing_na","missing_na",30
16,"D16","mapped_daily_metric","glasses","last_timing_above_250","last_timing_above_250","finite","finite",679
16,"D16","mapped_daily_metric","glasses","last_timing_above_250","last_timing_above_250","finite","missing_na",99
16,"D16","mapped_daily_metric","glasses","last_timing_above_250","last_timing_above_250","missing_na","missing_na",33
17,"D17","mapped_daily_metric","chest","dose","dose_observed_medi","finite","finite",897
17,"D17","mapped_daily_metric","glasses","dose","dose_observed_medi","finite","finite",811
18,"D18","mapped_daily_metric","chest","dose","dose_time_sensitive_corrected_medi","finite","finite",827
18,"D18","mapped_daily_metric","chest","dose","dose_time_sensitive_corrected_medi","finite","missing_na",70
18,"D18","mapped_daily_metric","glasses","dose","dose_time_sensitive_corrected_medi","finite","finite",736
18,"D18","mapped_daily_metric","glasses","dose","dose_time_sensitive_corrected_medi","finite","missing_na",75
19,"D19","mapped_daily_metric","chest","duration_above_250_wake","duration_above_250_wake","finite","finite",783
19,"D19","mapped_daily_metric","chest","duration_above_250_wake","duration_above_250_wake","missing_na","finite",15
19,"D19","mapped_daily_metric","chest","duration_above_250_wake","duration_above_250_wake","finite","missing_na",56
19,"D19","mapped_daily_metric","chest","duration_above_250_wake","duration_above_250_wake","missing_na","missing_na",43
19,"D19","mapped_daily_metric","glasses","duration_above_250_wake","duration_above_250_wake","finite","finite",699
19,"D19","mapped_daily_metric","glasses","duration_above_250_wake","duration_above_250_wake","missing_na","finite",15
