"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","series","scope","comparison_unit","n_total","n_finite","n_na","n_nan","n_positive_infinity","n_negative_infinity","mean","sd","minimum","q025","q25","median","q75","q975","maximum"
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","baseline","all_available_keys","dimensionless",897,729,168,0,0,0,0.721686145016696,0.15702740744672,0,0.512607509999043,0.639168781771029,0.717169245819174,0.79659255028247,0.964994940043155,3.40347182605262
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","current","all_available_keys","dimensionless",897,825,72,0,0,0,0.886631687171481,0.120779905752196,0,0.617947092650047,0.84697196363769,0.90278942816073,0.943562664035057,1.05439136004272,2.45561179034845
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","baseline","matched_keys","dimensionless",897,729,168,0,0,0,0.721686145016696,0.15702740744672,0,0.512607509999043,0.639168781771029,0.717169245819174,0.79659255028247,0.964994940043155,3.40347182605262
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","current","matched_keys","dimensionless",897,825,72,0,0,0,0.886631687171481,0.120779905752196,0,0.617947092650047,0.84697196363769,0.90278942816073,0.943562664035057,1.05439136004272,2.45561179034845
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","baseline","paired_finite","dimensionless",670,670,0,0,0,0,0.720932918601392,0.160652424084648,0,0.511836682471166,0.637837477059494,0.715337800320379,0.796458880625147,0.966773428575436,3.40347182605262
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","current","paired_finite","dimensionless",670,670,0,0,0,0,0.883686690603892,0.123128260089319,0,0.618245675647822,0.843832266410224,0.900596988250386,0.941188726376903,1.05290957376834,2.45561179034845
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","baseline","all_available_keys","dimensionless",811,725,86,0,0,0,0.701172242285185,0.122130244215336,0.00242849433351322,0.487378170863157,0.626173788964567,0.705470628215701,0.77622021999437,0.911685435291634,1.82195234857656
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","current","all_available_keys","dimensionless",811,733,78,0,0,0,0.844454824522736,0.106802120215505,0.001852487135506,0.590891708748207,0.796330954788988,0.868323643903485,0.909770398794568,0.987995590254453,1.3966401287731
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","baseline","matched_keys","dimensionless",811,725,86,0,0,0,0.701172242285185,0.122130244215336,0.00242849433351322,0.487378170863157,0.626173788964567,0.705470628215701,0.77622021999437,0.911685435291634,1.82195234857656
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","current","matched_keys","dimensionless",811,733,78,0,0,0,0.844454824522736,0.106802120215505,0.001852487135506,0.590891708748207,0.796330954788988,0.868323643903485,0.909770398794568,0.987995590254453,1.3966401287731
