"position","site","key_status","participant_days","participants"
"glasses","BAUA","matched",106,18
"glasses","FUSPCEU","matched",127,23
"glasses","IZTECH","matched",102,17
"glasses","KNUST","matched",80,15
"glasses","MPI","matched",150,26
"glasses","RISE","matched",78,13
"glasses","THUAS","matched",78,13
"glasses","TUM","matched",60,10
"glasses","UCR","matched",30,6
"chest","BAUA","matched",113,20
"chest","FUSPCEU","matched",122,22
"chest","IZTECH","matched",103,17
"chest","KNUST","matched",83,15
"chest","RISE","matched",96,16
"chest","THUAS","matched",94,15
"chest","TUM","matched",60,10
"chest","UCR","matched",226,39
