"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","comparison_unit","semantic_comparability","baseline_rows","current_rows","matched_keys","baseline_only_keys","current_only_keys","baseline_finite_all_rows","current_finite_all_rows","matched_both_finite","matched_baseline_finite_current_nonfinite","matched_baseline_nonfinite_current_finite","matched_both_nonfinite"
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","dimensionless","related_construct_changed_estimand",897,897,897,0,0,729,825,670,59,155,13
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","dimensionless","related_construct_changed_estimand",811,811,811,0,0,725,733,662,63,71,15
2,"D02","mapped_daily_metric","chest","Mean","daily_geometric_mean_medi","lx","same_construct_modified_support_and_masking",897,897,897,0,0,897,897,897,0,0,0
2,"D02","mapped_daily_metric","glasses","Mean","daily_geometric_mean_medi","lx","same_construct_modified_support_and_masking",811,811,811,0,0,811,811,811,0,0,0
3,"D03","mapped_daily_metric","chest","brightest_10h_mean","m10_mean_medi","lx","same_construct_modified_window_support",897,897,897,0,0,897,897,897,0,0,0
3,"D03","mapped_daily_metric","glasses","brightest_10h_mean","m10_mean_medi","lx","same_construct_modified_window_support",811,811,811,0,0,811,811,811,0,0,0
4,"D04","mapped_daily_metric","chest","brightest_10h_midpoint","m10_midpoint","decimal_hour","same_construct_modified_window_support",897,897,897,0,0,897,894,894,3,0,0
4,"D04","mapped_daily_metric","glasses","brightest_10h_midpoint","m10_midpoint","decimal_hour","same_construct_modified_window_support",811,811,811,0,0,811,809,809,2,0,0
5,"D05","mapped_daily_metric","chest","brightest_10h_onset","m10_onset","decimal_hour","same_construct_modified_window_support",897,897,897,0,0,897,894,894,3,0,0
5,"D05","mapped_daily_metric","glasses","brightest_10h_onset","m10_onset","decimal_hour","same_construct_modified_window_support",811,811,811,0,0,811,809,809,2,0,0
6,"D06","mapped_daily_metric","chest","brightest_10h_offset","m10_offset","decimal_hour","same_construct_modified_window_support",897,897,897,0,0,897,894,894,3,0,0
6,"D06","mapped_daily_metric","glasses","brightest_10h_offset","m10_offset","decimal_hour","same_construct_modified_window_support",811,811,811,0,0,811,809,809,2,0,0
7,"D07","mapped_daily_metric","chest","darkest_10h_mean","l10_mean_medi","lx","same_construct_modified_window_support",897,897,897,0,0,897,897,897,0,0,0
7,"D07","mapped_daily_metric","glasses","darkest_10h_mean","l10_mean_medi","lx","same_construct_modified_window_support",811,811,811,0,0,811,811,811,0,0,0
8,"D08","mapped_daily_metric","chest","darkest_10h_midpoint","l10_midpoint","centered_decimal_hour","same_construct_modified_window_support",897,897,897,0,0,897,894,894,3,0,0
8,"D08","mapped_daily_metric","glasses","darkest_10h_midpoint","l10_midpoint","centered_decimal_hour","same_construct_modified_window_support",811,811,811,0,0,811,809,809,2,0,0
9,"D09","mapped_daily_metric","chest","darkest_10h_onset","l10_onset","centered_decimal_hour","same_construct_modified_window_support",897,897,897,0,0,897,894,894,3,0,0
