"artifact","path","bytes","sha256","producer","r_version"
"metric_crosswalk","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/metric_crosswalk.csv",8622,"b6df237830dddec18ad00e8760700ceb42320befe723f9b22dd020d13592144c","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"input_inventory","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/input_inventory.csv",2547,"ddf3f3fdbbb68861711bc8db694e0b49b9d36753a27b8e605491ed5a6564a56d","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"run_metadata","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/run_metadata.csv",455,"417409aec7315f42409184b49d6ac5c57b15679b9824f958849371dfd0875f16","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"key_reconciliation","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/key_reconciliation.csv",312,"69227a766259a93ad2c2f48323f8d1792079955a7b047ae649d26e47fef41140","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"unmatched_key_counts_by_site","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/unmatched_key_counts_by_site.csv",626,"a919c029b977d9a59e5fcc494597c66950036293b43aff09053750be9aff5ba7","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"mapping_coverage","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/mapping_coverage.csv",7231,"2773b386dd9588e993db225b456e1188862627b9ec6f73a5bcb940d25afad993","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"metric_comparison_summary","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/metric_comparison_summary.csv",7461,"f72413e125dc734b3b3bcb1c3120d02ffb1ec6042930efa1d87741d912742e51","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"metric_finite_transition_counts","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/metric_finite_transition_counts.csv",9501,"c66dca3281f632914e5735dc927ec5b03fa0191a67f408bf3d6beec376d7005e","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"metric_distribution_summary","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/metric_distribution_summary.csv",65641,"57d51959e90416ebf118f178ec4bd016f4c4e35427dfc639315033deb6c91796","audit/scripts/compare_preparation04_baseline.R","4.6.1"
"metric_paired_difference_summary","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/reconciliation/preparation04/metric_paired_difference_summary.csv",13898,"30868c49544f8180faa57168a84ed65c27c446ba98696c842b3089775d5eb283","audit/scripts/compare_preparation04_baseline.R","4.6.1"
