check,observed,expected,status
disposition_repaired,REPAIRED,REPAIRED,PASS
native_gt_tables,36,36,PASS
id_substitutions,783,783,PASS
headers_substitutions,4798,4798,PASS
total_substitutions,5581,5581,PASS
reverse_sha256,317d2ea152f4c8250c59f14f342192549acb2ae6d99e50765d13501df78bbfe3,317d2ea152f4c8250c59f14f342192549acb2ae6d99e50765d13501df78bbfe3,PASS
reverse_bytes,1371671,1371671,PASS
visible_text_preserved,TRUE,TRUE,PASS
normalized_dom_preserved,TRUE,TRUE,PASS
table_row_cell_header_counts_preserved,TRUE,TRUE,PASS
document_ids_unique,TRUE,TRUE,PASS
headers_and_id_references_resolve,TRUE,TRUE,PASS
