endpoint,rows_pre,cells_pre,header_cells_pre,internal_ids_pre,headers_attributes_pre,rows_post,cells_post,header_cells_post,internal_ids_post,headers_attributes_post,pass
tbl-h01-deviations,25,73,3,3,69,25,73,3,3,69,TRUE
tbl-h01-metric-registry,24,78,27,27,51,24,78,27,27,51,TRUE
tbl-h01-primary-publication-summary,26,153,33,33,119,26,153,33,33,119,TRUE
tbl-h01-primary-tests,26,245,40,40,204,26,245,40,40,204,TRUE
tbl-h01-primary-effects,26,208,37,37,170,26,208,37,37,170,TRUE
tbl-h01-primary-site-deviation-matrix,11,92,19,19,72,11,92,19,19,72,TRUE
tbl-h01-primary-site-contrasts,82,374,13,13,360,82,374,13,13,360,TRUE
tbl-h01-primary-r2,28,163,36,36,126,28,163,36,36,126,TRUE
tbl-h01-chest-tests,26,245,40,40,204,26,245,40,40,204,TRUE
tbl-h01-chest-effects,26,208,37,37,170,26,208,37,37,170,TRUE
tbl-h01-chest-site-contrasts,119,539,18,18,520,119,539,18,18,520,TRUE
tbl-h01-chest-r2,28,163,36,36,126,28,163,36,36,126,TRUE
tbl-h01-samples-primary-near-eye,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-primary-chest,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-primary-near-eye-matched,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-primary-chest-matched,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-gap-near-eye,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-gap-chest,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-gap-near-eye-matched,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-samples-gap-chest-matched,19,145,25,25,119,19,145,25,25,119,TRUE
tbl-h01-diagnostic-assessment,38,143,40,40,102,38,143,40,40,102,TRUE
tbl-h01-representative-diagnostics,6,26,9,9,16,6,26,9,9,16,TRUE
tbl-h01-sensitivity-classification,9,41,5,5,35,9,41,5,5,35,TRUE
tbl-h01-sensitivity-support,41,173,13,13,160,41,173,13,13,160,TRUE
tbl-h01-paired-placement,34,251,10,10,240,34,251,10,10,240,TRUE
tbl-h01-l10-noon-support,20,88,7,7,80,20,88,7,7,80,TRUE
tbl-h01-l10-noon-effects,8,23,6,6,16,8,23,6,6,16,TRUE
tbl-h01-period-sensitivity,10,82,9,9,72,10,82,9,9,72,TRUE
tbl-h01-scope-sensitivity,59,287,6,6,280,59,287,6,6,280,TRUE
tbl-h01-marginalization,37,142,40,40,102,37,142,40,40,102,TRUE
tbl-h01-influence,37,212,42,42,170,37,212,42,42,170,TRUE
tbl-h01-latitude-loo,37,212,42,42,170,37,212,42,42,170,TRUE
tbl-h01-participant-formulas,7,13,2,2,10,7,13,2,2,10,TRUE
tbl-h01-participant-day-formulas,7,13,2,2,10,7,13,2,2,10,TRUE
tbl-h01-preregistered-scope-formulas,12,34,3,3,30,12,34,3,3,30,TRUE
tbl-h01-formula-manifest,30,170,8,8,162,30,170,8,8,162,TRUE
